field_id,crop,time,expected_et,expected_eto,expected_etof
CA_244113,47,2024-01-01,0.383,0.927,0.413
CA_244113,47,2024-01-02,0.315,0.721,0.437
CA_244113,47,2024-01-03,0.664,1.442,0.461
CA_244113,47,2024-01-04,0.838,1.853,0.452
CA_244113,47,2024-01-05,0.502,1.133,0.443
CA_244113,47,2024-01-06,0.448,1.03,0.435
CA_244113,47,2024-01-07,0.614,1.442,0.426
CA_244113,47,2024-01-08,0.43,1.03,0.418
CA_244113,47,2024-01-09,0.421,1.03,0.409
CA_244113,47,2024-01-10,0.659,1.647,0.4
CA_244113,47,2024-01-11,0.873,1.442,0.606
CA_244113,47,2024-01-12,0.626,1.03,0.608
CA_244113,47,2024-01-13,0.628,1.03,0.609
CA_244113,47,2024-01-14,0.881,1.442,0.611
CA_244113,47,2024-01-15,0.568,0.927,0.613
CA_244113,47,2024-01-16,0.57,0.927,0.615
CA_244113,47,2024-01-17,0.635,1.03,0.617
CA_244113,47,2024-01-18,0.7,1.133,0.618
CA_244113,47,2024-01-19,0.702,1.133,0.62
CA_244113,47,2024-01-20,0.833,1.339,0.622
CA_244113,47,2024-01-21,0.771,1.236,0.624
CA_244113,47,2024-01-22,0.709,1.133,0.626
CA_244113,47,2024-01-23,0.904,1.442,0.627
CA_244113,47,2024-01-24,0.453,0.721,0.629
CA_244113,47,2024-01-25,0.845,1.339,0.631
CA_244113,47,2024-01-26,0.912,1.442,0.633
CA_244113,47,2024-01-27,0.922,1.133,0.814
CA_244113,47,2024-01-28,0.999,1.236,0.808
CA_244113,47,2024-01-29,1.157,1.442,0.803
CA_244113,47,2024-01-30,1.128,1.604,0.822
CA_244113,47,2024-01-31,1.144,1.64,0.852
CA_244113,47,2024-02-01,1.177,1.638,0.881
CA_244113,47,2024-02-02,1.176,1.738,0.911
CA_244113,47,2024-02-03,1.201,1.812,0.905
CA_244113,47,2024-02-04,1.197,1.912,0.896
CA_244113,47,2024-02-05,1.233,2.025,0.884
CA_244113,47,2024-02-06,1.233,2.165,0.868
CA_244113,47,2024-02-07,1.222,2.305,0.85
CA_244113,47,2024-02-08,1.258,2.42,0.828
CA_244113,47,2024-02-09,1.305,2.445,0.803
CA_244113,47,2024-02-10,1.358,2.458,0.775
CA_244113,47,2024-02-11,1.405,2.496,0.778
CA_244113,47,2024-02-12,1.389,2.598,0.782
CA_244113,47,2024-02-13,1.341,2.636,0.786
CA_244113,47,2024-02-14,1.356,2.598,0.789
CA_244113,47,2024-02-15,1.35,2.623,0.793
CA_244113,47,2024-02-16,1.323,2.56,0.796
CA_244113,47,2024-02-17,1.263,2.585,0.8
CA_244113,47,2024-02-18,1.233,2.572,0.804
CA_244113,47,2024-02-19,1.164,2.623,0.807
CA_244113,47,2024-02-20,1.155,2.547,0.811
CA_244113,47,2024-02-21,1.152,2.534,0.816
CA_244113,47,2024-02-22,1.109,2.547,0.821
CA_244113,47,2024-02-23,1.09,2.343,0.827
CA_244113,47,2024-02-24,1.068,2.241,0.833
CA_244113,47,2024-02-25,1.072,2.241,0.84
CA_244113,47,2024-02-26,1.038,2.275,0.848
