time,expected_et,field_id,crop,expected_eto,expected_etof
2024-01-01,0.572,CA_42143,69,0.848,0.674
2024-01-02,0.738,CA_42143,69,1.093,0.637
2024-01-03,0.68,CA_42143,69,1.036,0.625
2024-01-04,0.631,CA_42143,69,0.996,0.618
2024-01-05,0.636,CA_42143,69,0.942,0.614
2024-01-06,0.624,CA_42143,69,0.954,0.602
2024-01-07,0.606,CA_42143,69,0.907,0.594
2024-01-08,0.609,CA_42143,69,0.848,0.59
2024-01-09,0.584,CA_42143,69,0.836,0.59
2024-01-10,0.524,CA_42143,69,0.848,0.594
2024-01-11,0.554,CA_42143,69,0.848,0.602
2024-01-12,0.599,CA_42143,69,0.836,0.61
2024-01-13,0.631,CA_42143,69,0.872,0.617
2024-01-14,0.633,CA_42143,69,0.86,0.625
2024-01-15,0.628,CA_42143,69,0.884,0.633
2024-01-16,0.594,CA_42143,69,0.931,0.641
2024-01-17,0.574,CA_42143,69,0.942,0.649
2024-01-18,0.606,CA_42143,69,0.966,0.656
2024-01-19,0.609,CA_42143,69,1.025,0.664
2024-01-20,0.597,CA_42143,69,1.072,0.672
2024-01-21,0.586,CA_42143,69,1.107,0.68
2024-01-22,0.602,CA_42143,69,1.154,0.688
2024-01-23,0.627,CA_42143,69,1.166,0.696
2024-01-24,0.712,CA_42143,69,1.154,0.703
2024-01-25,0.79,CA_42143,69,1.202,0.711
2024-01-26,0.817,CA_42143,69,1.213,0.719
2024-01-27,0.827,CA_42143,69,1.26,0.727
2024-01-28,0.845,CA_42143,69,1.308,0.734
2024-01-29,0.845,CA_42143,69,1.384,0.742
2024-01-30,0.936,CA_42143,69,1.517,0.75
2024-01-31,1.065,CA_42143,69,1.535,0.758
2024-02-01,1.065,CA_42143,69,1.566,0.766
2024-02-02,1.035,CA_42143,69,1.549,0.774
2024-02-03,1.005,CA_42143,69,1.556,0.781
2024-02-04,1.028,CA_42143,69,1.562,0.789
2024-02-05,1.075,CA_42143,69,1.592,0.797
2024-02-06,1.144,CA_42143,69,1.569,0.804
2024-02-07,1.089,CA_42143,69,1.5,0.812
2024-02-08,0.958,CA_42143,69,1.534,0.82
2024-02-09,0.888,CA_42143,69,1.649,0.828
2024-02-10,0.867,CA_42143,69,1.775,0.836
2024-02-11,0.848,CA_42143,69,1.935,0.843
2024-02-12,0.812,CA_42143,69,2.015,0.851
2024-02-13,0.766,CA_42143,69,2.072,0.859
2024-02-14,0.677,CA_42143,69,2.13,0.867
2024-02-15,0.635,CA_42143,69,2.141,0.875
2024-02-16,0.645,CA_42143,69,2.175,0.882
2024-02-17,0.65,CA_42143,69,2.153,0.89
2024-02-18,0.672,CA_42143,69,2.141,0.898
2024-02-19,0.687,CA_42143,69,2.004,0.906
2024-02-20,0.706,CA_42143,69,1.992,0.914
2024-02-21,0.734,CA_42143,69,1.969,0.924
2024-02-22,0.698,CA_42143,69,1.969,0.936
2024-02-23,0.697,CA_42143,69,2.015,0.95
2024-02-24,0.668,CA_42143,69,2.084,0.967
2024-02-25,0.654,CA_42143,69,2.141,0.985
2024-02-26,0.655,CA_42143,69,2.182,1.006
2024-02-27,0.616,CA_42143,69,2.336,1.029
2024-02-28,0.615,CA_42143,69,2.388,1.055
2024-02-29,0.566,CA_42143,69,2.37,1.066
2024-03-01,0.624,CA_42143,69,2.351,1.076
2024-03-02,0.686,CA_42143,69,2.347,1.092
2024-03-03,0.786,CA_42143,69,2.387,1.104
2024-03-04,0.826,CA_42143,69,2.405,1.112
2024-03-05,0.877,CA_42143,69,2.411,1.115
