field_id,crop,actual_et,actual_eto,actual_etof
CA_244387,61,1.744240687679083,3.271527220630372,0.6054269340974212
CA_244437,47,3.2610429799426934,4.189194842406876,0.8331518624641834
CA_244479,47,3.1381948424068766,3.0310687679083097,1.0319025787965617
CA_244653,47,2.9073868194842407,3.4284613180515757,0.8687220630372493
CA_244845,47,1.427432664756447,4.2886131805157595,0.41023209169054436
CA_245140,61,1.0689054441260746,3.952461318051576,0.3047621776504298
CA_245292,47,2.515022922636103,3.909704871060172,0.6765415472779369
CA_245297,47,2.040541547277937,3.8498338108882524,0.5804785100286532
CA_245547,47,2.2849971346704874,3.881275071633238,0.6648309455587393
CA_245730,47,2.3327765042979944,3.845558739255014,0.6721031518624642
CA_246072,61,1.6035530085959886,3.81643553008596,0.4948882521489972
CA_246341,47,0.9562206303724928,4.580587392550143,0.29212320916905443
CA_246587,47,2.193896848137536,4.578722063037249,0.49786246418338104
CA_246614,47,2.918381088825215,4.451406876790831,0.6588338108882521
CA_246679,69,3.080381088825215,4.119805157593123,0.8132722063037249
CA_246756,69,1.3727908309455588,4.323756446991404,0.3919570200573066
CA_246801,47,1.5639312320916905,4.5974756446991405,0.408593123209169
CA_246965,47,1.5845100286532952,4.545664756446991,0.44563896848137535
CA_246992,47,2.397624641833811,4.1563151862464185,0.6331375358166189
CA_247278,69,2.329670487106017,4.466679083094556,0.5841260744985673
CA_247395,47,2.804624641833811,3.956816618911175,0.7000343839541547
CA_247535,47,1.7704469914040113,4.5974756446991405,0.44301719197707734
CA_247537,47,2.092297994269341,4.466679083094556,0.5479770773638969
CA_247548,61,1.2165214899713466,4.448280802292263,0.3225702005730659
CA_247823,69,0.6863151862464183,4.147243553008596,0.2556045845272206
CA_247968,61,2.9951146131805158,4.236312320916905,0.7221719197707737
CA_248230,69,1.3804527220630374,4.448965616045846,0.39303438395415474
CA_248688,61,1.4221633237822349,4.3433782234957015,0.3733295128939828
CA_248689,47,2.264091690544413,4.351919770773639,0.5694297994269341
CA_248737,47,2.753386819484241,4.3090257879656155,0.6543180515759313
CA_248786,61,4.162524355300859,4.386727793696275,0.9503467048710601
CA_249254,47,0.9436074498567336,4.294318051575932,0.2813724928366762
CA_249456,61,3.9382779369627507,4.215424068767908,0.9183553008595988
CA_249462,69,2.6327363896848137,4.087873925501432,0.7158882521489971
CA_249468,69,0.7738911174785101,4.20325787965616,0.23424928366762177
CA_249601,69,2.238243553008596,4.105266475644699,0.5093323782234958
CA_249694,69,3.8201518624641833,4.389174785100286,0.840111747851003
CA_249733,69,2.5173381088825217,4.325828080229226,0.5504785100286532
CA_249783,69,1.5639570200573067,4.362008595988538,0.3979828080229226
CA_249856,69,2.777914040114613,4.325828080229226,0.6213352435530086
CA_249946,61,2.1336819484240688,4.378661891117479,0.5004498567335244
CA_250182,47,3.139065902578797,4.2331117478510025,0.7312320916905444
CA_250212,69,2.731750716332378,4.238888252148997,0.6783982808022923
CA_250290,69,1.8959255014326648,3.5021461318051577,0.5495845272206303
CA_250502,47,3.6693896848137535,4.338461318051576,0.8534670487106018
CA_250608,69,2.7347220630372493,4.143478510028653,0.7396876790830946
CA_251053,61,2.6599627507163324,4.379415472779369,0.5618968481375358
CA_251118,47,2.924318051575931,4.322971346704871,0.726916905444126
CA_251195,61,3.1937163323782234,4.35130659025788,0.7562091690544411
CA_251384,47,1.1243954154727793,4.221641833810889,0.30119484240687683
CA_251400,47,0.9250372492836677,4.185853868194843,0.2755730659025788
CA_251752,47,0.8497392550143267,4.396581661891117,0.23022063037249282
CA_251920,69,2.476404011461318,4.31621776504298,0.5073724928366763
CA_252196,47,4.14993123209169,4.3465587392550145,0.9323409742120344
CA_252301,47,1.523733524355301,4.734355300859598,0.3560171919770774
CA_252463,69,3.116297994269341,4.389914040114613,0.6778252148997135
CA_252538,47,0.9469054441260746,4.696189111747851,0.293593123209169
CA_252549,47,0.8964011461318051,4.696189111747851,0.267352435530086
CA_252567,47,1.1139111747851003,4.292103151862464,0.41070487106017195
CA_252577,47,3.959438395415473,4.399939828080229,0.8906361031518625
CA_252621,47,3.368845272206304,4.252369627507163,0.7287965616045845
CA_253072,47,1.9573467048710602,4.396593123209169,0.5096819484240688
CA_253303,61,0.5304756446991404,4.371699140401146,0.17939255014326647
CA_253515,47,3.317765042979943,4.256547277936963,0.7130744985673353
CA_253554,47,0.5438051575931232,4.31154441260745,0.1606189111747851
