field_id,crop,actual_et,actual_eto,actual_etof
CA_244000,47,2.2980630372492836,4.620885386819484,0.5012578796561604
CA_244018,47,1.7742521489971348,4.404169054441261,0.5414527220630373
CA_244025,47,2.0866676217765043,4.502527220630372,0.4509971346704871
CA_244035,69,2.3623667621776505,4.566575931232092,0.4866103151862464
CA_244053,47,1.5034212034383954,4.488177650429799,0.41749856733524354
CA_244054,69,2.8775616045845274,4.788260744985673,0.5742206303724928
CA_244073,47,0.863865329512894,4.848338108882522,0.28138681948424066
CA_244077,47,0.7449828080229227,4.873595988538682,0.2520859598853868
CA_244102,47,1.1593581661891117,4.858005730659026,0.34014613180515757
CA_244108,47,1.2645873925501432,4.814985673352436,0.35559885386819484
CA_244113,47,1.10543553008596,4.840845272206304,0.32306303724928365
CA_244148,69,3.604154727793696,4.220363896848137,0.8588882521489971
CA_244152,47,2.2840744985673354,4.377744985673353,0.5640200573065902
CA_244172,69,2.1857736389684814,3.1755644699140397,0.6852893982808023
CA_244189,69,2.518704871060172,2.909034383954155,0.8526475644699141
CA_244207,47,1.9025616045845273,4.191535816618911,0.5026876790830945
CA_244212,47,2.1655272206303726,4.326773638968482,0.45326934097421206
CA_244216,47,2.8973237822349573,4.318378223495702,0.6930859598853868
CA_244229,47,1.763275071633238,4.538037249283668,0.44086819484240686
CA_244317,47,1.8815558739255014,3.8245558739255014,0.5270773638968481
CA_244323,47,1.2625816618911174,3.8245558739255014,0.4017392550143266
CA_244332,47,2.6013381088825214,4.329988538681948,0.6262607449856733
CA_244362,47,3.5825186246418337,4.003515759312321,0.862083094555874
CA_244363,47,2.385266475644699,3.9780744985673353,0.574028653295129
CA_244380,47,2.839785100286533,3.0977191977077365,0.9179570200573066
CA_244387,61,1.7456848137535816,3.2738825214899716,0.6057679083094556
CA_244426,47,4.038627507163324,4.39981088825215,0.9321002865329513
CA_244427,47,3.6281833810888253,3.915140401146132,0.9337707736389685
CA_244437,47,3.2623925501432667,4.190896848137536,0.8331518624641834
CA_244473,47,3.9972951289398284,3.907252148997135,0.9629426934097421
