field_id,crop,actual_et,actual_eto,actual_etof
CA_298067,47,1.581103151862464,4.485120343839542,0.4172234957020057
CA_298397,75,1.4893667621776503,4.812103151862464,0.36444985673352437
CA_299026,75,2.5918510028653294,4.797332378223496,0.5430028653295129
CA_299174,75,2.4203954154727794,4.6141203438395415,0.5038796561604585
CA_299271,75,2.899727793696275,4.83314899713467,0.5755386819484241
CA_299395,75,3.8715787965616046,4.488716332378223,0.8494699140401145
CA_299467,75,3.1992320916905443,4.498292263610315,0.7264068767908309
CA_299715,75,1.4085300859598855,4.543358166189112,0.3696361031518625
CA_299959,75,1.7078968481375358,4.485120343839542,0.3990601719197707
CA_300161,75,3.3637793696275073,4.169415472779369,0.8121117478510029
CA_300271,75,1.746057306590258,4.685120343839541,0.4189398280802292
CA_300581,75,3.514957020057307,4.596922636103152,0.7445902578796563
CA_300679,75,3.8208739255014326,4.4031461318051575,0.8860716332378222
CA_300893,75,4.143808022922636,4.37512893982808,0.9360744985673353
CA_301360,75,1.6262464183381087,4.5954842406876795,0.42141260744985676
CA_301734,75,3.991570200573066,4.596922636103152,0.8184469914040114
CA_301940,75,3.403103151862464,4.533266475644699,0.7314240687679083
CA_301986,75,2.4769426934097423,4.314879656160459,0.5861260744985674
CA_302388,75,1.2868710601719198,4.4329111747851,0.35000286532951286
CA_302578,75,3.2105730659025786,4.119805157593123,0.8500888252148997
CA_302669,72,2.1106303724928366,4.788226361031518,0.47890830945558743
CA_302735,69,2.122240687679083,4.652808022922636,0.4913323782234957
CA_302848,217,2.306707736389685,4.578722063037249,0.5417363896848137
CA_302942,72,2.3058796561604584,4.169415472779369,0.5017478510028653
CA_303048,66,3.8800401146131804,4.644229226361031,0.8296561604584528
CA_303433,72,1.635054441260745,4.231189111747851,0.45271060171919775
CA_303957,72,2.5575558739255015,4.597830945558739,0.5821604584527221
CA_303972,47,2.698214899713467,4.597830945558739,0.6335530085959886
CA_303999,72,1.3703839541547278,4.466679083094556,0.42306017191977074
CA_304258,72,3.617541547277937,4.219661891117479,0.9063266475644699
CA_304416,72,2.425157593123209,4.323756446991404,0.5906876790830946
CA_304688,72,3.3611289398280806,4.4214212034383955,0.7781203438395417
CA_304894,72,3.399587392550143,4.56965329512894,0.7406819484240688
CA_305292,71,2.6894240687679085,4.696111747851003,0.6136991404011461
CA_305356,68,1.6960057306590257,4.613269340974212,0.39311461318051577
CA_305684,204,2.929080229226361,4.153329512893983,0.776406876790831
CA_306027,204,2.6880401146131803,4.126610315186246,0.6618510028653295
CA_306120,204,2.428679083094556,4.050925501432665,0.6148595988538682
CA_306521,204,3.00304011461318,3.995696275071633,0.8020114613180516
CA_306793,204,3.6377363896848136,4.608722063037249,0.7962091690544413
CA_307273,204,3.9093123209169054,4.62069340974212,0.8432063037249283
CA_307363,204,3.2297908309455585,4.6500802292263606,0.7146962750716332
CA_307370,204,4.35252435530086,4.638234957020057,0.9414097421203439
CA_307376,204,2.232318051575931,4.638234957020057,0.49265329512893985
CA_307443,204,2.820378223495702,4.59165329512894,0.6445358166189112
CA_307472,204,3.024587392550143,4.632793696275072,0.6576332378223496
CA_307774,204,2.511607449856734,4.050925501432665,0.6041862464183381
CA_31238,36,3.62412893982808,4.612395415472779,0.7649914040114613
CA_31597,47,3.258515759312321,4.295939828080229,0.7517765042979943
CA_32080,75,2.1822091690544414,4.4918366762177655,0.46031232091690544
CA_32260,61,2.556916905444126,4.400048710601719,0.4909340974212035
CA_32302,47,3.0270974212034387,4.216484240687679,0.7254097421203438
CA_32418,47,2.4921289398280804,4.307489971346705,0.6152263610315186
CA_32452,241,3.5184699140401143,4.5182578796561605,0.7921690544412607
CA_32637,47,3.5775014326647563,4.623335243553009,0.7615644699140401
CA_32667,61,3.5009455587392546,4.300171919770774,0.8530401146131805
CA_32686,61,3.5885787965616047,4.204111747851003,0.8761719197707736
CA_33941,36,2.1818395415472778,4.244366762177651,0.4753123209169055
CA_34235,47,3.2937707736389688,4.347859598853868,0.7889197707736388
CA_34281,61,3.0184957020057306,4.309060171919771,0.7090171919770774
CA_34874,37,3.970518624641834,4.456808022922636,0.8429340974212034
CA_35208,47,3.4398137535816615,4.3989111747851,0.7425042979942694
