time,et
2016-01-01,1.04
2016-01-02,0.72
2016-01-03,0.8
2016-01-04,0.56
2016-01-05,0.48
2016-01-06,0.64
2016-01-07,0.48
2016-01-08,0.48
2016-01-09,0.48
2016-01-10,0.72
2016-01-11,0.72
2016-01-12,1.04
2016-01-13,1.04
2016-01-14,0.24
2016-01-15,0.56
2016-01-16,1.28
2016-01-17,1.36
2016-01-18,0.96
2016-01-19,1.2
2016-01-20,0.64
2016-01-21,0.8
2016-01-22,0.48
2016-01-23,1.12
2016-01-24,0.64
2016-01-25,0.88
2016-01-26,0.72
2016-01-27,0.88
2016-01-28,0.64
2016-01-29,0.72
2016-01-30,0.8
2016-01-31,2.08
2016-02-01,2.37
2016-02-02,1.641
2016-02-03,1.641
2016-02-04,1.914
2016-02-05,1.276
2016-02-06,1.458
2016-02-07,2.917
2016-02-08,2.37
2016-02-09,1.458
2016-02-10,1.641
2016-02-11,1.367
2016-02-12,1.276
2016-02-13,1.895
2016-02-14,2.59
2016-02-15,2.21
2016-02-16,1.837
2016-02-17,1.039
2016-02-18,2.484
2016-02-19,1.61
2016-02-20,1.677
2016-02-21,1.576
2016-02-22,1.804
2016-02-23,1.379
2016-02-24,1.203
2016-02-25,1.269
2016-02-26,1.019
2016-02-27,1.007
2016-02-28,1.148
2016-02-29,1.21
2016-03-01,1.956
2016-03-02,1.794
2016-03-03,1.09
2016-03-04,1.346
2016-03-05,0.997
2016-03-06,1.443
2016-03-07,1.295
2016-03-08,1.022
2016-03-09,1.008
2016-03-10,0.622
2016-03-11,0.736
2016-03-12,1.028
2016-03-13,1.073
2016-03-14,1.352
2016-03-15,1.332
2016-03-16,2.157
2016-03-17,2.168
2016-03-18,1.982
2016-03-19,2.177
2016-03-20,1.291
2016-03-21,1.26
2016-03-22,1.8
2016-03-23,2.368
2016-03-24,2.045
2016-03-25,2.748
2016-03-26,2.605
2016-03-27,1.922
2016-03-28,2.093
2016-03-29,2.071
2016-03-30,1.786
2016-03-31,1.476
2016-04-01,1.511
2016-04-02,1.557
2016-04-03,1.613
2016-04-04,1.47
2016-04-05,1.808
2016-04-06,1.586
2016-04-07,1.063
2016-04-08,0.814
2016-04-09,0.513
2016-04-10,0.557
2016-04-11,0.654
2016-04-12,0.871
2016-04-13,1.201
2016-04-14,1.214
2016-04-15,1.863
2016-04-16,2.256
2016-04-17,1.87
2016-04-18,1.989
2016-04-19,2.111
2016-04-20,2.321
2016-04-21,2.102
2016-04-22,1.407
2016-04-23,1.597
2016-04-24,2.089
2016-04-25,2.643
2016-04-26,1.986
2016-04-27,1.425
2016-04-28,2.183
2016-04-29,1.874
2016-04-30,2.75
2016-05-01,2.12
2016-05-02,1.828
2016-05-03,1.533
2016-05-04,1.417
2016-05-05,0.998
2016-05-06,1.032
2016-05-07,0.487
2016-05-08,1.221
2016-05-09,1.409
2016-05-10,1.935
2016-05-11,2.229
2016-05-12,2.643
2016-05-13,2.817
2016-05-14,2.568
2016-05-15,2.973
2016-05-16,4.17
2016-05-17,5.135
2016-05-18,5.513
2016-05-19,4.437
2016-05-20,3.173
2016-05-21,3.775
2016-05-22,3.99
2016-05-23,4.296
2016-05-24,4.996
2016-05-25,4.735
2016-05-26,6.114
2016-05-27,6.952
2016-05-28,7.473
2016-05-29,6.521
2016-05-30,7.252
2016-05-31,7.457
2016-06-01,7.453
2016-06-02,6.62
2016-06-03,7.442
2016-06-04,6.094
2016-06-05,5.986
2016-06-06,7.322
2016-06-07,7.111
2016-06-08,7.003
2016-06-09,6.997
2016-06-10,6.786
2016-06-11,8.014
2016-06-12,7.187
2016-06-13,6.976
2016-06-14,5.946
2016-06-15,4.302
2016-06-16,5.323
2016-06-17,3.682
2016-06-18,5.315
2016-06-19,6.434
2016-06-20,5.715
2016-06-21,6.119
2016-06-22,7.948
2016-06-23,7.739
2016-06-24,6.817
2016-06-25,7.93
2016-06-26,6.807
2016-06-27,6.7
2016-06-28,6.906
2016-06-29,7.011
2016-06-30,6.608
2016-07-01,6.63
2016-07-02,7.316
2016-07-03,7.027
2016-07-04,6.933
2016-07-05,6.643
2016-07-06,6.295
2016-07-07,6.734
2016-07-08,6.28
2016-07-09,6.824
2016-07-10,5.859
2016-07-11,7.423
2016-07-12,6.55
2016-07-13,6.387
2016-07-14,6.171
2016-07-15,5.75
2016-07-16,6.971
2016-07-17,7.165
2016-07-18,7.358
2016-07-19,7.244
2016-07-20,7.13
2016-07-21,7.83
2016-07-22,6.396
2016-07-23,8.92
2016-07-24,7.185
2016-07-25,7.375
2016-07-26,6.556
2016-07-27,6.747
2016-07-28,6.133
2016-07-29,6.524
2016-07-30,7.932
2016-07-31,7.634
2016-08-01,6.602
2016-08-02,6.413
2016-08-03,6.416
2016-08-04,6.61
2016-08-05,5.75
2016-08-06,6.04
2016-08-07,5.908
2016-08-08,5.588
2016-08-09,5.648
2016-08-10,4.771
2016-08-11,5.206
2016-08-12,6.189
2016-08-13,5.875
2016-08-14,6.75
2016-08-15,6.296
2016-08-16,5.66
2016-08-17,5.662
2016-08-18,6.121
2016-08-19,6.032
2016-08-20,6.034
2016-08-21,5.854
2016-08-22,5.49
2016-08-23,5.502
2016-08-24,5.155
2016-08-25,5.079
2016-08-26,5.348
2016-08-27,4.927
2016-08-28,5.269
2016-08-29,4.857
2016-08-30,5.266
2016-08-31,5.083
2016-09-01,4.624
2016-09-02,4.029
2016-09-03,4.176
2016-09-04,3.587
2016-09-05,4.79
2016-09-06,3.961
2016-09-07,4.588
2016-09-08,3.922
2016-09-09,3.981
2016-09-10,4.04
2016-09-11,4.612
2016-09-12,3.898
2016-09-13,3.514
2016-09-14,3.474
2016-09-15,3.522
2016-09-16,4.284
2016-09-17,3.792
2016-09-18,3.834
2016-09-19,4.992
2016-09-20,5.695
2016-09-21,4.785
2016-09-22,3.315
2016-09-23,3.764
2016-09-24,5.088
2016-09-25,6.376
2016-09-26,3.696
2016-09-27,2.871
2016-09-28,3.596
2016-09-29,4.301
2016-09-30,4.018
2016-10-01,2.617
2016-10-02,2.075
2016-10-03,0.919
2016-10-04,1.552
2016-10-05,2.165
2016-10-06,2.474
2016-10-07,2.006
2016-10-08,1.389
2016-10-09,1.774
2016-10-10,2.212
2016-10-11,1.854
2016-10-12,2.05
2016-10-13,2.721
2016-10-14,0.739
2016-10-15,0.799
2016-10-16,1.115
2016-10-17,1.834
2016-10-18,2.134
2016-10-19,3.533
2016-10-20,2.001
2016-10-21,1.935
2016-10-22,1.869
2016-10-23,2.403
2016-10-24,1.302
2016-10-25,0.348
2016-10-26,1.402
2016-10-27,0.448
2016-10-28,0.429
2016-10-29,0.76
2016-10-30,0.613
2016-10-31,0.741
2016-11-01,0.74
2016-11-02,0.799
2016-11-03,0.762
2016-11-04,0.827
2016-11-05,0.841
2016-11-06,0.694
2016-11-07,0.651
2016-11-08,0.772
2016-11-09,0.784
2016-11-10,0.74
2016-11-11,0.866
2016-11-12,0.821
2016-11-13,0.714
2016-11-14,0.785
2016-11-15,0.551
2016-11-16,0.869
2016-11-17,1.008
2016-11-18,1.213
2016-11-19,0.522
2016-11-20,0.533
2016-11-21,0.544
2016-11-22,0.555
2016-11-23,0.637
2016-11-24,0.577
2016-11-25,0.662
2016-11-26,0.225
2016-11-27,0.534
2016-11-28,0.466
2016-11-29,1.028
