time,eto
2016-01-01,2.073
2016-01-02,2.16
2016-01-03,2.16
2016-01-04,0.95
2016-01-05,0.518
2016-01-06,1.728
2016-01-07,1.123
2016-01-08,1.728
2016-01-09,1.469
2016-01-10,1.037
2016-01-11,1.814
2016-01-12,2.16
2016-01-13,2.073
2016-01-14,2.073
2016-01-15,2.765
2016-01-16,1.642
2016-01-17,2.073
2016-01-18,1.901
2016-01-19,2.073
2016-01-20,1.901
2016-01-21,2.333
2016-01-22,2.073
2016-01-23,2.765
2016-01-24,2.765
2016-01-25,2.937
2016-01-26,3.283
2016-01-27,2.765
2016-01-28,2.765
2016-01-29,2.678
2016-01-30,3.629
2016-01-31,3.629
2016-02-01,6.738
2016-02-02,4.061
2016-02-03,4.154
2016-02-04,4.061
2016-02-05,4.523
2016-02-06,4.061
2016-02-07,4.984
2016-02-08,5.723
2016-02-09,5.538
2016-02-10,4.708
2016-02-11,3.969
2016-02-12,3.969
2016-02-13,4.892
2016-02-14,5.815
2016-02-15,5.538
2016-02-16,4.061
2016-02-17,4.431
2016-02-18,2.861
2016-02-19,3.969
2016-02-20,4.523
2016-02-21,5.169
2016-02-22,5.354
2016-02-23,3.969
2016-02-24,3.6
2016-02-25,3.784
2016-02-26,3.415
2016-02-27,3.415
2016-02-28,3.6
2016-02-29,3.323
2016-03-01,5.25
2016-03-02,5.344
2016-03-03,5.625
2016-03-04,5.812
2016-03-05,4.969
2016-03-06,5.062
2016-03-07,3.375
2016-03-08,5.156
2016-03-09,5.625
2016-03-10,5.625
2016-03-11,6.375
2016-03-12,4.969
2016-03-13,5.25
2016-03-14,4.875
2016-03-15,4.969
2016-03-16,5.25
2016-03-17,5.719
2016-03-18,5.812
2016-03-19,5.719
2016-03-20,6.281
2016-03-21,7.219
2016-03-22,6.656
2016-03-23,6.562
2016-03-24,6.0
2016-03-25,6.094
2016-03-26,6.469
2016-03-27,5.625
2016-03-28,6.281
2016-03-29,5.25
2016-03-30,4.406
2016-03-31,6.187
2016-04-01,6.226
2016-04-02,5.297
2016-04-03,5.483
2016-04-04,6.598
2016-04-05,6.784
2016-04-06,7.806
2016-04-07,4.646
2016-04-08,3.16
2016-04-09,3.81
2016-04-10,3.345
2016-04-11,2.974
2016-04-12,5.018
2016-04-13,5.855
2016-04-14,7.527
2016-04-15,7.899
2016-04-16,8.364
2016-04-17,7.527
2016-04-18,4.832
2016-04-19,6.226
2016-04-20,7.806
2016-04-21,7.806
2016-04-22,8.735
2016-04-23,6.97
2016-04-24,8.085
2016-04-25,7.341
2016-04-26,6.319
2016-04-27,7.434
2016-04-28,6.505
2016-04-29,7.063
2016-04-30,5.576
2016-05-01,6.229
2016-05-02,6.131
2016-05-03,7.202
2016-05-04,8.273
2016-05-05,7.689
2016-05-06,4.769
2016-05-07,5.645
2016-05-08,6.326
2016-05-09,6.326
2016-05-10,6.715
2016-05-11,6.91
2016-05-12,8.273
2016-05-13,8.565
2016-05-14,8.273
2016-05-15,8.273
2016-05-16,7.689
2016-05-17,6.91
2016-05-18,7.689
2016-05-19,9.051
2016-05-20,9.538
2016-05-21,8.662
2016-05-22,7.591
2016-05-23,8.078
2016-05-24,8.078
2016-05-25,7.299
2016-05-26,7.689
2016-05-27,7.591
2016-05-28,7.494
2016-05-29,6.91
2016-05-30,7.397
2016-05-31,7.981
2016-06-01,8.236
2016-06-02,8.517
2016-06-03,9.172
2016-06-04,11.231
2016-06-05,10.763
2016-06-06,9.921
2016-06-07,8.423
2016-06-08,8.611
2016-06-09,8.798
2016-06-10,7.675
2016-06-11,7.487
2016-06-12,7.581
2016-06-13,7.955
2016-06-14,8.704
2016-06-15,9.64
2016-06-16,8.798
2016-06-17,8.985
2016-06-18,8.985
2016-06-19,9.172
2016-06-20,11.325
2016-06-21,8.611
2016-06-22,10.389
2016-06-23,9.734
2016-06-24,9.172
2016-06-25,8.517
2016-06-26,7.955
2016-06-27,8.704
2016-06-28,8.33
2016-06-29,8.611
2016-06-30,8.236
2016-07-01,9.051
2016-07-02,9.343
2016-07-03,8.954
2016-07-04,9.83
2016-07-05,10.997
2016-07-06,10.024
2016-07-07,9.148
2016-07-08,9.538
2016-07-09,9.732
2016-07-10,10.997
2016-07-11,9.635
2016-07-12,9.343
2016-07-13,9.148
2016-07-14,9.246
2016-07-15,10.219
2016-07-16,10.122
2016-07-17,9.927
2016-07-18,8.856
2016-07-19,8.856
2016-07-20,7.98
2016-07-21,9.343
2016-07-22,9.246
2016-07-23,8.954
2016-07-24,9.051
2016-07-25,8.467
2016-07-26,8.662
2016-07-27,9.246
2016-07-28,8.856
2016-07-29,9.635
2016-07-30,8.759
2016-07-31,7.98
2016-08-01,7.781
2016-08-02,8.261
2016-08-03,8.549
2016-08-04,7.396
2016-08-05,7.973
2016-08-06,8.261
2016-08-07,8.453
2016-08-08,8.453
2016-08-09,9.413
2016-08-10,8.165
2016-08-11,7.012
2016-08-12,6.724
2016-08-13,7.108
2016-08-14,7.973
2016-08-15,8.453
2016-08-16,9.125
2016-08-17,8.645
2016-08-18,7.396
2016-08-19,8.069
2016-08-20,8.453
2016-08-21,6.724
2016-08-22,7.684
2016-08-23,8.261
2016-08-24,7.877
2016-08-25,8.165
2016-08-26,6.916
2016-08-27,6.244
2016-08-28,6.148
2016-08-29,7.588
2016-08-30,7.396
2016-08-31,6.916
2016-09-01,7.607
2016-09-02,7.607
2016-09-03,8.938
2016-09-04,8.938
2016-09-05,7.227
2016-09-06,7.227
2016-09-07,6.181
2016-09-08,6.371
2016-09-09,6.846
2016-09-10,9.033
2016-09-11,9.128
2016-09-12,8.463
2016-09-13,6.561
2016-09-14,6.466
2016-09-15,6.276
2016-09-16,6.181
2016-09-17,6.656
2016-09-18,6.086
2016-09-19,6.751
2016-09-20,2.472
2016-09-21,2.377
2016-09-22,6.466
2016-09-23,6.181
2016-09-24,6.466
2016-09-25,8.653
2016-09-26,6.941
2016-09-27,4.184
2016-09-28,4.659
2016-09-29,4.754
2016-09-30,5.42
2016-10-01,5.429
2016-10-02,6.365
2016-10-03,5.99
2016-10-04,5.429
2016-10-05,5.148
2016-10-06,5.71
2016-10-07,5.148
2016-10-08,5.054
2016-10-09,4.493
2016-10-10,4.493
2016-10-11,5.335
2016-10-12,5.71
2016-10-13,5.054
2016-10-14,4.867
2016-10-15,5.803
2016-10-16,5.429
2016-10-17,4.399
2016-10-18,4.118
2016-10-19,5.99
2016-10-20,5.897
2016-10-21,4.961
2016-10-22,5.148
2016-10-23,4.306
2016-10-24,3.557
2016-10-25,2.995
2016-10-26,3.463
2016-10-27,3.463
2016-10-28,4.212
2016-10-29,3.37
2016-10-30,3.838
2016-10-31,3.557
2016-11-01,4.069
2016-11-02,4.688
2016-11-03,4.599
2016-11-04,3.715
2016-11-05,3.626
2016-11-06,3.184
2016-11-07,3.007
2016-11-08,4.245
2016-11-09,3.98
2016-11-10,2.565
2016-11-11,3.361
2016-11-12,2.477
2016-11-13,3.184
2016-11-14,3.361
2016-11-15,3.007
2016-11-16,4.511
2016-11-17,3.538
2016-11-18,2.919
2016-11-19,2.919
2016-11-20,3.184
2016-11-21,2.034
2016-11-22,2.211
2016-11-23,2.034
2016-11-24,3.538
2016-11-25,2.919
2016-11-26,3.007
2016-11-27,1.946
2016-11-28,1.857
2016-11-29,2.388
2016-11-30,1.946
2016-12-01,1.957
2016-12-02,3.559
