time,et
2016-01-01,1.23
2016-01-02,1.406
2016-01-03,1.406
2016-01-04,0.879
2016-01-05,0.967
2016-01-06,0.967
2016-01-07,0.967
2016-01-08,0.615
2016-01-09,1.142
2016-01-10,0.791
2016-01-11,1.055
2016-01-12,1.055
2016-01-13,1.494
2016-01-14,0.967
2016-01-15,0.967
2016-01-16,0.879
2016-01-17,1.142
2016-01-18,0.879
2016-01-19,0.615
2016-01-20,0.791
2016-01-21,0.967
2016-01-22,1.23
2016-01-23,0.703
2016-01-24,0.791
2016-01-25,1.142
2016-01-26,1.23
2016-01-27,1.142
2016-01-28,1.142
2016-01-29,1.142
2016-01-30,0.615
2016-01-31,0.439
2016-02-01,3.56
2016-02-02,1.552
2016-02-03,1.643
2016-02-04,1.461
2016-02-05,1.643
2016-02-06,1.552
2016-02-07,1.855
2016-02-08,2.166
2016-02-09,2.295
2016-02-10,1.747
2016-02-11,1.281
2016-02-12,1.399
2016-02-13,1.724
2016-02-14,1.954
2016-02-15,2.295
2016-02-16,1.375
2016-02-17,1.286
2016-02-18,2.173
2016-02-19,2.312
2016-02-20,3.123
2016-02-21,2.937
2016-02-22,1.945
2016-02-23,1.449
2016-02-24,1.845
2016-02-25,1.689
2016-02-26,1.848
2016-02-27,1.595
2016-02-28,1.451
2016-02-29,1.782
2016-03-01,2.384
2016-03-02,2.462
2016-03-03,2.277
2016-03-04,2.529
2016-03-05,1.476
2016-03-06,2.162
2016-03-07,1.808
2016-03-08,1.8
2016-03-09,2.134
2016-03-10,2.782
2016-03-11,1.948
2016-03-12,1.893
2016-03-13,1.651
2016-03-14,1.773
2016-03-15,2.752
2016-03-16,2.992
2016-03-17,3.139
2016-03-18,3.345
2016-03-19,3.164
2016-03-20,3.259
2016-03-21,2.816
2016-03-22,3.163
2016-03-23,2.903
2016-03-24,2.976
2016-03-25,3.194
2016-03-26,3.152
2016-03-27,3.268
2016-03-28,3.064
2016-03-29,3.017
2016-03-30,3.298
2016-03-31,3.334
2016-04-01,3.446
2016-04-02,3.483
2016-04-03,3.557
2016-04-04,4.126
2016-04-05,4.033
2016-04-06,3.694
2016-04-07,4.013
2016-04-08,2.614
2016-04-09,2.118
2016-04-10,2.032
2016-04-11,2.513
2016-04-12,3.315
2016-04-13,2.742
2016-04-14,3.941
2016-04-15,3.45
2016-04-16,3.761
2016-04-17,4.07
2016-04-18,4.219
2016-04-19,4.402
2016-04-20,4.023
2016-04-21,4.449
2016-04-22,4.229
2016-04-23,4.006
2016-04-24,3.78
2016-04-25,3.304
2016-04-26,3.986
2016-04-27,4.591
2016-04-28,2.913
2016-04-29,4.311
2016-04-30,4.49
2016-05-01,4.107
2016-05-02,4.267
2016-05-03,4.208
