time,et
2016-01-01,0.649
2016-01-02,0.749
2016-01-03,0.799
2016-01-04,0.349
2016-01-05,0.449
2016-01-06,0.499
2016-01-07,0.449
2016-01-08,0.349
2016-01-09,0.649
2016-01-10,0.449
2016-01-11,0.549
2016-01-12,0.549
2016-01-13,0.799
2016-01-14,0.399
2016-01-15,0.449
2016-01-16,0.449
2016-01-17,0.599
2016-01-18,0.449
2016-01-19,0.25
2016-01-20,0.499
2016-01-21,0.549
2016-01-22,0.549
2016-01-23,0.499
2016-01-24,0.549
2016-01-25,0.599
2016-01-26,0.599
2016-01-27,0.549
2016-01-28,0.649
2016-01-29,0.449
2016-01-30,0.25
2016-01-31,0.2
2016-02-01,1.961
2016-02-02,0.929
2016-02-03,0.877
2016-02-04,0.774
2016-02-05,0.826
2016-02-06,0.929
2016-02-07,1.0
2016-02-08,1.127
2016-02-09,1.258
2016-02-10,0.947
2016-02-11,0.794
2016-02-12,0.924
2016-02-13,1.175
2016-02-14,1.495
2016-02-15,1.216
2016-02-16,1.051
2016-02-17,0.754
2016-02-18,1.597
2016-02-19,1.363
2016-02-20,1.845
2016-02-21,2.075
2016-02-22,1.359
2016-02-23,0.98
2016-02-24,1.067
2016-02-25,1.022
2016-02-26,1.036
2016-02-27,1.044
2016-02-28,1.047
2016-02-29,0.945
2016-03-01,1.341
2016-03-02,1.177
2016-03-03,1.065
2016-03-04,1.079
2016-03-05,0.597
2016-03-06,0.902
2016-03-07,0.545
2016-03-08,0.617
2016-03-09,0.535
2016-03-10,0.933
2016-03-11,0.535
2016-03-12,0.735
2016-03-13,0.601
2016-03-14,0.998
2016-03-15,1.402
2016-03-16,1.552
2016-03-17,1.709
2016-03-18,1.781
2016-03-19,1.644
2016-03-20,1.558
2016-03-21,1.255
2016-03-22,1.508
2016-03-23,1.262
2016-03-24,1.357
2016-03-25,1.294
2016-03-26,1.302
2016-03-27,1.311
2016-03-28,1.082
2016-03-29,1.123
2016-03-30,1.233
2016-03-31,1.379
2016-04-01,1.457
2016-04-02,1.431
2016-04-03,1.475
2016-04-04,1.731
2016-04-05,1.706
2016-04-06,1.538
2016-04-07,1.655
2016-04-08,1.267
2016-04-09,0.91
2016-04-10,0.806
2016-04-11,1.216
2016-04-12,1.631
2016-04-13,1.491
2016-04-14,1.762
2016-04-15,1.885
2016-04-16,1.707
2016-04-17,1.907
2016-04-18,1.841
2016-04-19,1.89
2016-04-20,1.862
2016-04-21,2.067
2016-04-22,1.726
2016-04-23,1.932
2016-04-24,1.784
2016-04-25,1.714
2016-04-26,1.924
2016-04-27,2.052
2016-04-28,1.476
2016-04-29,1.988
2016-04-30,2.107
2016-05-01,1.867
2016-05-02,1.907
2016-05-03,1.979
2016-05-04,1.842
2016-05-05,1.441
2016-05-06,1.218
2016-05-07,0.905
2016-05-08,1.079
2016-05-09,1.463
2016-05-10,1.832
2016-05-11,1.826
2016-05-12,1.995
2016-05-13,1.87
2016-05-14,1.749
2016-05-15,1.77
2016-05-16,1.869
2016-05-17,1.884
2016-05-18,1.922
2016-05-19,1.728
2016-05-20,1.441
2016-05-21,1.361
2016-05-22,1.484
2016-05-23,1.531
2016-05-24,1.395
2016-05-25,1.548
2016-05-26,1.785
2016-05-27,1.892
2016-05-28,2.001
2016-05-29,2.196
2016-05-30,2.253
2016-05-31,2.369
2016-06-01,2.427
2016-06-02,2.488
2016-06-03,2.488
2016-06-04,2.365
2016-06-05,2.581
2016-06-06,2.58
2016-06-07,2.77
2016-06-08,2.705
2016-06-09,2.215
2016-06-10,2.307
2016-06-11,1.899
2016-06-12,2.258
2016-06-13,2.487
2016-06-14,2.54
2016-06-15,2.229
2016-06-16,2.024
2016-06-17,1.92
2016-06-18,1.973
2016-06-19,1.902
2016-06-20,2.333
2016-06-21,2.715
2016-06-22,2.768
2016-06-23,2.787
2016-06-24,2.479
2016-06-25,2.288
2016-06-26,2.334
2016-06-27,2.2
2016-06-28,2.07
2016-06-29,2.181
2016-06-30,1.868
2016-07-01,1.645
2016-07-02,1.637
2016-07-03,1.753
2016-07-04,1.897
2016-07-05,1.966
2016-07-06,1.908
2016-07-07,1.9
2016-07-08,1.954
2016-07-09,2.063
2016-07-10,2.011
2016-07-11,2.067
