time,et
2016-01-01,0.67
2016-01-02,0.774
2016-01-03,0.825
2016-01-04,0.361
2016-01-05,0.464
2016-01-06,0.516
2016-01-07,0.464
2016-01-08,0.361
2016-01-09,0.67
2016-01-10,0.464
2016-01-11,0.567
2016-01-12,0.567
2016-01-13,0.774
2016-01-14,0.413
2016-01-15,0.464
2016-01-16,0.464
2016-01-17,0.619
2016-01-18,0.464
2016-01-19,0.309
2016-01-20,0.516
2016-01-21,0.567
2016-01-22,0.619
2016-01-23,0.516
2016-01-24,0.567
2016-01-25,0.619
2016-01-26,0.67
2016-01-27,0.567
2016-01-28,0.67
2016-01-29,0.516
2016-01-30,0.309
2016-01-31,0.206
2016-02-01,2.082
2016-02-02,0.854
2016-02-03,0.961
2016-02-04,0.908
2016-02-05,0.961
2016-02-06,0.961
2016-02-07,1.122
2016-02-08,1.176
2016-02-09,1.231
2016-02-10,0.964
2016-02-11,0.75
2016-02-12,0.858
2016-02-13,1.073
2016-02-14,1.289
2016-02-15,1.128
2016-02-16,0.914
2016-02-17,0.646
2016-02-18,1.346
2016-02-19,1.132
2016-02-20,1.456
2016-02-21,1.619
2016-02-22,1.08
2016-02-23,0.784
2016-02-24,0.859
2016-02-25,0.878
2016-02-26,0.893
2016-02-27,0.86
2016-02-28,0.827
2016-02-29,0.793
2016-03-01,1.15
2016-03-02,1.133
2016-03-03,1.152
2016-03-04,1.312
2016-03-05,0.869
2016-03-06,1.394
2016-03-07,1.066
2016-03-08,1.231
2016-03-09,1.223
2016-03-10,1.948
2016-03-11,1.097
2016-03-12,1.325
2016-03-13,1.019
2016-03-14,1.602
2016-03-15,2.141
2016-03-16,2.265
2016-03-17,2.393
2016-03-18,2.461
2016-03-19,2.31
2016-03-20,2.299
2016-03-21,1.891
2016-03-22,2.261
2016-03-23,1.994
2016-03-24,2.205
2016-03-25,2.17
2016-03-26,2.029
2016-03-27,1.943
2016-03-28,1.565
2016-03-29,1.586
2016-03-30,1.598
2016-03-31,1.686
2016-04-01,1.643
2016-04-02,1.55
2016-04-03,1.519
2016-04-04,1.743
2016-04-05,1.672
2016-04-06,1.532
2016-04-07,1.567
2016-04-08,1.166
2016-04-09,0.814
2016-04-10,0.7
2016-04-11,1.026
2016-04-12,1.305
2016-04-13,1.154
2016-04-14,1.356
2016-04-15,1.377
2016-04-16,1.258
2016-04-17,1.33
2016-04-18,1.293
2016-04-19,1.355
2016-04-20,1.413
2016-04-21,1.686
2016-04-22,1.486
2016-04-23,1.67
2016-04-24,1.61
2016-04-25,1.612
2016-04-26,1.928
2016-04-27,2.047
2016-04-28,1.525
2016-04-29,2.085
2016-04-30,2.204
2016-05-01,1.982
2016-05-02,2.136
2016-05-03,2.213
2016-05-04,2.173
2016-05-05,1.706
2016-05-06,1.472
2016-05-07,1.084
2016-05-08,1.277
2016-05-09,1.818
2016-05-10,2.281
2016-05-11,2.279
2016-05-12,2.471
2016-05-13,2.298
2016-05-14,2.025
2016-05-15,1.921
2016-05-16,1.889
2016-05-17,1.755
2016-05-18,1.632
2016-05-19,1.317
2016-05-20,0.966
2016-05-21,0.939
2016-05-22,1.017
2016-05-23,1.06
2016-05-24,0.993
2016-05-25,1.093
2016-05-26,1.295
2016-05-27,1.364
2016-05-28,1.436
2016-05-29,1.614
2016-05-30,1.669
2016-05-31,1.748
2016-06-01,1.761
2016-06-02,1.796
2016-06-03,1.831
2016-06-04,1.699
2016-06-05,1.975
2016-06-06,2.011
2016-06-07,2.149
2016-06-08,2.084
2016-06-09,1.702
2016-06-10,1.758
2016-06-11,1.49
2016-06-12,1.817
2016-06-13,1.987
2016-06-14,1.946
2016-06-15,1.647
2016-06-16,1.441
2016-06-17,1.316
2016-06-18,1.303
2016-06-19,1.202
2016-06-20,1.366
2016-06-21,1.548
2016-06-22,1.774
2016-06-23,1.936
2016-06-24,1.89
2016-06-25,1.914
2016-06-26,2.095
2016-06-27,2.132
2016-06-28,2.11
