time,eto
2016-01-01,1.143
2016-01-02,1.318
2016-01-03,1.406
2016-01-04,0.615
2016-01-05,0.791
2016-01-06,0.879
2016-01-07,0.791
2016-01-08,0.615
2016-01-09,1.143
2016-01-10,0.791
2016-01-11,0.967
2016-01-12,0.967
2016-01-13,1.318
2016-01-14,0.703
2016-01-15,0.791
2016-01-16,0.791
2016-01-17,1.055
2016-01-18,0.791
2016-01-19,0.439
2016-01-20,0.879
2016-01-21,0.967
2016-01-22,0.967
2016-01-23,0.879
2016-01-24,0.967
2016-01-25,1.055
2016-01-26,1.055
2016-01-27,0.967
2016-01-28,1.143
2016-01-29,0.879
2016-01-30,0.527
2016-01-31,0.352
2016-02-01,3.474
2016-02-02,1.554
2016-02-03,1.646
2016-02-04,1.463
2016-02-05,1.554
2016-02-06,1.646
2016-02-07,1.829
2016-02-08,2.012
2016-02-09,2.103
2016-02-10,1.554
2016-02-11,1.28
2016-02-12,1.463
2016-02-13,1.829
2016-02-14,2.286
2016-02-15,1.92
2016-02-16,1.554
2016-02-17,1.189
2016-02-18,2.286
2016-02-19,1.92
2016-02-20,2.469
2016-02-21,2.743
2016-02-22,1.829
2016-02-23,1.372
2016-02-24,1.646
2016-02-25,1.554
2016-02-26,1.737
2016-02-27,1.737
2016-02-28,1.737
2016-02-29,1.737
2016-03-01,2.616
2016-03-02,2.43
2016-03-03,2.336
2016-03-04,2.523
2016-03-05,1.495
2016-03-06,2.43
2016-03-07,1.682
2016-03-08,1.962
2016-03-09,1.869
2016-03-10,2.897
2016-03-11,1.495
2016-03-12,1.869
2016-03-13,1.402
2016-03-14,2.149
2016-03-15,2.803
2016-03-16,2.897
2016-03-17,2.99
2016-03-18,3.177
2016-03-19,3.084
2016-03-20,3.177
2016-03-21,2.71
2016-03-22,3.364
2016-03-23,3.084
2016-03-24,3.551
2016-03-25,3.644
2016-03-26,3.644
2016-03-27,3.551
2016-03-28,2.99
2016-03-29,3.177
2016-03-30,3.364
2016-03-31,3.738
2016-04-01,3.843
2016-04-02,3.843
2016-04-03,3.843
2016-04-04,4.499
2016-04-05,4.499
2016-04-06,4.124
2016-04-07,4.311
2016-04-08,3.28
2016-04-09,2.343
2016-04-10,2.062
2016-04-11,3.093
2016-04-12,4.124
2016-04-13,3.749
2016-04-14,4.311
2016-04-15,4.686
2016-04-16,4.311
2016-04-17,4.686
2016-04-18,4.592
2016-04-19,4.592
2016-04-20,4.499
2016-04-21,4.967
2016-04-22,4.124
2016-04-23,4.499
2016-04-24,4.218
2016-04-25,4.03
2016-04-26,4.499
2016-04-27,4.874
2016-04-28,3.561
2016-04-29,4.874
2016-04-30,5.155
2016-05-01,4.736
2016-05-02,5.009
2016-05-03,5.191
