time,et
2016-01-01,0.616
2016-01-02,1.027
2016-01-03,1.164
2016-01-04,0.616
2016-01-05,0.548
2016-01-06,0.616
2016-01-07,0.479
2016-01-08,0.548
2016-01-09,0.958
2016-01-10,0.685
2016-01-11,0.822
2016-01-12,0.822
2016-01-13,1.232
2016-01-14,0.616
2016-01-15,0.753
2016-01-16,0.89
2016-01-17,0.548
2016-01-18,0.958
2016-01-19,0.411
2016-01-20,0.822
2016-01-21,0.822
2016-01-22,0.685
2016-01-23,0.89
2016-01-24,0.685
2016-01-25,0.822
2016-01-26,0.89
2016-01-27,0.822
2016-01-28,0.548
2016-01-29,0.616
2016-01-30,0.822
2016-01-31,1.438
2016-02-01,2.578
2016-02-02,1.805
2016-02-03,1.934
2016-02-04,1.547
2016-02-05,1.538
2016-02-06,1.806
2016-02-07,1.619
2016-02-08,1.798
2016-02-09,1.826
2016-02-10,1.303
2016-02-11,1.138
2016-02-12,1.175
2016-02-13,1.399
2016-02-14,2.321
2016-02-15,1.726
2016-02-16,1.722
2016-02-17,1.34
2016-02-18,2.006
2016-02-19,1.518
2016-02-20,2.561
2016-02-21,2.389
2016-02-22,1.849
2016-02-23,1.452
2016-02-24,1.682
2016-02-25,1.635
2016-02-26,1.681
2016-02-27,1.931
2016-02-28,2.295
2016-02-29,2.141
2016-03-01,3.493
2016-03-02,2.835
2016-03-03,1.961
2016-03-04,2.504
2016-03-05,2.066
2016-03-06,2.825
2016-03-07,1.846
2016-03-08,2.169
2016-03-09,2.709
2016-03-10,2.707
2016-03-11,2.272
2016-03-12,2.918
2016-03-13,2.16
2016-03-14,2.589
2016-03-15,3.449
2016-03-16,3.563
2016-03-17,3.361
2016-03-18,3.658
2016-03-19,3.356
2016-03-20,3.345
2016-03-21,2.518
2016-03-22,3.044
2016-03-23,3.36
2016-03-24,3.898
2016-03-25,4.089
2016-03-26,4.375
2016-03-27,3.615
2016-03-28,3.52
2016-03-29,3.807
2016-03-30,3.998
2016-03-31,4.189
2016-04-01,3.952
2016-04-02,3.871
2016-04-03,4.359
2016-04-04,4.945
2016-04-05,5.153
2016-04-06,4.692
2016-04-07,4.996
2016-04-08,3.953
2016-04-09,2.032
2016-04-10,1.747
2016-04-11,3.117
2016-04-12,3.812
2016-04-13,4.413
2016-04-14,4.231
2016-04-15,6.121
2016-04-16,4.953
2016-04-17,4.891
2016-04-18,4.72
2016-04-19,4.64
2016-04-20,5.197
2016-04-21,4.843
2016-04-22,3.205
2016-04-23,4.221
2016-04-24,4.783
2016-04-25,5.438
2016-04-26,4.619
2016-04-27,3.795
2016-04-28,5.381
2016-04-29,4.927
2016-04-30,7.081
2016-05-01,5.316
2016-05-02,5.328
2016-05-03,5.058
2016-05-04,5.069
2016-05-05,4.233
2016-05-06,2.828
2016-05-07,2.267
2016-05-08,3.029
2016-05-09,4.648
2016-05-10,5.989
2016-05-11,6.588
2016-05-12,7.166
2016-05-13,5.884
2016-05-14,5.843
2016-05-15,6.378
2016-05-16,7.255
2016-05-17,7.712
2016-05-18,7.331
2016-05-19,5.481
2016-05-20,4.475
2016-05-21,3.452
2016-05-22,4.909
2016-05-23,4.321
2016-05-24,4.811
2016-05-25,5.949
2016-05-26,6.367
2016-05-27,6.501
2016-05-28,6.905
2016-05-29,7.302
2016-05-30,7.423
2016-05-31,7.719
2016-06-01,7.224
2016-06-02,7.339
2016-06-03,7.279
2016-06-04,6.71
2016-06-05,7.665
2016-06-06,6.933
2016-06-07,6.378
2016-06-08,6.078
2016-06-09,5.619
2016-06-10,5.974
2016-06-11,5.602
2016-06-12,6.519
2016-06-13,5.827
2016-06-14,5.29
2016-06-15,4.91
2016-06-16,5.184
2016-06-17,4.882
2016-06-18,5.491
2016-06-19,6.106
2016-06-20,7.569
2016-06-21,8.049
2016-06-22,7.367
2016-06-23,7.266
2016-06-24,6.847
2016-06-25,7.692
2016-06-26,7.891
2016-06-27,7.167
2016-06-28,7.809
2016-06-29,7.282
2016-06-30,6.831
2016-07-01,6.682
2016-07-02,6.311
2016-07-03,6.718
2016-07-04,6.501
2016-07-05,6.048
2016-07-06,5.985
2016-07-07,5.753
2016-07-08,6.231
2016-07-09,5.525
2016-07-10,6.082
2016-07-11,6.877
2016-07-12,6.487
2016-07-13,7.046
2016-07-14,7.355
2016-07-15,6.792
2016-07-16,5.938
2016-07-17,5.78
2016-07-18,5.18
2016-07-19,5.544
2016-07-20,5.751
2016-07-21,5.666
2016-07-22,6.633
2016-07-23,7.638
2016-07-24,6.451
2016-07-25,5.978
2016-07-26,6.547
2016-07-27,7.036
2016-07-28,7.245
2016-07-29,7.046
2016-07-30,6.943
2016-07-31,6.202
2016-08-01,5.825
2016-08-02,6.149
2016-08-03,6.704
2016-08-04,5.81
2016-08-05,5.14
2016-08-06,5.466
2016-08-07,5.794
2016-08-08,6.005
2016-08-09,5.533
2016-08-10,5.22
2016-08-11,5.421
2016-08-12,5.54
2016-08-13,5.653
2016-08-14,5.689
2016-08-15,5.777
2016-08-16,5.411
2016-08-17,5.419
2016-08-18,4.702
2016-08-19,5.072
2016-08-20,5.291
2016-08-21,5.014
2016-08-22,4.881
2016-08-23,5.203
2016-08-24,5.734
2016-08-25,5.261
2016-08-26,4.565
2016-08-27,4.518
2016-08-28,4.616
2016-08-29,5.23
2016-08-30,5.184
2016-08-31,5.383
2016-09-01,4.759
2016-09-02,4.85
2016-09-03,4.405
2016-09-04,3.745
2016-09-05,4.58
2016-09-06,4.807
2016-09-07,4.954
2016-09-08,4.893
2016-09-09,5.01
2016-09-10,5.425
2016-09-11,4.573
2016-09-12,3.705
2016-09-13,3.05
2016-09-14,3.691
2016-09-15,4.265
2016-09-16,4.59
2016-09-17,4.98
2016-09-18,4.464
2016-09-19,5.135
2016-09-20,4.194
2016-09-21,3.207
2016-09-22,3.511
2016-09-23,4.219
2016-09-24,3.883
2016-09-25,3.131
2016-09-26,3.74
2016-09-27,4.009
2016-09-28,4.141
2016-09-29,3.731
2016-09-30,3.592
2016-10-01,3.433
2016-10-02,2.805
2016-10-03,1.16
2016-10-04,2.357
2016-10-05,2.895
2016-10-06,3.171
2016-10-07,2.579
2016-10-08,2.305
2016-10-09,2.575
2016-10-10,2.434
2016-10-11,2.258
2016-10-12,2.578
2016-10-13,1.945
2016-10-14,1.28
2016-10-15,2.128
2016-10-16,0.993
2016-10-17,2.195
2016-10-18,2.302
2016-10-19,2.726
2016-10-20,2.101
2016-10-21,2.105
2016-10-22,2.18
2016-10-23,1.903
2016-10-24,2.189
2016-10-25,1.557
2016-10-26,1.985
2016-10-27,0.832
2016-10-28,0.745
2016-10-29,1.322
2016-10-30,1.032
2016-10-31,1.132
2016-11-01,1.272
2016-11-02,1.298
2016-11-03,1.207
2016-11-04,1.297
2016-11-05,1.679
2016-11-06,1.321
2016-11-07,1.484
2016-11-08,1.656
2016-11-09,2.205
2016-11-10,2.029
2016-11-11,2.083
2016-11-12,2.234
2016-11-13,1.622
2016-11-14,1.33
