time,et
2016-01-01,0.586
2016-01-02,0.635
2016-01-03,0.635
2016-01-04,0.488
2016-01-05,0.488
2016-01-06,0.586
2016-01-07,0.537
2016-01-08,0.391
2016-01-09,0.635
2016-01-10,0.44
2016-01-11,0.537
2016-01-12,0.586
2016-01-13,0.781
2016-01-14,0.586
2016-01-15,0.537
2016-01-16,0.537
2016-01-17,0.781
2016-01-18,0.537
2016-01-19,0.44
2016-01-20,0.537
2016-01-21,0.586
2016-01-22,0.781
2016-01-23,0.44
2016-01-24,0.586
2016-01-25,0.684
2016-01-26,0.586
2016-01-27,0.635
2016-01-28,0.733
2016-01-29,0.586
2016-01-30,0.342
2016-01-31,0.293
2016-02-01,1.804
2016-02-02,1.002
2016-02-03,0.852
2016-02-04,0.752
2016-02-05,0.752
2016-02-06,0.802
2016-02-07,0.751
2016-02-08,0.951
2016-02-09,1.05
2016-02-10,0.849
2016-02-11,0.698
2016-02-12,0.847
2016-02-13,1.095
2016-02-14,1.144
2016-02-15,1.081
2016-02-16,0.776
2016-02-17,0.767
2016-02-18,1.088
2016-02-19,0.934
2016-02-20,1.383
2016-02-21,1.365
2016-02-22,0.853
2016-02-23,0.646
2016-02-24,0.701
2016-02-25,0.63
2016-02-26,0.676
2016-02-27,0.678
2016-02-28,0.609
2016-02-29,0.64
2016-03-01,0.827
2016-03-02,0.897
2016-03-03,0.997
2016-03-04,1.224
2016-03-05,0.967
2016-03-06,1.198
2016-03-07,1.076
2016-03-08,1.21
2016-03-09,1.353
2016-03-10,1.847
2016-03-11,1.294
2016-03-12,1.234
2016-03-13,1.111
2016-03-14,1.483
2016-03-15,1.917
2016-03-16,2.043
2016-03-17,2.045
2016-03-18,2.127
2016-03-19,2.085
2016-03-20,1.985
2016-03-21,1.659
2016-03-22,1.904
2016-03-23,1.809
2016-03-24,1.93
2016-03-25,2.097
2016-03-26,1.932
2016-03-27,1.726
2016-03-28,1.312
2016-03-29,1.225
2016-03-30,1.252
2016-03-31,1.227
2016-04-01,1.281
2016-04-02,1.137
2016-04-03,1.121
2016-04-04,1.332
2016-04-05,1.397
2016-04-06,1.211
2016-04-07,1.275
2016-04-08,0.801
2016-04-09,0.658
2016-04-10,0.673
2016-04-11,0.816
2016-04-12,1.029
2016-04-13,0.839
2016-04-14,1.092
2016-04-15,1.026
2016-04-16,1.009
2016-04-17,1.061
2016-04-18,1.042
2016-04-19,1.234
2016-04-20,1.284
2016-04-21,1.707
2016-04-22,1.632
2016-04-23,1.831
2016-04-24,1.905
2016-04-25,1.629
2016-04-26,2.164
2016-04-27,2.512
2016-04-28,1.734
2016-04-29,2.384
2016-04-30,2.573
2016-05-01,2.251
2016-05-02,2.525
2016-05-03,2.653
2016-05-04,2.592
2016-05-05,2.109
2016-05-06,1.958
2016-05-07,1.53
2016-05-08,1.614
2016-05-09,2.201
2016-05-10,2.736
2016-05-11,2.902
2016-05-12,3.247
2016-05-13,3.062
2016-05-14,2.712
2016-05-15,2.256
2016-05-16,2.578
2016-05-17,2.643
2016-05-18,2.623
2016-05-19,2.419
2016-05-20,1.882
2016-05-21,1.705
2016-05-22,1.947
2016-05-23,2.123
2016-05-24,1.828
2016-05-25,1.895
2016-05-26,2.377
2016-05-27,2.606
2016-05-28,2.724
2016-05-29,2.883
2016-05-30,3.046
2016-05-31,3.254
2016-06-01,3.301
2016-06-02,3.348
2016-06-03,3.437
2016-06-04,3.314
2016-06-05,3.532
2016-06-06,3.536
2016-06-07,3.76
2016-06-08,3.585
2016-06-09,3.268
2016-06-10,3.402
2016-06-11,2.979
2016-06-12,2.969
2016-06-13,3.244
2016-06-14,3.337
2016-06-15,2.969
2016-06-16,2.705
2016-06-17,2.494
2016-06-18,2.782
2016-06-19,2.848
2016-06-20,3.17
2016-06-21,3.389
2016-06-22,3.494
2016-06-23,3.675
2016-06-24,3.443
2016-06-25,3.206
2016-06-26,3.503
2016-06-27,3.495
2016-06-28,3.25
2016-06-29,3.673
2016-06-30,3.027
2016-07-01,2.7
2016-07-02,2.612
2016-07-03,2.52
2016-07-04,2.456
2016-07-05,2.326
2016-07-06,2.167
2016-07-07,1.986
2016-07-08,1.985
2016-07-09,1.933
2016-07-10,1.855
2016-07-11,1.955
2016-07-12,2.026
2016-07-13,1.996
2016-07-14,1.871
2016-07-15,1.82
2016-07-16,1.821
2016-07-17,1.798
2016-07-18,1.633
2016-07-19,1.752
2016-07-20,1.777
2016-07-21,1.92
2016-07-22,2.158
2016-07-23,2.183
2016-07-24,1.957
2016-07-25,1.916
2016-07-26,1.998
2016-07-27,2.188
2016-07-28,2.304
2016-07-29,2.225
2016-07-30,2.428
2016-07-31,2.401
2016-08-01,2.375
2016-08-02,2.448
2016-08-03,2.65
2016-08-04,2.653
2016-08-05,2.541
2016-08-06,2.636
2016-08-07,2.962
2016-08-08,2.985
2016-08-09,3.003
2016-08-10,3.058
2016-08-11,2.935
2016-08-12,3.024
2016-08-13,3.346
2016-08-14,3.442
2016-08-15,3.342
2016-08-16,3.079
2016-08-17,2.939
2016-08-18,3.44
2016-08-19,3.49
2016-08-20,3.347
2016-08-21,3.112
2016-08-22,2.789
2016-08-23,3.115
2016-08-24,3.341
2016-08-25,3.012
2016-08-26,2.613
2016-08-27,2.439
2016-08-28,2.349
2016-08-29,2.673
2016-08-30,2.603
2016-08-31,2.356
2016-09-01,2.096
2016-09-02,2.105
2016-09-03,1.982
2016-09-04,1.89
2016-09-05,1.865
2016-09-06,2.107
2016-09-07,1.948
2016-09-08,2.09
2016-09-09,2.099
2016-09-10,2.052
2016-09-11,1.939
2016-09-12,1.727
2016-09-13,1.287
2016-09-14,1.41
2016-09-15,1.661
2016-09-16,2.007
2016-09-17,1.897
2016-09-18,1.569
2016-09-19,2.36
2016-09-20,1.652
2016-09-21,1.645
2016-09-22,1.638
2016-09-23,1.381
2016-09-24,1.219
2016-09-25,1.058
2016-09-26,1.271
