time,et
2016-01-01,1.011
2016-01-02,0.809
2016-01-03,0.741
2016-01-04,0.404
2016-01-05,0.539
2016-01-06,0.404
2016-01-07,0.337
2016-01-08,0.404
2016-01-09,0.337
2016-01-10,0.606
2016-01-11,0.606
2016-01-12,0.674
2016-01-13,0.741
2016-01-14,0.202
2016-01-15,0.472
2016-01-16,0.606
2016-01-17,0.606
2016-01-18,0.809
2016-01-19,0.943
2016-01-20,0.606
2016-01-21,0.741
2016-01-22,0.404
2016-01-23,0.943
2016-01-24,0.606
2016-01-25,0.809
2016-01-26,0.674
2016-01-27,0.876
2016-01-28,0.525
2016-01-29,0.704
2016-01-30,0.685
2016-01-31,1.514
2016-02-01,1.765
2016-02-02,1.285
2016-02-03,1.069
2016-02-04,1.324
2016-02-05,0.892
2016-02-06,1.024
2016-02-07,1.718
2016-02-08,1.407
2016-02-09,0.726
2016-02-10,0.885
2016-02-11,0.627
2016-02-12,0.601
2016-02-13,0.836
2016-02-14,1.396
2016-02-15,1.106
2016-02-16,0.943
2016-02-17,0.675
2016-02-18,1.378
2016-02-19,0.905
2016-02-20,1.129
2016-02-21,1.048
2016-02-22,1.176
2016-02-23,0.981
2016-02-24,0.889
2016-02-25,0.905
2016-02-26,0.865
2016-02-27,0.88
2016-02-28,0.956
2016-02-29,1.094
2016-03-01,1.813
2016-03-02,1.72
2016-03-03,1.062
2016-03-04,1.333
2016-03-05,1.032
2016-03-06,1.573
2016-03-07,1.265
2016-03-08,1.149
2016-03-09,1.098
2016-03-10,0.766
2016-03-11,0.919
2016-03-12,1.362
2016-03-13,1.309
2016-03-14,1.844
2016-03-15,1.87
2016-03-16,2.729
2016-03-17,2.766
2016-03-18,2.414
2016-03-19,2.604
2016-03-20,1.598
2016-03-21,1.538
2016-03-22,2.295
2016-03-23,2.905
2016-03-24,2.331
2016-03-25,3.032
2016-03-26,3.305
2016-03-27,2.464
2016-03-28,2.305
2016-03-29,2.755
2016-03-30,2.389
2016-03-31,2.106
2016-04-01,2.242
2016-04-02,2.332
2016-04-03,2.463
2016-04-04,2.415
2016-04-05,3.183
2016-04-06,3.04
2016-04-07,2.149
