time,eto
2016-01-01,1.127
2016-01-02,1.127
2016-01-03,1.427
2016-01-04,1.127
2016-01-05,0.601
2016-01-06,1.127
2016-01-07,1.277
2016-01-08,1.127
2016-01-09,1.427
2016-01-10,0.976
2016-01-11,1.427
2016-01-12,1.502
2016-01-13,1.727
2016-01-14,1.953
2016-01-15,1.727
2016-01-16,1.652
2016-01-17,1.277
2016-01-18,1.502
2016-01-19,1.352
2016-01-20,1.427
2016-01-21,1.652
2016-01-22,1.577
2016-01-23,1.878
2016-01-24,1.803
2016-01-25,2.103
2016-01-26,2.704
2016-01-27,1.878
2016-01-28,2.028
2016-01-29,3.154
2016-01-30,2.554
2016-01-31,2.328
2016-02-01,5.187
2016-02-02,3.458
2016-02-03,3.458
2016-02-04,3.705
2016-02-05,3.458
2016-02-06,4.034
2016-02-07,5.187
2016-02-08,5.681
2016-02-09,4.693
2016-02-10,2.717
2016-02-11,2.552
2016-02-12,2.47
2016-02-13,3.293
2016-02-14,5.022
2016-02-15,5.105
2016-02-16,3.211
2016-02-17,2.717
2016-02-18,2.882
2016-02-19,3.046
2016-02-20,3.046
2016-02-21,2.882
2016-02-22,3.211
2016-02-23,2.305
2016-02-24,2.799
2016-02-25,3.046
2016-02-26,2.552
2016-02-27,2.141
2016-02-28,2.47
2016-02-29,2.388
2016-03-01,4.073
2016-03-02,4.419
2016-03-03,4.073
2016-03-04,3.899
2016-03-05,2.686
2016-03-06,3.033
2016-03-07,2.08
2016-03-08,3.38
2016-03-09,3.553
2016-03-10,3.726
2016-03-11,3.38
2016-03-12,3.466
2016-03-13,3.466
2016-03-14,3.38
2016-03-15,3.986
2016-03-16,4.246
2016-03-17,3.64
2016-03-18,3.986
2016-03-19,4.333
2016-03-20,4.679
2016-03-21,4.506
2016-03-22,3.466
2016-03-23,5.026
2016-03-24,4.419
2016-03-25,4.766
2016-03-26,4.853
2016-03-27,4.333
2016-03-28,4.159
2016-03-29,3.726
2016-03-30,3.12
2016-03-31,4.246
2016-04-01,4.861
2016-04-02,4.331
2016-04-03,4.596
2016-04-04,4.773
2016-04-05,6.276
2016-04-06,7.336
2016-04-07,3.359
2016-04-08,2.74
2016-04-09,2.74
2016-04-10,3.27
2016-04-11,3.005
2016-04-12,4.331
2016-04-13,4.95
2016-04-14,5.215
2016-04-15,6.099
2016-04-16,7.778
2016-04-17,6.717
2016-04-18,5.392
2016-04-19,6.187
2016-04-20,7.071
2016-04-21,6.717
2016-04-22,6.629
2016-04-23,5.303
2016-04-24,4.861
2016-04-25,4.685
2016-04-26,4.773
2016-04-27,5.48
2016-04-28,4.596
2016-04-29,5.48
2016-04-30,4.773
2016-05-01,5.339
