time,etof
2016-01-01,0.669
2016-01-02,0.669
2016-01-03,0.669
2016-01-04,0.669
2016-01-05,0.669
2016-01-06,0.669
2016-01-07,0.669
2016-01-08,0.669
2016-01-09,0.669
2016-01-10,0.669
2016-01-11,0.671
2016-01-12,0.673
2016-01-13,0.674
2016-01-14,0.676
2016-01-15,0.678
2016-01-16,0.679
2016-01-17,0.681
2016-01-18,0.682
2016-01-19,0.684
2016-01-20,0.686
2016-01-21,0.687
2016-01-22,0.689
2016-01-23,0.691
2016-01-24,0.692
2016-01-25,0.694
2016-01-26,0.695
2016-01-27,0.697
2016-01-28,0.699
2016-01-29,0.7
2016-01-30,0.702
2016-01-31,0.703
2016-02-01,0.705
2016-02-02,0.707
2016-02-03,0.708
2016-02-04,0.71
2016-02-05,0.712
2016-02-06,0.713
2016-02-07,0.715
2016-02-08,0.716
2016-02-09,0.718
2016-02-10,0.72
2016-02-11,0.721
2016-02-12,0.723
2016-02-13,0.724
2016-02-14,0.726
2016-02-15,0.728
2016-02-16,0.729
2016-02-17,0.731
2016-02-18,0.733
2016-02-19,0.734
2016-02-20,0.736
2016-02-21,0.737
2016-02-22,0.739
2016-02-23,0.741
2016-02-24,0.742
2016-02-25,0.744
2016-02-26,0.746
2016-02-27,0.747
2016-02-28,0.749
2016-02-29,0.75
2016-03-01,0.752
2016-03-02,0.754
2016-03-03,0.755
2016-03-04,0.757
2016-03-05,0.758
2016-03-06,0.76
2016-03-07,0.762
2016-03-08,0.763
2016-03-09,0.765
2016-03-10,0.767
2016-03-11,0.768
2016-03-12,0.77
2016-03-13,0.771
2016-03-14,0.773
2016-03-15,0.775
2016-03-16,0.776
2016-03-17,0.778
2016-03-18,0.779
2016-03-19,0.781
2016-03-20,0.783
2016-03-21,0.784
2016-03-22,0.786
2016-03-23,0.796
2016-03-24,0.806
2016-03-25,0.816
2016-03-26,0.826
2016-03-27,0.836
2016-03-28,0.846
2016-03-29,0.856
2016-03-30,0.866
2016-03-31,0.846
2016-04-01,0.826
2016-04-02,0.806
2016-04-03,0.786
2016-04-04,0.766
2016-04-05,0.746
2016-04-06,0.726
2016-04-07,0.706
2016-04-08,0.686
2016-04-09,0.666
2016-04-10,0.646
2016-04-11,0.626
2016-04-12,0.606
2016-04-13,0.586
2016-04-14,0.566
2016-04-15,0.546
2016-04-16,0.528
2016-04-17,0.51
2016-04-18,0.491
2016-04-19,0.473
2016-04-20,0.454
2016-04-21,0.436
2016-04-22,0.418
2016-04-23,0.399
2016-04-24,0.381
2016-04-25,0.363
2016-04-26,0.344
2016-04-27,0.326
2016-04-28,0.308
2016-04-29,0.289
2016-04-30,0.271
2016-05-01,0.252
2016-05-02,0.238
2016-05-03,0.224
2016-05-04,0.21
2016-05-05,0.196
2016-05-06,0.182
2016-05-07,0.168
2016-05-08,0.154
2016-05-09,0.14
2016-05-10,0.147
2016-05-11,0.154
2016-05-12,0.161
2016-05-13,0.168
2016-05-14,0.176
2016-05-15,0.183
2016-05-16,0.19
2016-05-17,0.197
2016-05-18,0.245
2016-05-19,0.292
2016-05-20,0.34
2016-05-21,0.387
2016-05-22,0.435
2016-05-23,0.482
2016-05-24,0.53
2016-05-25,0.577
2016-05-26,0.521
2016-05-27,0.465
2016-05-28,0.409
2016-05-29,0.353
2016-05-30,0.297
2016-05-31,0.242
2016-06-01,0.186
2016-06-02,0.13
2016-06-03,0.169
2016-06-04,0.207
2016-06-05,0.246
2016-06-06,0.285
2016-06-07,0.324
2016-06-08,0.363
2016-06-09,0.402
2016-06-10,0.441
2016-06-11,0.48
2016-06-12,0.519
2016-06-13,0.558
2016-06-14,0.596
2016-06-15,0.635
2016-06-16,0.674
2016-06-17,0.713
2016-06-18,0.752
2016-06-19,0.669
2016-06-20,0.587
2016-06-21,0.504
2016-06-22,0.421
2016-06-23,0.339
2016-06-24,0.256
2016-06-25,0.173
2016-06-26,0.09
2016-06-27,0.118
2016-06-28,0.146
2016-06-29,0.174
2016-06-30,0.202
2016-07-01,0.23
2016-07-02,0.257
2016-07-03,0.285
2016-07-04,0.313
2016-07-05,0.292
2016-07-06,0.27
2016-07-07,0.249
2016-07-08,0.227
2016-07-09,0.206
2016-07-10,0.185
2016-07-11,0.163
2016-07-12,0.142
2016-07-13,0.147
2016-07-14,0.152
2016-07-15,0.158
2016-07-16,0.163
2016-07-17,0.168
2016-07-18,0.174
2016-07-19,0.179
2016-07-20,0.184
2016-07-21,0.178
2016-07-22,0.171
2016-07-23,0.164
2016-07-24,0.158
2016-07-25,0.151
2016-07-26,0.144
2016-07-27,0.138
2016-07-28,0.131
2016-07-29,0.162
2016-07-30,0.192
2016-07-31,0.222
2016-08-01,0.253
2016-08-02,0.283
2016-08-03,0.313
2016-08-04,0.344
2016-08-05,0.374
2016-08-06,0.34
2016-08-07,0.307
2016-08-08,0.273
2016-08-09,0.24
2016-08-10,0.206
2016-08-11,0.172
2016-08-12,0.139
2016-08-13,0.105
2016-08-14,0.115
2016-08-15,0.124
2016-08-16,0.133
2016-08-17,0.143
2016-08-18,0.152
2016-08-19,0.161
2016-08-20,0.171
2016-08-21,0.18
2016-08-22,0.175
2016-08-23,0.17
2016-08-24,0.165
2016-08-25,0.16
2016-08-26,0.155
2016-08-27,0.15
2016-08-28,0.145
2016-08-29,0.14
2016-08-30,0.135
2016-08-31,0.13
2016-09-01,0.125
2016-09-02,0.12
2016-09-03,0.115
2016-09-04,0.11
2016-09-05,0.105
2016-09-06,0.1
2016-09-07,0.1
2016-09-08,0.101
2016-09-09,0.102
2016-09-10,0.103
2016-09-11,0.104
2016-09-12,0.105
2016-09-13,0.106
2016-09-14,0.107
2016-09-15,0.132
2016-09-16,0.157
2016-09-17,0.182
2016-09-18,0.207
2016-09-19,0.232
2016-09-20,0.257
2016-09-21,0.282
2016-09-22,0.306
2016-09-23,0.273
2016-09-24,0.24
2016-09-25,0.207
2016-09-26,0.174
2016-09-27,0.141
2016-09-28,0.108
2016-09-29,0.075
2016-09-30,0.042
2016-10-01,0.067
2016-10-02,0.092
2016-10-03,0.117
2016-10-04,0.142
2016-10-05,0.167
2016-10-06,0.192
2016-10-07,0.217
2016-10-08,0.242
2016-10-09,0.257
2016-10-10,0.273
2016-10-11,0.288
2016-10-12,0.304
2016-10-13,0.32
2016-10-14,0.335
2016-10-15,0.351
2016-10-16,0.366
2016-10-17,0.382
2016-10-18,0.397
2016-10-19,0.413
