time,etof
2016-01-01,0.788
2016-01-02,0.788
2016-01-03,0.788
2016-01-04,0.788
2016-01-05,0.788
2016-01-06,0.788
2016-01-07,0.788
2016-01-08,0.788
2016-01-09,0.788
2016-01-10,0.788
2016-01-11,0.788
2016-01-12,0.788
2016-01-13,0.788
2016-01-14,0.788
2016-01-15,0.788
2016-01-16,0.788
2016-01-17,0.788
2016-01-18,0.788
2016-01-19,0.788
2016-01-20,0.788
2016-01-21,0.788
2016-01-22,0.788
2016-01-23,0.788
2016-01-24,0.788
2016-01-25,0.788
2016-01-26,0.788
2016-01-27,0.788
2016-01-28,0.788
2016-01-29,0.788
2016-01-30,0.788
2016-01-31,0.788
2016-02-01,0.788
2016-02-02,0.788
2016-02-03,0.788
2016-02-04,0.788
2016-02-05,0.788
2016-02-06,0.732
2016-02-07,0.728
2016-02-08,0.723
2016-02-09,0.719
2016-02-10,0.715
2016-02-11,0.711
2016-02-12,0.706
2016-02-13,0.702
2016-02-14,0.698
2016-02-15,0.694
2016-02-16,0.69
2016-02-17,0.685
2016-02-18,0.681
2016-02-19,0.677
2016-02-20,0.673
2016-02-21,0.668
2016-02-22,1.116
2016-02-23,1.081
2016-02-24,1.046
2016-02-25,1.011
2016-02-26,0.976
2016-02-27,0.941
2016-02-28,0.906
2016-02-29,0.871
2016-03-01,0.853
2016-03-02,0.835
2016-03-03,0.816
2016-03-04,0.798
2016-03-05,0.78
2016-03-06,0.762
2016-03-07,0.743
2016-03-08,0.725
2016-03-09,0.707
2016-03-10,0.706
2016-03-11,0.705
2016-03-12,0.705
2016-03-13,0.704
2016-03-14,0.703
2016-03-15,0.703
2016-03-16,0.702
2016-03-17,0.719
2016-03-18,0.735
2016-03-19,0.752
2016-03-20,0.768
2016-03-21,0.785
2016-03-22,0.801
2016-03-23,0.818
2016-03-24,0.834
2016-03-25,0.997
2016-03-26,0.949
2016-03-27,0.9
2016-03-28,0.851
2016-03-29,0.803
2016-03-30,0.754
2016-03-31,0.706
2016-04-01,0.657
2016-04-02,0.636
2016-04-03,0.615
2016-04-04,0.594
2016-04-05,0.572
2016-04-06,0.551
2016-04-07,0.53
2016-04-08,0.509
2016-04-09,0.488
2016-04-10,0.466
2016-04-11,0.445
2016-04-12,0.424
2016-04-13,0.403
2016-04-14,0.382
2016-04-15,0.36
2016-04-16,0.339
2016-04-17,0.318
2016-04-18,0.282
2016-04-19,0.246
2016-04-20,0.21
2016-04-21,0.174
2016-04-22,0.138
2016-04-23,0.102
2016-04-24,0.066
2016-04-25,0.03
2016-04-26,0.357
2016-04-27,0.336
2016-04-28,0.315
2016-04-29,0.293
2016-04-30,0.272
2016-05-01,0.251
2016-05-02,0.23
2016-05-03,0.209
2016-05-04,0.188
2016-05-05,0.167
2016-05-06,0.146
2016-05-07,0.125
2016-05-08,0.103
2016-05-09,0.082
2016-05-10,0.061
2016-05-11,0.04
2016-05-12,0.098
2016-05-13,0.101
2016-05-14,0.104
2016-05-15,0.108
2016-05-16,0.111
2016-05-17,0.114
2016-05-18,0.118
2016-05-19,0.121
2016-05-20,0.026
2016-05-21,0.027
2016-05-22,0.028
2016-05-23,0.029
2016-05-24,0.03
2016-05-25,0.031
2016-05-26,0.032
2016-05-27,0.033
2016-05-28,0.398
2016-05-29,0.38
2016-05-30,0.362
2016-05-31,0.343
2016-06-01,0.325
2016-06-02,0.307
2016-06-03,0.288
2016-06-04,0.27
2016-06-05,0.252
2016-06-06,0.233
2016-06-07,0.215
2016-06-08,0.197
2016-06-09,0.179
2016-06-10,0.16
2016-06-11,0.142
2016-06-12,0.124
2016-06-13,0.105
2016-06-14,0.1
2016-06-15,0.095
2016-06-16,0.089
2016-06-17,0.084
2016-06-18,0.079
2016-06-19,0.073
