time,etof
2016-01-01,0.598
2016-01-02,0.598
2016-01-03,0.598
2016-01-04,0.598
2016-01-05,0.598
2016-01-06,0.598
2016-01-07,0.598
2016-01-08,0.598
2016-01-09,0.598
2016-01-10,0.598
2016-01-11,0.598
2016-01-12,0.598
2016-01-13,0.575
2016-01-14,0.553
2016-01-15,0.53
2016-01-16,0.508
2016-01-17,0.485
2016-01-18,0.462
2016-01-19,0.44
2016-01-20,0.417
2016-01-21,0.395
2016-01-22,0.372
2016-01-23,0.35
2016-01-24,0.327
2016-01-25,0.304
2016-01-26,0.282
2016-01-27,0.259
2016-01-28,0.237
2016-01-29,0.214
2016-01-30,0.191
2016-01-31,0.169
2016-02-01,0.146
2016-02-02,0.124
2016-02-03,0.101
2016-02-04,0.079
2016-02-05,0.056
2016-02-06,0.081
2016-02-07,0.107
2016-02-08,0.132
2016-02-09,0.158
2016-02-10,0.183
2016-02-11,0.209
2016-02-12,0.234
2016-02-13,0.26
2016-02-14,0.243
2016-02-15,0.226
2016-02-16,0.209
2016-02-17,0.192
2016-02-18,0.175
2016-02-19,0.158
2016-02-20,0.141
2016-02-21,0.124
2016-02-22,0.182
2016-02-23,0.24
2016-02-24,0.297
2016-02-25,0.355
2016-02-26,0.413
2016-02-27,0.471
2016-02-28,0.529
2016-02-29,0.587
2016-03-01,0.545
2016-03-02,0.504
2016-03-03,0.462
2016-03-04,0.421
2016-03-05,0.38
2016-03-06,0.338
2016-03-07,0.297
2016-03-08,0.255
2016-03-09,0.276
2016-03-10,0.297
2016-03-11,0.318
2016-03-12,0.339
2016-03-13,0.36
2016-03-14,0.381
2016-03-15,0.402
2016-03-16,0.423
2016-03-17,0.407
2016-03-18,0.391
2016-03-19,0.375
2016-03-20,0.359
2016-03-21,0.343
2016-03-22,0.327
2016-03-23,0.311
2016-03-24,0.296
2016-03-25,0.278
2016-03-26,0.259
2016-03-27,0.241
2016-03-28,0.223
2016-03-29,0.205
2016-03-30,0.187
2016-03-31,0.169
2016-04-01,0.151
2016-04-02,0.155
2016-04-03,0.159
2016-04-04,0.163
2016-04-05,0.167
2016-04-06,0.17
2016-04-07,0.174
2016-04-08,0.178
2016-04-09,0.182
2016-04-10,0.186
2016-04-11,0.19
2016-04-12,0.193
2016-04-13,0.197
2016-04-14,0.201
2016-04-15,0.205
2016-04-16,0.209
2016-04-17,0.212
2016-04-18,0.199
2016-04-19,0.185
2016-04-20,0.171
2016-04-21,0.158
2016-04-22,0.144
2016-04-23,0.13
2016-04-24,0.116
2016-04-25,0.103
2016-04-26,0.141
2016-04-27,0.179
2016-04-28,0.217
2016-04-29,0.255
2016-04-30,0.292
2016-05-01,0.33
2016-05-02,0.368
2016-05-03,0.406
2016-05-04,0.444
2016-05-05,0.482
2016-05-06,0.52
2016-05-07,0.558
2016-05-08,0.596
2016-05-09,0.634
2016-05-10,0.672
2016-05-11,0.71
2016-05-12,0.707
2016-05-13,0.704
2016-05-14,0.701
2016-05-15,0.697
2016-05-16,0.694
2016-05-17,0.691
2016-05-18,0.688
2016-05-19,0.685
2016-05-20,0.698
2016-05-21,0.711
2016-05-22,0.724
2016-05-23,0.737
2016-05-24,0.75
2016-05-25,0.763
2016-05-26,0.776
2016-05-27,0.788
2016-05-28,0.793
2016-05-29,0.798
2016-05-30,0.803
2016-05-31,0.808
2016-06-01,0.813
2016-06-02,0.818
2016-06-03,0.823
2016-06-04,0.828
2016-06-05,0.833
2016-06-06,0.838
2016-06-07,0.843
2016-06-08,0.848
2016-06-09,0.853
2016-06-10,0.858
2016-06-11,0.863
2016-06-12,0.868
2016-06-13,0.872
2016-06-14,0.877
2016-06-15,0.882
2016-06-16,0.887
2016-06-17,0.892
2016-06-18,0.897
2016-06-19,0.902
2016-06-20,0.907
2016-06-21,0.895
2016-06-22,0.884
2016-06-23,0.872
2016-06-24,0.86
2016-06-25,0.849
2016-06-26,0.837
2016-06-27,0.825
2016-06-28,0.813
2016-06-29,0.821
2016-06-30,0.828
2016-07-01,0.836
2016-07-02,0.843
2016-07-03,0.85
2016-07-04,0.858
2016-07-05,0.865
2016-07-06,0.872
2016-07-07,0.862
2016-07-08,0.852
2016-07-09,0.842
2016-07-10,0.831
2016-07-11,0.821
2016-07-12,0.811
2016-07-13,0.801
2016-07-14,0.79
2016-07-15,0.743
2016-07-16,0.695
2016-07-17,0.647
2016-07-18,0.599
2016-07-19,0.551
2016-07-20,0.503
2016-07-21,0.456
2016-07-22,0.408
2016-07-23,0.373
2016-07-24,0.339
2016-07-25,0.304
2016-07-26,0.27
2016-07-27,0.235
2016-07-28,0.201
2016-07-29,0.166
2016-07-30,0.132
2016-07-31,0.142
2016-08-01,0.153
2016-08-02,0.163
2016-08-03,0.173
2016-08-04,0.183
2016-08-05,0.194
2016-08-06,0.204
2016-08-07,0.214
2016-08-08,0.204
2016-08-09,0.193
2016-08-10,0.183
2016-08-11,0.172
2016-08-12,0.162
2016-08-13,0.151
2016-08-14,0.141
2016-08-15,0.13
2016-08-16,0.135
2016-08-17,0.139
2016-08-18,0.143
2016-08-19,0.148
2016-08-20,0.152
2016-08-21,0.156
2016-08-22,0.161
2016-08-23,0.165
2016-08-24,0.164
2016-08-25,0.162
2016-08-26,0.161
2016-08-27,0.159
2016-08-28,0.158
2016-08-29,0.157
2016-08-30,0.155
2016-08-31,0.154
2016-09-01,0.155
2016-09-02,0.155
2016-09-03,0.156
2016-09-04,0.157
2016-09-05,0.157
2016-09-06,0.158
2016-09-07,0.159
2016-09-08,0.16
2016-09-09,0.179
2016-09-10,0.199
2016-09-11,0.219
2016-09-12,0.239
2016-09-13,0.259
2016-09-14,0.278
2016-09-15,0.298
2016-09-16,0.318
2016-09-17,0.338
2016-09-18,0.358
2016-09-19,0.378
2016-09-20,0.397
2016-09-21,0.417
2016-09-22,0.437
2016-09-23,0.457
2016-09-24,0.477
2016-09-25,0.437
2016-09-26,0.398
2016-09-27,0.359
2016-09-28,0.319
2016-09-29,0.28
2016-09-30,0.24
2016-10-01,0.201
2016-10-02,0.162
2016-10-03,0.167
2016-10-04,0.173
2016-10-05,0.179
2016-10-06,0.185
2016-10-07,0.191
2016-10-08,0.197
2016-10-09,0.203
2016-10-10,0.208
2016-10-11,0.214
2016-10-12,0.22
2016-10-13,0.226
2016-10-14,0.232
2016-10-15,0.238
2016-10-16,0.243
2016-10-17,0.249
2016-10-18,0.255
2016-10-19,0.289
2016-10-20,0.323
2016-10-21,0.357
2016-10-22,0.39
2016-10-23,0.424
2016-10-24,0.458
2016-10-25,0.492
2016-10-26,0.526
2016-10-27,0.518
2016-10-28,0.51
2016-10-29,0.503
2016-10-30,0.495
2016-10-31,0.488
2016-11-01,0.48
2016-11-02,0.472
2016-11-03,0.465
2016-11-04,0.477
2016-11-05,0.49
2016-11-06,0.502
2016-11-07,0.515
2016-11-08,0.528
2016-11-09,0.54
2016-11-10,0.553
2016-11-11,0.565
2016-11-12,0.563
2016-11-13,0.56
2016-11-14,0.557
2016-11-15,0.555
2016-11-16,0.552
2016-11-17,0.55
2016-11-18,0.547
2016-11-19,0.545
2016-11-20,0.542
2016-11-21,0.539
2016-11-22,0.537
2016-11-23,0.534
2016-11-24,0.532
2016-11-25,0.529
2016-11-26,0.526
2016-11-27,0.524
2016-11-28,0.531
2016-11-29,0.538
2016-11-30,0.546
2016-12-01,0.553
2016-12-02,0.56
2016-12-03,0.567
2016-12-04,0.575
2016-12-05,0.582
2016-12-06,0.589
2016-12-07,0.596
2016-12-08,0.604
2016-12-09,0.611
2016-12-10,0.618
2016-12-11,0.625
2016-12-12,0.633
2016-12-13,0.64
2016-12-14,0.647
2016-12-15,0.654
2016-12-16,0.662
2016-12-17,0.669
2016-12-18,0.676
2016-12-19,0.683
2016-12-20,0.691
2016-12-21,0.698
2016-12-22,0.705
2016-12-23,0.712
2016-12-24,0.72
2016-12-25,0.727
2016-12-26,0.734
2016-12-27,0.741
2016-12-28,0.749
2016-12-29,0.756
2016-12-30,0.776
2016-12-31,0.796
2017-01-01,0.815
2017-01-02,0.835
2017-01-03,0.855
2017-01-04,0.875
2017-01-05,0.895
2017-01-06,0.915
2017-01-07,0.915
2017-01-08,0.916
2017-01-09,0.917
2017-01-10,0.917
2017-01-11,0.918
2017-01-12,0.919
2017-01-13,0.919
2017-01-14,0.92
2017-01-15,0.921
2017-01-16,0.921
2017-01-17,0.922
2017-01-18,0.923
2017-01-19,0.923
2017-01-20,0.924
2017-01-21,0.925
2017-01-22,0.925
2017-01-23,0.926
2017-01-24,0.927
2017-01-25,0.928
2017-01-26,0.928
2017-01-27,0.929
2017-01-28,0.93
2017-01-29,0.93
2017-01-30,0.931
2017-01-31,0.933
2017-02-01,0.936
2017-02-02,0.939
2017-02-03,0.941
2017-02-04,0.944
2017-02-05,0.947
2017-02-06,0.949
2017-02-07,0.952
2017-02-08,0.954
2017-02-09,0.957
2017-02-10,0.96
2017-02-11,0.962
2017-02-12,0.965
2017-02-13,0.967
2017-02-14,0.97
2017-02-15,0.973
2017-02-16,0.975
2017-02-17,0.978
2017-02-18,0.98
2017-02-19,0.983
2017-02-20,0.986
2017-02-21,0.988
2017-02-22,0.991
2017-02-23,0.993
2017-02-24,0.996
2017-02-25,0.999
2017-02-26,1.001
2017-02-27,1.004
2017-02-28,1.006
2017-03-01,1.009
2017-03-02,1.012
2017-03-03,1.014
2017-03-04,1.02
2017-03-05,1.025
2017-03-06,1.03
2017-03-07,1.036
2017-03-08,1.041
2017-03-09,1.046
2017-03-10,1.052
2017-03-11,1.057
2017-03-12,1.052
2017-03-13,1.048
2017-03-14,1.043
2017-03-15,1.038
