time,eto
2016-01-01,1.196
2016-01-02,1.38
2016-01-03,1.564
2016-01-04,1.196
2016-01-05,1.104
2016-01-06,1.196
2016-01-07,1.012
2016-01-08,0.828
2016-01-09,1.196
2016-01-10,0.92
2016-01-11,1.012
2016-01-12,1.288
2016-01-13,1.932
2016-01-14,1.196
2016-01-15,1.196
2016-01-16,0.92
2016-01-17,1.288
2016-01-18,0.92
2016-01-19,0.552
2016-01-20,0.92
2016-01-21,1.012
2016-01-22,1.472
2016-01-23,1.012
2016-01-24,1.104
2016-01-25,1.196
2016-01-26,1.196
2016-01-27,1.38
2016-01-28,1.38
2016-01-29,1.288
2016-01-30,0.736
2016-01-31,0.46
2016-02-01,3.931
2016-02-02,2.11
2016-02-03,1.918
2016-02-04,1.63
2016-02-05,1.726
2016-02-06,1.918
2016-02-07,2.014
2016-02-08,2.493
2016-02-09,2.493
2016-02-10,2.014
2016-02-11,1.534
2016-02-12,1.63
2016-02-13,1.918
2016-02-14,2.11
2016-02-15,2.397
2016-02-16,1.63
2016-02-17,1.726
2016-02-18,2.397
2016-02-19,2.397
2016-02-20,3.068
2016-02-21,2.973
2016-02-22,1.918
2016-02-23,1.534
2016-02-24,2.014
2016-02-25,1.726
2016-02-26,2.11
2016-02-27,2.014
2016-02-28,1.918
2016-02-29,1.918
2016-03-01,2.675
2016-03-02,2.86
2016-03-03,2.675
2016-03-04,2.952
2016-03-05,1.568
2016-03-06,2.675
2016-03-07,2.03
2016-03-08,2.122
2016-03-09,2.768
2016-03-10,2.86
2016-03-11,2.214
2016-03-12,2.399
2016-03-13,1.937
2016-03-14,2.306
2016-03-15,3.045
2016-03-16,3.137
2016-03-17,3.414
2016-03-18,3.69
2016-03-19,3.69
2016-03-20,3.783
2016-03-21,3.506
2016-03-22,3.598
2016-03-23,3.414
2016-03-24,3.69
2016-03-25,4.152
2016-03-26,3.967
2016-03-27,4.244
2016-03-28,4.059
2016-03-29,3.598
2016-03-30,3.783
2016-03-31,3.967
2016-04-01,4.283
2016-04-02,4.192
2016-04-03,4.374
2016-04-04,4.921
2016-04-05,4.921
2016-04-06,4.557
2016-04-07,4.465
2016-04-08,2.916
2016-04-09,2.461
2016-04-10,2.369
2016-04-11,3.281
2016-04-12,3.828
2016-04-13,3.554
2016-04-14,4.921
2016-04-15,4.192
2016-04-16,4.557
2016-04-17,4.83
2016-04-18,5.286
2016-04-19,5.468
2016-04-20,5.286
2016-04-21,5.286
2016-04-22,4.921
2016-04-23,4.557
2016-04-24,4.557
2016-04-25,4.192
2016-04-26,4.648
2016-04-27,5.195
2016-04-28,3.736
2016-04-29,5.103
2016-04-30,5.468
2016-05-01,5.219
2016-05-02,5.476
2016-05-03,5.219
2016-05-04,4.962
2016-05-05,4.192
2016-05-06,3.679
2016-05-07,3.593
2016-05-08,3.508
2016-05-09,4.877
2016-05-10,5.561
2016-05-11,5.989
2016-05-12,6.502
2016-05-13,6.588
2016-05-14,6.16
2016-05-15,5.818
2016-05-16,6.417
2016-05-17,6.417
2016-05-18,7.016
2016-05-19,6.93
2016-05-20,5.561
2016-05-21,5.39
2016-05-22,5.647
2016-05-23,6.16
2016-05-24,4.449
2016-05-25,5.219
2016-05-26,6.246
2016-05-27,6.246
2016-05-28,6.588
2016-05-29,7.273
2016-05-30,7.358
2016-05-31,7.615
2016-06-01,7.47
2016-06-02,7.221
2016-06-03,7.138
2016-06-04,6.723
2016-06-05,7.138
2016-06-06,7.553
2016-06-07,7.719
2016-06-08,7.221
2016-06-09,6.64
2016-06-10,6.225
2016-06-11,6.308
2016-06-12,6.142
2016-06-13,6.64
2016-06-14,6.723
2016-06-15,6.474
2016-06-16,5.893
2016-06-17,5.81
2016-06-18,5.893
2016-06-19,6.142
2016-06-20,6.972
2016-06-21,8.051
2016-06-22,8.466
2016-06-23,8.715
2016-06-24,8.051
2016-06-25,7.47
2016-06-26,7.802
2016-06-27,7.719
2016-06-28,6.64
2016-06-29,8.051
2016-06-30,7.47
2016-07-01,6.779
2016-07-02,6.615
2016-07-03,6.37
2016-07-04,6.86
2016-07-05,7.105
2016-07-06,6.942
2016-07-07,6.615
2016-07-08,6.615
2016-07-09,6.452
2016-07-10,6.534
2016-07-11,6.534
2016-07-12,7.187
2016-07-13,6.942
2016-07-14,6.615
2016-07-15,6.697
2016-07-16,6.697
2016-07-17,6.534
2016-07-18,6.207
2016-07-19,6.452
2016-07-20,6.534
2016-07-21,6.86
2016-07-22,7.514
2016-07-23,7.432
2016-07-24,6.86
2016-07-25,6.697
2016-07-26,6.779
2016-07-27,7.35
2016-07-28,7.35
2016-07-29,7.024
2016-07-30,7.269
2016-07-31,7.024
2016-08-01,6.671
2016-08-02,6.753
2016-08-03,7.078
2016-08-04,6.834
2016-08-05,6.183
2016-08-06,6.02
2016-08-07,6.265
2016-08-08,6.346
2016-08-09,6.427
2016-08-10,5.695
2016-08-11,5.288
2016-08-12,5.695
2016-08-13,6.02
2016-08-14,5.939
2016-08-15,5.858
2016-08-16,5.451
2016-08-17,5.288
2016-08-18,5.37
2016-08-19,5.126
2016-08-20,5.858
2016-08-21,5.695
2016-08-22,5.614
2016-08-23,5.939
2016-08-24,6.183
2016-08-25,5.858
2016-08-26,5.451
2016-08-27,5.044
2016-08-28,4.963
2016-08-29,5.614
2016-08-30,6.02
2016-08-31,5.614
2016-09-01,5.61
2016-09-02,5.359
2016-09-03,5.862
2016-09-04,5.192
2016-09-05,4.689
2016-09-06,5.275
2016-09-07,4.857
