time,et
2016-01-01,0.701
2016-01-02,1.169
2016-01-03,1.325
2016-01-04,0.701
2016-01-05,0.623
2016-01-06,0.623
2016-01-07,0.545
2016-01-08,0.623
2016-01-09,1.169
2016-01-10,0.857
2016-01-11,0.935
2016-01-12,0.935
2016-01-13,1.398
2016-01-14,0.697
2016-01-15,0.849
2016-01-16,1.0
2016-01-17,0.613
2016-01-18,1.07
2016-01-19,0.381
2016-01-20,0.911
2016-01-21,0.832
2016-01-22,0.829
2016-01-23,0.902
2016-01-24,0.749
2016-01-25,0.896
2016-01-26,0.967
2016-01-27,0.89
2016-01-28,0.591
2016-01-29,0.663
2016-01-30,0.807
2016-01-31,1.463
2016-02-01,2.871
2016-02-02,2.093
2016-02-03,2.086
2016-02-04,1.663
2016-02-05,1.312
2016-02-06,1.586
2016-02-07,1.584
2016-02-08,1.719
2016-02-09,1.716
2016-02-10,1.234
2016-02-11,1.095
2016-02-12,1.162
2016-02-13,1.433
2016-02-14,2.317
2016-02-15,1.633
2016-02-16,1.563
2016-02-17,1.018
2016-02-18,1.694
2016-02-19,1.286
2016-02-20,2.094
2016-02-21,1.889
2016-02-22,1.395
2016-02-23,1.153
2016-02-24,1.264
2016-02-25,1.303
2016-02-26,1.342
2016-02-27,1.462
2016-02-28,1.753
2016-02-29,1.63
2016-03-01,2.789
2016-03-02,2.023
2016-03-03,1.392
2016-03-04,1.697
2016-03-05,1.264
2016-03-06,1.732
2016-03-07,1.009
2016-03-08,1.189
2016-03-09,1.524
2016-03-10,1.623
2016-03-11,1.215
2016-03-12,1.767
2016-03-13,1.272
2016-03-14,1.505
2016-03-15,2.167
2016-03-16,2.357
2016-03-17,2.333
2016-03-18,2.679
2016-03-19,2.656
2016-03-20,2.864
2016-03-21,2.051
2016-03-22,2.813
2016-03-23,3.193
2016-03-24,3.335
2016-03-25,3.41
2016-03-26,3.65
2016-03-27,3.061
2016-03-28,2.723
2016-03-29,3.21
2016-03-30,3.448
2016-03-31,3.521
2016-04-01,3.307
2016-04-02,3.31
2016-04-03,3.798
2016-04-04,4.125
2016-04-05,4.29
2016-04-06,3.97
2016-04-07,4.055
2016-04-08,3.328
2016-04-09,1.706
2016-04-10,1.464
2016-04-11,2.767
2016-04-12,3.258
2016-04-13,3.506
2016-04-14,3.264
2016-04-15,4.9
2016-04-16,4.087
2016-04-17,4.5
2016-04-18,4.282
2016-04-19,4.31
2016-04-20,4.754
2016-04-21,4.533
2016-04-22,2.872
2016-04-23,3.995
2016-04-24,4.362
2016-04-25,4.905
2016-04-26,4.194
2016-04-27,3.576
2016-04-28,4.742
2016-04-29,4.379
2016-04-30,6.282
2016-05-01,4.717
2016-05-02,4.773
2016-05-03,4.501
2016-05-04,4.395
2016-05-05,3.642
2016-05-06,2.736
2016-05-07,2.001
2016-05-08,2.467
2016-05-09,3.718
2016-05-10,4.955
2016-05-11,4.849
2016-05-12,5.442
2016-05-13,4.56
2016-05-14,4.533
2016-05-15,5.041
2016-05-16,5.847
2016-05-17,6.34
2016-05-18,6.077
2016-05-19,4.623
2016-05-20,3.623
2016-05-21,2.933
2016-05-22,4.071
2016-05-23,3.604
2016-05-24,3.787
2016-05-25,4.604
2016-05-26,4.774
2016-05-27,4.941
2016-05-28,5.18
2016-05-29,5.552
2016-05-30,5.577
2016-05-31,5.871
2016-06-01,5.507
2016-06-02,5.661
