time,etof
2016-01-01,0.784
2016-01-02,0.784
2016-01-03,0.784
2016-01-04,0.784
2016-01-05,0.784
2016-01-06,0.784
2016-01-07,0.784
2016-01-08,0.784
2016-01-09,0.784
2016-01-10,0.784
2016-01-11,0.792
2016-01-12,0.799
2016-01-13,0.807
2016-01-14,0.815
2016-01-15,0.822
2016-01-16,0.83
2016-01-17,0.838
2016-01-18,0.845
2016-01-19,0.853
2016-01-20,0.861
2016-01-21,0.868
2016-01-22,0.876
2016-01-23,0.883
2016-01-24,0.891
2016-01-25,0.899
2016-01-26,0.906
2016-01-27,0.914
2016-01-28,0.922
2016-01-29,0.929
2016-01-30,0.937
2016-01-31,0.944
2016-02-01,0.952
2016-02-02,0.96
2016-02-03,0.967
2016-02-04,0.975
2016-02-05,0.983
2016-02-06,0.99
2016-02-07,0.998
2016-02-08,1.005
2016-02-09,1.013
2016-02-10,1.021
2016-02-11,1.028
2016-02-12,1.022
2016-02-13,1.015
2016-02-14,1.008
2016-02-15,1.001
2016-02-16,0.994
2016-02-17,0.987
2016-02-18,0.981
2016-02-19,0.974
2016-02-20,0.967
2016-02-21,0.96
2016-02-22,0.953
2016-02-23,0.946
2016-02-24,0.94
2016-02-25,0.933
2016-02-26,0.926
2016-02-27,0.919
2016-02-28,0.912
2016-02-29,0.905
2016-03-01,0.899
2016-03-02,0.892
2016-03-03,0.885
2016-03-04,0.878
2016-03-05,0.871
2016-03-06,0.865
2016-03-07,0.858
2016-03-08,0.851
2016-03-09,0.844
2016-03-10,0.837
2016-03-11,0.83
2016-03-12,0.824
2016-03-13,0.817
2016-03-14,0.81
2016-03-15,0.803
2016-03-16,0.796
2016-03-17,0.789
2016-03-18,0.783
2016-03-19,0.776
2016-03-20,0.769
2016-03-21,0.762
2016-03-22,0.755
2016-03-23,0.749
2016-03-24,0.742
2016-03-25,0.735
2016-03-26,0.728
2016-03-27,0.721
2016-03-28,0.714
2016-03-29,0.708
2016-03-30,0.701
2016-03-31,0.71
2016-04-01,0.719
2016-04-02,0.728
2016-04-03,0.737
2016-04-04,0.746
2016-04-05,0.755
2016-04-06,0.764
2016-04-07,0.773
2016-04-08,0.782
2016-04-09,0.791
2016-04-10,0.8
2016-04-11,0.809
2016-04-12,0.818
2016-04-13,0.827
2016-04-14,0.836
2016-04-15,0.845
2016-04-16,0.868
2016-04-17,0.89
2016-04-18,0.912
2016-04-19,0.935
2016-04-20,0.957
2016-04-21,0.979
2016-04-22,1.001
2016-04-23,1.024
2016-04-24,0.955
2016-04-25,0.887
2016-04-26,0.819
2016-04-27,0.751
2016-04-28,0.683
2016-04-29,0.615
2016-04-30,0.546
2016-05-01,0.478
2016-05-02,0.473
2016-05-03,0.469
2016-05-04,0.464
2016-05-05,0.459
2016-05-06,0.454
2016-05-07,0.449
2016-05-08,0.444
2016-05-09,0.44
2016-05-10,0.449
2016-05-11,0.458
2016-05-12,0.467
2016-05-13,0.476
2016-05-14,0.485
2016-05-15,0.494
2016-05-16,0.503
2016-05-17,0.512
2016-05-18,0.468
2016-05-19,0.423
2016-05-20,0.378
2016-05-21,0.334
2016-05-22,0.289
2016-05-23,0.244
2016-05-24,0.2
2016-05-25,0.155
2016-05-26,0.167
2016-05-27,0.18
2016-05-28,0.192
2016-05-29,0.205
2016-05-30,0.217
2016-05-31,0.229
2016-06-01,0.242
2016-06-02,0.254
2016-06-03,0.274
2016-06-04,0.293
2016-06-05,0.313
2016-06-06,0.333
2016-06-07,0.352
2016-06-08,0.372
2016-06-09,0.391
2016-06-10,0.411
2016-06-11,0.431
2016-06-12,0.45
2016-06-13,0.47
2016-06-14,0.489
2016-06-15,0.509
2016-06-16,0.528
2016-06-17,0.548
2016-06-18,0.568
2016-06-19,0.516
2016-06-20,0.465
2016-06-21,0.414
2016-06-22,0.363
2016-06-23,0.312
2016-06-24,0.26
2016-06-25,0.209
2016-06-26,0.158
2016-06-27,0.182
2016-06-28,0.207
2016-06-29,0.231
2016-06-30,0.256
2016-07-01,0.28
2016-07-02,0.304
2016-07-03,0.329
2016-07-04,0.353
2016-07-05,0.315
2016-07-06,0.276
2016-07-07,0.238
2016-07-08,0.199
2016-07-09,0.161
2016-07-10,0.122
2016-07-11,0.084
2016-07-12,0.045
2016-07-13,0.077
2016-07-14,0.108
2016-07-15,0.14
2016-07-16,0.172
2016-07-17,0.203
2016-07-18,0.235
2016-07-19,0.267
2016-07-20,0.298
2016-07-21,0.277
2016-07-22,0.255
2016-07-23,0.234
2016-07-24,0.212
2016-07-25,0.191
2016-07-26,0.169
2016-07-27,0.148
2016-07-28,0.126
2016-07-29,0.19
2016-07-30,0.254
2016-07-31,0.317
2016-08-01,0.381
2016-08-02,0.445
2016-08-03,0.509
2016-08-04,0.572
2016-08-05,0.636
2016-08-06,0.569
2016-08-07,0.502
2016-08-08,0.434
2016-08-09,0.367
2016-08-10,0.3
2016-08-11,0.233
2016-08-12,0.165
2016-08-13,0.098
2016-08-14,0.097
2016-08-15,0.096
2016-08-16,0.095
2016-08-17,0.094
2016-08-18,0.093
2016-08-19,0.091
2016-08-20,0.09
2016-08-21,0.089
2016-08-22,0.088
2016-08-23,0.087
2016-08-24,0.086
2016-08-25,0.085
2016-08-26,0.084
2016-08-27,0.083
2016-08-28,0.082
2016-08-29,0.08
2016-08-30,0.079
2016-08-31,0.078
2016-09-01,0.077
2016-09-02,0.076
2016-09-03,0.075
2016-09-04,0.074
2016-09-05,0.073
2016-09-06,0.072
2016-09-07,0.082
2016-09-08,0.093
2016-09-09,0.104
2016-09-10,0.114
2016-09-11,0.125
2016-09-12,0.136
2016-09-13,0.146
2016-09-14,0.157
2016-09-15,0.168
2016-09-16,0.178
2016-09-17,0.189
2016-09-18,0.199
2016-09-19,0.21
2016-09-20,0.221
2016-09-21,0.231
2016-09-22,0.242
2016-09-23,0.236
2016-09-24,0.229
2016-09-25,0.222
2016-09-26,0.216
2016-09-27,0.209
2016-09-28,0.203
2016-09-29,0.196
2016-09-30,0.19
2016-10-01,0.183
2016-10-02,0.177
2016-10-03,0.17
2016-10-04,0.164
2016-10-05,0.157
2016-10-06,0.15
2016-10-07,0.144
2016-10-08,0.137
2016-10-09,0.187
2016-10-10,0.238
2016-10-11,0.288
2016-10-12,0.338
2016-10-13,0.388
2016-10-14,0.438
2016-10-15,0.488
2016-10-16,0.538
2016-10-17,0.588
2016-10-18,0.638
2016-10-19,0.688
2016-10-20,0.738
2016-10-21,0.788
2016-10-22,0.838
2016-10-23,0.888
2016-10-24,0.939
2016-10-25,0.989
2016-10-26,1.039
2016-10-27,1.089
2016-10-28,1.139
2016-10-29,1.189
2016-10-30,1.239
2016-10-31,1.289
2016-11-01,1.339
2016-11-02,1.242
2016-11-03,1.144
2016-11-04,1.047
2016-11-05,0.949
2016-11-06,0.851
2016-11-07,0.754
2016-11-08,0.656
2016-11-09,0.559
2016-11-10,0.535
2016-11-11,0.511
2016-11-12,0.487
2016-11-13,0.463
2016-11-14,0.439
2016-11-15,0.415
2016-11-16,0.391
2016-11-17,0.367
2016-11-18,0.41
2016-11-19,0.453
2016-11-20,0.496
2016-11-21,0.539
2016-11-22,0.582
2016-11-23,0.625
2016-11-24,0.668
2016-11-25,0.711
2016-11-26,0.754
2016-11-27,0.797
2016-11-28,0.839
2016-11-29,0.882
2016-11-30,0.925
2016-12-01,0.968
2016-12-02,1.011
2016-12-03,1.054
2016-12-04,1.049
2016-12-05,1.043
2016-12-06,1.038
2016-12-07,1.032
2016-12-08,1.027
2016-12-09,1.021
2016-12-10,1.016
2016-12-11,1.01
2016-12-12,1.005
2016-12-13,0.999
2016-12-14,0.994
2016-12-15,0.988
2016-12-16,0.983
2016-12-17,0.977
2016-12-18,0.972
2016-12-19,0.967
2016-12-20,0.961
2016-12-21,0.956
2016-12-22,0.95
2016-12-23,0.945
2016-12-24,0.939
2016-12-25,0.934
2016-12-26,0.928
2016-12-27,0.923
2016-12-28,0.918
2016-12-29,0.913
2016-12-30,0.907
2016-12-31,0.902
2017-01-01,0.897
2017-01-02,0.892
2017-01-03,0.887
2017-01-04,0.882
2017-01-05,0.877
2017-01-06,0.872
2017-01-07,0.867
2017-01-08,0.862
2017-01-09,0.857
2017-01-10,0.852
2017-01-11,0.846
2017-01-12,0.841
2017-01-13,0.836
2017-01-14,0.831
2017-01-15,0.826
2017-01-16,0.821
2017-01-17,0.816
2017-01-18,0.811
2017-01-19,0.806
2017-01-20,0.801
2017-01-21,0.796
2017-01-22,0.791
2017-01-23,0.785
2017-01-24,0.78
2017-01-25,0.775
2017-01-26,0.77
2017-01-27,0.765
2017-01-28,0.76
2017-01-29,0.753
2017-01-30,0.746
2017-01-31,0.739
2017-02-01,0.732
2017-02-02,0.725
2017-02-03,0.718
2017-02-04,0.712
2017-02-05,0.705
2017-02-06,0.698
2017-02-07,0.691
2017-02-08,0.684
2017-02-09,0.677
2017-02-10,0.67
2017-02-11,0.663
2017-02-12,0.656
2017-02-13,0.649
2017-02-14,0.642
2017-02-15,0.635
2017-02-16,0.628
2017-02-17,0.622
2017-02-18,0.615
2017-02-19,0.608
2017-02-20,0.601
2017-02-21,0.594
2017-02-22,0.587
2017-02-23,0.58
2017-02-24,0.573
2017-02-25,0.566
2017-02-26,0.559
2017-02-27,0.552
2017-02-28,0.545
2017-03-01,0.538
2017-03-02,0.539
2017-03-03,0.54
2017-03-04,0.54
2017-03-05,0.541
2017-03-06,0.541
2017-03-07,0.542
2017-03-08,0.542
2017-03-09,0.543
2017-03-10,0.544
2017-03-11,0.544
2017-03-12,0.545
2017-03-13,0.545
2017-03-14,0.546
2017-03-15,0.547
2017-03-16,0.547
2017-03-17,0.548
2017-03-18,0.558
2017-03-19,0.569
2017-03-20,0.58
2017-03-21,0.59
2017-03-22,0.601
2017-03-23,0.612
2017-03-24,0.622
2017-03-25,0.633
