time,etof
2016-01-01,0.868
2016-01-02,0.868
2016-01-03,0.868
2016-01-04,0.868
2016-01-05,0.868
2016-01-06,0.868
2016-01-07,0.868
2016-01-08,0.868
2016-01-09,0.868
2016-01-10,0.868
2016-01-11,0.868
2016-01-12,0.868
2016-01-13,0.868
2016-01-14,0.868
2016-01-15,0.868
2016-01-16,0.868
2016-01-17,0.868
2016-01-18,0.868
2016-01-19,0.868
2016-01-20,0.868
2016-01-21,0.868
2016-01-22,0.868
2016-01-23,0.868
2016-01-24,0.868
2016-01-25,0.868
2016-01-26,0.868
2016-01-27,0.868
2016-01-28,0.868
2016-01-29,0.868
2016-01-30,0.868
2016-01-31,0.868
2016-02-01,0.868
2016-02-02,0.868
2016-02-03,0.868
2016-02-04,0.868
2016-02-05,0.868
2016-02-06,0.868
2016-02-07,0.861
2016-02-08,0.855
2016-02-09,0.848
2016-02-10,0.842
2016-02-11,0.835
2016-02-12,0.829
2016-02-13,0.822
2016-02-14,0.816
2016-02-15,0.848
2016-02-16,0.881
2016-02-17,0.913
2016-02-18,0.946
2016-02-19,0.979
2016-02-20,1.011
2016-02-21,1.044
2016-02-22,1.077
2016-02-23,1.092
2016-02-24,1.108
2016-02-25,1.124
2016-02-26,1.14
2016-02-27,1.155
2016-02-28,1.171
2016-02-29,1.187
2016-03-01,1.203
2016-03-02,1.178
2016-03-03,1.154
2016-03-04,1.13
2016-03-05,1.105
2016-03-06,1.081
2016-03-07,1.057
2016-03-08,1.033
2016-03-09,1.008
2016-03-10,1.027
2016-03-11,1.046
2016-03-12,1.065
2016-03-13,1.085
2016-03-14,1.104
2016-03-15,1.123
2016-03-16,1.142
2016-03-17,1.161
2016-03-18,1.151
2016-03-19,1.14
2016-03-20,1.13
2016-03-21,1.12
2016-03-22,1.109
2016-03-23,1.099
2016-03-24,1.089
2016-03-25,1.078
2016-03-26,1.088
2016-03-27,1.098
2016-03-28,1.107
2016-03-29,1.117
2016-03-30,1.127
2016-03-31,1.137
2016-04-01,1.146
2016-04-02,1.156
2016-04-03,1.148
2016-04-04,1.141
2016-04-05,1.133
2016-04-06,1.126
2016-04-07,1.118
2016-04-08,1.11
2016-04-09,1.103
2016-04-10,1.095
2016-04-11,1.088
2016-04-12,1.08
2016-04-13,1.072
2016-04-14,1.065
2016-04-15,1.057
2016-04-16,1.05
2016-04-17,1.042
2016-04-18,1.034
2016-04-19,1.039
2016-04-20,1.044
2016-04-21,1.049
2016-04-22,1.054
2016-04-23,1.059
2016-04-24,1.064
2016-04-25,1.068
2016-04-26,1.073
2016-04-27,1.074
2016-04-28,1.075
2016-04-29,1.076
2016-04-30,1.077
2016-05-01,1.078
2016-05-02,1.078
2016-05-03,1.079
2016-05-04,1.08
2016-05-05,1.081
2016-05-06,1.082
2016-05-07,1.083
2016-05-08,1.084
2016-05-09,1.085
2016-05-10,1.085
2016-05-11,1.086
2016-05-12,1.087
2016-05-13,1.072
2016-05-14,1.057
2016-05-15,1.042
2016-05-16,1.027
2016-05-17,1.011
2016-05-18,0.996
2016-05-19,0.981
2016-05-20,0.966
2016-05-21,0.951
2016-05-22,0.936
2016-05-23,0.92
2016-05-24,0.905
2016-05-25,0.89
2016-05-26,0.875
2016-05-27,0.86
2016-05-28,0.845
2016-05-29,0.858
2016-05-30,0.872
2016-05-31,0.885
2016-06-01,0.899
2016-06-02,0.913
2016-06-03,0.926
2016-06-04,0.94
2016-06-05,0.953
2016-06-06,0.967
2016-06-07,0.98
2016-06-08,0.994
2016-06-09,1.007
2016-06-10,1.021
2016-06-11,1.035
2016-06-12,1.048
2016-06-13,1.062
2016-06-14,1.046
2016-06-15,1.03
2016-06-16,1.014
2016-06-17,0.998
2016-06-18,0.982
2016-06-19,0.967
2016-06-20,0.951
2016-06-21,0.935
2016-06-22,0.924
2016-06-23,0.912
2016-06-24,0.901
2016-06-25,0.889
2016-06-26,0.878
2016-06-27,0.867
2016-06-28,0.855
2016-06-29,0.844
2016-06-30,0.869
2016-07-01,0.893
2016-07-02,0.918
2016-07-03,0.943
2016-07-04,0.968
2016-07-05,0.993
2016-07-06,1.018
2016-07-07,1.042
2016-07-08,1.031
2016-07-09,1.02
2016-07-10,1.009
2016-07-11,0.999
2016-07-12,0.988
2016-07-13,0.977
2016-07-14,0.966
2016-07-15,0.955
2016-07-16,0.958
2016-07-17,0.961
2016-07-18,0.964
2016-07-19,0.966
2016-07-20,0.969
2016-07-21,0.972
2016-07-22,0.975
2016-07-23,0.978
2016-07-24,0.968
2016-07-25,0.959
2016-07-26,0.949
2016-07-27,0.939
2016-07-28,0.929
2016-07-29,0.92
2016-07-30,0.91
2016-07-31,0.9
2016-08-01,0.906
2016-08-02,0.911
2016-08-03,0.917
2016-08-04,0.922
2016-08-05,0.928
2016-08-06,0.933
2016-08-07,0.939
2016-08-08,0.945
2016-08-09,0.95
2016-08-10,0.956
2016-08-11,0.961
2016-08-12,0.967
2016-08-13,0.972
2016-08-14,0.978
2016-08-15,0.984
2016-08-16,0.989
2016-08-17,0.975
2016-08-18,0.96
2016-08-19,0.946
2016-08-20,0.931
2016-08-21,0.917
2016-08-22,0.902
2016-08-23,0.888
2016-08-24,0.873
2016-08-25,0.885
2016-08-26,0.897
2016-08-27,0.909
2016-08-28,0.921
2016-08-29,0.933
2016-08-30,0.945
2016-08-31,0.957
2016-09-01,0.968
2016-09-02,0.969
2016-09-03,0.969
2016-09-04,0.969
2016-09-05,0.969
2016-09-06,0.97
2016-09-07,0.97
2016-09-08,0.97
2016-09-09,0.971
2016-09-10,0.959
2016-09-11,0.947
2016-09-12,0.936
2016-09-13,0.924
2016-09-14,0.912
2016-09-15,0.901
2016-09-16,0.889
2016-09-17,0.878
2016-09-18,0.874
2016-09-19,0.871
2016-09-20,0.868
2016-09-21,0.865
2016-09-22,0.862
2016-09-23,0.859
2016-09-24,0.855
2016-09-25,0.852
2016-09-26,0.849
2016-09-27,0.846
2016-09-28,0.843
2016-09-29,0.839
2016-09-30,0.836
2016-10-01,0.833
2016-10-02,0.83
2016-10-03,0.827
2016-10-04,0.843
2016-10-05,0.86
2016-10-06,0.876
2016-10-07,0.893
2016-10-08,0.91
2016-10-09,0.926
2016-10-10,0.943
2016-10-11,0.959
2016-10-12,0.966
2016-10-13,0.973
2016-10-14,0.98
2016-10-15,0.987
2016-10-16,0.994
2016-10-17,1.001
2016-10-18,1.008
2016-10-19,1.015
2016-10-20,0.958
2016-10-21,0.9
2016-10-22,0.843
2016-10-23,0.786
2016-10-24,0.728
2016-10-25,0.671
2016-10-26,0.614
2016-10-27,0.556
2016-10-28,0.582
2016-10-29,0.608
2016-10-30,0.634
2016-10-31,0.66
2016-11-01,0.687
2016-11-02,0.713
2016-11-03,0.739
2016-11-04,0.765
2016-11-05,0.75
2016-11-06,0.734
2016-11-07,0.719
2016-11-08,0.704
2016-11-09,0.689
2016-11-10,0.674
2016-11-11,0.659
2016-11-12,0.644
2016-11-13,0.649
2016-11-14,0.654
2016-11-15,0.66
2016-11-16,0.665
2016-11-17,0.67
2016-11-18,0.676
2016-11-19,0.681
2016-11-20,0.686
2016-11-21,0.692
2016-11-22,0.697
2016-11-23,0.702
2016-11-24,0.708
2016-11-25,0.713
2016-11-26,0.718
2016-11-27,0.724
2016-11-28,0.729
2016-11-29,0.734
2016-11-30,0.74
2016-12-01,0.745
2016-12-02,0.75
2016-12-03,0.756
2016-12-04,0.761
2016-12-05,0.766
2016-12-06,0.772
2016-12-07,0.777
2016-12-08,0.782
2016-12-09,0.788
2016-12-10,0.793
2016-12-11,0.798
2016-12-12,0.804
2016-12-13,0.809
2016-12-14,0.814
2016-12-15,0.82
2016-12-16,0.825
2016-12-17,0.83
