time,etof
2016-01-01,0.996
2016-01-02,0.996
2016-01-03,0.996
2016-01-04,0.996
2016-01-05,0.996
2016-01-06,0.996
2016-01-07,0.996
2016-01-08,0.996
2016-01-09,0.996
2016-01-10,0.996
2016-01-11,0.993
2016-01-12,0.99
2016-01-13,0.987
2016-01-14,0.984
2016-01-15,0.981
2016-01-16,0.978
2016-01-17,0.975
2016-01-18,0.972
2016-01-19,0.969
2016-01-20,0.966
2016-01-21,0.963
2016-01-22,0.96
2016-01-23,0.957
2016-01-24,0.954
2016-01-25,0.951
2016-01-26,0.948
2016-01-27,0.945
2016-01-28,0.942
2016-01-29,0.939
2016-01-30,0.936
2016-01-31,0.933
2016-02-01,0.93
2016-02-02,0.927
2016-02-03,0.924
2016-02-04,0.921
2016-02-05,0.918
2016-02-06,0.915
2016-02-07,0.913
2016-02-08,0.91
2016-02-09,0.907
2016-02-10,0.904
2016-02-11,0.901
2016-02-12,0.9
2016-02-13,0.899
2016-02-14,0.899
2016-02-15,0.898
2016-02-16,0.898
2016-02-17,0.897
2016-02-18,0.897
2016-02-19,0.896
2016-02-20,0.895
2016-02-21,0.895
2016-02-22,0.894
2016-02-23,0.894
2016-02-24,0.893
2016-02-25,0.892
2016-02-26,0.892
2016-02-27,0.891
2016-02-28,0.891
2016-02-29,0.89
2016-03-01,0.89
2016-03-02,0.889
2016-03-03,0.888
2016-03-04,0.888
2016-03-05,0.887
2016-03-06,0.887
2016-03-07,0.886
2016-03-08,0.885
2016-03-09,0.885
2016-03-10,0.884
2016-03-11,0.884
2016-03-12,0.883
2016-03-13,0.882
2016-03-14,0.882
2016-03-15,0.881
2016-03-16,0.881
2016-03-17,0.88
2016-03-18,0.88
2016-03-19,0.879
2016-03-20,0.878
2016-03-21,0.878
2016-03-22,0.877
2016-03-23,0.877
2016-03-24,0.876
2016-03-25,0.875
2016-03-26,0.875
2016-03-27,0.874
2016-03-28,0.874
2016-03-29,0.873
2016-03-30,0.873
2016-03-31,0.877
2016-04-01,0.882
2016-04-02,0.886
2016-04-03,0.89
2016-04-04,0.895
2016-04-05,0.899
2016-04-06,0.904
2016-04-07,0.908
2016-04-08,0.913
2016-04-09,0.917
2016-04-10,0.922
2016-04-11,0.926
2016-04-12,0.931
2016-04-13,0.935
2016-04-14,0.94
2016-04-15,0.944
2016-04-16,0.937
2016-04-17,0.93
2016-04-18,0.924
2016-04-19,0.917
2016-04-20,0.91
2016-04-21,0.903
2016-04-22,0.896
2016-04-23,0.889
2016-04-24,0.882
2016-04-25,0.875
2016-04-26,0.868
2016-04-27,0.861
2016-04-28,0.854
2016-04-29,0.847
2016-04-30,0.84
2016-05-01,0.833
2016-05-02,0.844
2016-05-03,0.854
2016-05-04,0.864
2016-05-05,0.874
2016-05-06,0.884
2016-05-07,0.895
2016-05-08,0.905
2016-05-09,0.915
2016-05-10,0.862
2016-05-11,0.808
2016-05-12,0.755
2016-05-13,0.702
2016-05-14,0.648
2016-05-15,0.595
2016-05-16,0.542
2016-05-17,0.488
2016-05-18,0.459
2016-05-19,0.43
2016-05-20,0.4
2016-05-21,0.371
2016-05-22,0.342
2016-05-23,0.312
2016-05-24,0.283
2016-05-25,0.254
2016-05-26,0.284
2016-05-27,0.313
2016-05-28,0.343
2016-05-29,0.373
2016-05-30,0.403
2016-05-31,0.433
2016-06-01,0.463
2016-06-02,0.493
2016-06-03,0.517
2016-06-04,0.541
2016-06-05,0.565
2016-06-06,0.588
2016-06-07,0.612
2016-06-08,0.636
2016-06-09,0.66
2016-06-10,0.683
2016-06-11,0.707
2016-06-12,0.731
2016-06-13,0.755
2016-06-14,0.778
2016-06-15,0.802
2016-06-16,0.826
2016-06-17,0.85
2016-06-18,0.874
2016-06-19,0.855
2016-06-20,0.837
2016-06-21,0.819
2016-06-22,0.801
2016-06-23,0.782
2016-06-24,0.764
2016-06-25,0.746
2016-06-26,0.728
2016-06-27,0.709
2016-06-28,0.691
2016-06-29,0.673
2016-06-30,0.655
2016-07-01,0.636
2016-07-02,0.618
2016-07-03,0.6
2016-07-04,0.582
2016-07-05,0.538
2016-07-06,0.494
2016-07-07,0.45
2016-07-08,0.406
2016-07-09,0.363
2016-07-10,0.319
2016-07-11,0.275
2016-07-12,0.231
2016-07-13,0.265
2016-07-14,0.298
2016-07-15,0.332
2016-07-16,0.365
2016-07-17,0.399
2016-07-18,0.432
2016-07-19,0.466
2016-07-20,0.499
2016-07-21,0.489
2016-07-22,0.479
2016-07-23,0.469
2016-07-24,0.459
2016-07-25,0.449
2016-07-26,0.439
2016-07-27,0.429
2016-07-28,0.419
2016-07-29,0.436
2016-07-30,0.453
2016-07-31,0.471
2016-08-01,0.488
2016-08-02,0.505
2016-08-03,0.523
2016-08-04,0.54
2016-08-05,0.558
2016-08-06,0.533
2016-08-07,0.508
2016-08-08,0.483
2016-08-09,0.458
2016-08-10,0.434
2016-08-11,0.409
2016-08-12,0.384
2016-08-13,0.359
2016-08-14,0.363
2016-08-15,0.366
2016-08-16,0.37
2016-08-17,0.374
2016-08-18,0.377
2016-08-19,0.381
2016-08-20,0.385
2016-08-21,0.388
2016-08-22,0.392
2016-08-23,0.396
2016-08-24,0.399
2016-08-25,0.403
2016-08-26,0.407
2016-08-27,0.41
2016-08-28,0.414
2016-08-29,0.418
2016-08-30,0.399
2016-08-31,0.38
2016-09-01,0.361
2016-09-02,0.342
2016-09-03,0.323
2016-09-04,0.304
2016-09-05,0.285
2016-09-06,0.266
2016-09-07,0.279
2016-09-08,0.293
2016-09-09,0.306
2016-09-10,0.319
2016-09-11,0.332
2016-09-12,0.345
2016-09-13,0.359
2016-09-14,0.372
2016-09-15,0.37
2016-09-16,0.369
2016-09-17,0.368
2016-09-18,0.367
2016-09-19,0.365
2016-09-20,0.364
2016-09-21,0.363
2016-09-22,0.361
2016-09-23,0.36
2016-09-24,0.359
2016-09-25,0.358
2016-09-26,0.357
2016-09-27,0.356
2016-09-28,0.355
2016-09-29,0.354
2016-09-30,0.353
2016-10-01,0.352
2016-10-02,0.35
2016-10-03,0.349
2016-10-04,0.348
2016-10-05,0.347
2016-10-06,0.346
2016-10-07,0.345
2016-10-08,0.344
2016-10-09,0.352
2016-10-10,0.359
2016-10-11,0.367
2016-10-12,0.375
2016-10-13,0.382
2016-10-14,0.39
2016-10-15,0.398
2016-10-16,0.405
2016-10-17,0.413
2016-10-18,0.421
2016-10-19,0.429
2016-10-20,0.436
2016-10-21,0.444
2016-10-22,0.452
2016-10-23,0.459
2016-10-24,0.467
2016-10-25,0.475
2016-10-26,0.483
2016-10-27,0.49
2016-10-28,0.498
2016-10-29,0.506
2016-10-30,0.513
2016-10-31,0.521
2016-11-01,0.529
2016-11-02,0.537
2016-11-03,0.544
2016-11-04,0.552
2016-11-05,0.56
2016-11-06,0.567
2016-11-07,0.575
2016-11-08,0.583
2016-11-09,0.591
2016-11-10,0.61
2016-11-11,0.63
2016-11-12,0.65
2016-11-13,0.67
2016-11-14,0.689
2016-11-15,0.709
2016-11-16,0.729
2016-11-17,0.749
2016-11-18,0.743
2016-11-19,0.738
2016-11-20,0.732
2016-11-21,0.726
2016-11-22,0.721
2016-11-23,0.715
2016-11-24,0.709
2016-11-25,0.704
2016-11-26,0.698
2016-11-27,0.693
2016-11-28,0.687
2016-11-29,0.681
2016-11-30,0.676
2016-12-01,0.67
2016-12-02,0.664
2016-12-03,0.659
2016-12-04,0.66
2016-12-05,0.662
2016-12-06,0.663
2016-12-07,0.665
2016-12-08,0.666
2016-12-09,0.668
2016-12-10,0.669
2016-12-11,0.671
2016-12-12,0.672
2016-12-13,0.674
2016-12-14,0.675
2016-12-15,0.677
2016-12-16,0.678
2016-12-17,0.68
2016-12-18,0.682
2016-12-19,0.683
2016-12-20,0.753
2016-12-21,0.823
2016-12-22,0.893
2016-12-23,0.964
2016-12-24,1.034
2016-12-25,1.104
2016-12-26,1.174
2016-12-27,1.244
2016-12-28,1.231
2016-12-29,1.217
2016-12-30,1.203
2016-12-31,1.189
2017-01-01,1.176
2017-01-02,1.162
2017-01-03,1.148
2017-01-04,1.134
2017-01-05,1.121
2017-01-06,1.107
2017-01-07,1.093
2017-01-08,1.08
2017-01-09,1.066
2017-01-10,1.052
2017-01-11,1.038
2017-01-12,1.025
2017-01-13,1.011
2017-01-14,0.997
2017-01-15,0.983
2017-01-16,0.97
2017-01-17,0.956
2017-01-18,0.942
2017-01-19,0.929
2017-01-20,0.915
2017-01-21,0.901
2017-01-22,0.887
2017-01-23,0.874
2017-01-24,0.86
2017-01-25,0.846
2017-01-26,0.832
2017-01-27,0.819
2017-01-28,0.805
2017-01-29,0.801
2017-01-30,0.798
2017-01-31,0.794
2017-02-01,0.791
2017-02-02,0.787
2017-02-03,0.784
2017-02-04,0.78
2017-02-05,0.777
2017-02-06,0.773
2017-02-07,0.77
2017-02-08,0.766
2017-02-09,0.763
2017-02-10,0.759
2017-02-11,0.756
2017-02-12,0.752
2017-02-13,0.748
2017-02-14,0.745
2017-02-15,0.741
2017-02-16,0.738
2017-02-17,0.734
2017-02-18,0.731
2017-02-19,0.727
2017-02-20,0.724
2017-02-21,0.72
2017-02-22,0.717
2017-02-23,0.713
2017-02-24,0.71
2017-02-25,0.706
2017-02-26,0.703
2017-02-27,0.699
2017-02-28,0.696
2017-03-01,0.692
2017-03-02,0.702
2017-03-03,0.712
2017-03-04,0.722
2017-03-05,0.732
2017-03-06,0.742
2017-03-07,0.752
2017-03-08,0.762
2017-03-09,0.773
2017-03-10,0.783
2017-03-11,0.793
2017-03-12,0.803
2017-03-13,0.813
2017-03-14,0.823
2017-03-15,0.833
2017-03-16,0.843
2017-03-17,0.853
2017-03-18,0.849
2017-03-19,0.845
2017-03-20,0.841
2017-03-21,0.837
2017-03-22,0.833
2017-03-23,0.828
2017-03-24,0.824
2017-03-25,0.82
2017-03-26,0.816
2017-03-27,0.812
2017-03-28,0.808
2017-03-29,0.804
2017-03-30,0.8
2017-03-31,0.796
2017-04-01,0.792
2017-04-02,0.787
2017-04-03,0.803
2017-04-04,0.819
2017-04-05,0.834
2017-04-06,0.85
2017-04-07,0.865
2017-04-08,0.881
2017-04-09,0.897
2017-04-10,0.912
2017-04-11,0.928
2017-04-12,0.943
2017-04-13,0.959
2017-04-14,0.974
2017-04-15,0.99
2017-04-16,1.006
2017-04-17,1.021
2017-04-18,1.037
2017-04-19,1.023
2017-04-20,1.009
2017-04-21,0.996
2017-04-22,0.982
2017-04-23,0.969
2017-04-24,0.955
2017-04-25,0.941
2017-04-26,0.928
2017-04-27,0.914
2017-04-28,0.901
2017-04-29,0.887
2017-04-30,0.873
2017-05-01,0.86
2017-05-02,0.846
2017-05-03,0.833
2017-05-04,0.819
2017-05-05,0.771
2017-05-06,0.722
2017-05-07,0.674
2017-05-08,0.626
2017-05-09,0.578
2017-05-10,0.529
2017-05-11,0.481
2017-05-12,0.433
2017-05-13,0.46
2017-05-14,0.487
2017-05-15,0.514
2017-05-16,0.541
2017-05-17,0.569
2017-05-18,0.596
2017-05-19,0.623
2017-05-20,0.65
2017-05-21,0.641
2017-05-22,0.631
2017-05-23,0.622
2017-05-24,0.612
2017-05-25,0.603
2017-05-26,0.593
2017-05-27,0.584
2017-05-28,0.574
2017-05-29,0.578
2017-05-30,0.581
2017-05-31,0.584
2017-06-01,0.588
2017-06-02,0.591
2017-06-03,0.594
2017-06-04,0.598
2017-06-05,0.601
2017-06-06,0.58
2017-06-07,0.559
2017-06-08,0.538
2017-06-09,0.517
2017-06-10,0.495
2017-06-11,0.474
2017-06-12,0.453
2017-06-13,0.432
2017-06-14,0.443
2017-06-15,0.455
2017-06-16,0.466
2017-06-17,0.478
2017-06-18,0.49
2017-06-19,0.501
2017-06-20,0.513
2017-06-21,0.524
