time,et
2016-01-01,0.465
2016-01-02,0.605
2016-01-03,0.605
2016-01-04,0.326
2016-01-05,0.372
2016-01-06,0.372
2016-01-07,0.233
2016-01-08,0.279
2016-01-09,0.326
2016-01-10,0.419
2016-01-11,0.512
2016-01-12,0.465
2016-01-13,0.558
2016-01-14,0.279
2016-01-15,0.279
2016-01-16,0.419
2016-01-17,0.326
2016-01-18,0.512
2016-01-19,0.558
2016-01-20,0.419
2016-01-21,0.558
2016-01-22,0.419
2016-01-23,0.558
2016-01-24,0.465
2016-01-25,0.558
2016-01-26,0.465
2016-01-27,0.605
2016-01-28,0.377
2016-01-29,0.286
2016-01-30,0.628
2016-01-31,1.076
2016-02-01,1.247
2016-02-02,1.157
2016-02-03,1.171
2016-02-04,1.023
2016-02-05,1.035
2016-02-06,0.992
2016-02-07,0.947
2016-02-08,1.127
2016-02-09,1.083
2016-02-10,0.979
2016-02-11,0.932
2016-02-12,1.001
2016-02-13,1.071
2016-02-14,1.563
2016-02-15,1.154
2016-02-16,1.227
2016-02-17,1.054
2016-02-18,1.566
2016-02-19,1.202
2016-02-20,1.342
2016-02-21,1.355
2016-02-22,1.303
2016-02-23,1.052
2016-02-24,1.062
2016-02-25,1.072
2016-02-26,1.082
2016-02-27,1.161
2016-02-28,1.309
2016-02-29,1.182
2016-03-01,1.907
2016-03-02,1.786
2016-03-03,1.109
2016-03-04,1.468
2016-03-05,1.129
2016-03-06,1.708
2016-03-07,1.292
2016-03-08,1.303
2016-03-09,1.095
2016-03-10,1.104
2016-03-11,1.187
2016-03-12,1.421
2016-03-13,1.207
2016-03-14,1.824
2016-03-15,2.069
2016-03-16,2.186
2016-03-17,2.223
2016-03-18,2.404
2016-03-19,2.362
2016-03-20,1.617
2016-03-21,1.588
2016-03-22,2.034
2016-03-23,2.196
2016-03-24,2.154
2016-03-25,2.369
2016-03-26,2.51
2016-03-27,2.275
2016-03-28,2.048
2016-03-29,2.064
2016-03-30,2.135
2016-03-31,2.258
2016-04-01,2.1
2016-04-02,2.052
2016-04-03,2.268
2016-04-04,2.316
2016-04-05,2.46
2016-04-06,2.349
2016-04-07,2.241
2016-04-08,1.671
2016-04-09,0.723
2016-04-10,0.746
2016-04-11,1.236
2016-04-12,1.613
2016-04-13,1.845
2016-04-14,1.554
2016-04-15,2.029
2016-04-16,1.852
2016-04-17,1.578
2016-04-18,1.656
2016-04-19,1.627
2016-04-20,1.626
2016-04-21,1.32
2016-04-22,0.862
2016-04-23,1.154
2016-04-24,1.232
2016-04-25,1.298
