time,et
2016-01-01,1.146
2016-01-02,1.72
2016-01-03,1.911
2016-01-04,0.86
2016-01-05,0.86
2016-01-06,0.86
2016-01-07,0.764
2016-01-08,0.955
2016-01-09,1.529
2016-01-10,1.051
2016-01-11,1.242
2016-01-12,1.242
2016-01-13,1.908
2016-01-14,0.952
2016-01-15,1.141
2016-01-16,1.234
2016-01-17,0.947
2016-01-18,1.419
2016-01-19,0.755
2016-01-20,1.131
2016-01-21,1.223
2016-01-22,1.221
2016-01-23,1.125
2016-01-24,1.123
2016-01-25,1.308
2016-01-26,1.306
2016-01-27,1.211
2016-01-28,0.93
2016-01-29,0.928
2016-01-30,1.112
2016-01-31,1.85
2016-02-01,4.134
2016-02-02,2.459
2016-02-03,2.454
2016-02-04,2.013
2016-02-05,1.747
2016-02-06,1.982
2016-02-07,2.134
2016-02-08,2.388
2016-02-09,2.554
2016-02-10,1.817
2016-02-11,1.659
2016-02-12,1.702
2016-02-13,2.182
2016-02-14,3.64
2016-02-15,2.521
2016-02-16,2.266
2016-02-17,1.212
2016-02-18,2.573
2016-02-19,1.842
2016-02-20,3.226
2016-02-21,2.786
2016-02-22,2.065
2016-02-23,1.661
2016-02-24,1.966
2016-02-25,2.065
2016-02-26,2.163
2016-02-27,2.338
2016-02-28,2.707
2016-02-29,2.458
2016-03-01,4.231
2016-03-02,3.36
2016-03-03,2.489
2016-03-04,2.738
2016-03-05,1.493
2016-03-06,2.987
2016-03-07,1.742
2016-03-08,2.755
2016-03-09,2.738
2016-03-10,3.236
2016-03-11,2.072
2016-03-12,2.851
2016-03-13,1.851
2016-03-14,2.14
2016-03-15,3.395
2016-03-16,3.512
2016-03-17,3.391
2016-03-18,3.694
2016-03-19,3.678
2016-03-20,3.872
2016-03-21,2.605
2016-03-22,3.735
2016-03-23,4.132
2016-03-24,4.217
2016-03-25,4.154
2016-03-26,4.508
2016-03-27,4.022
2016-03-28,3.311
2016-03-29,4.097
2016-03-30,4.352
2016-03-31,4.611
2016-04-01,4.418
2016-04-02,4.506
2016-04-03,4.914
2016-04-04,5.531
2016-04-05,5.4
2016-04-06,5.166
2016-04-07,5.143
2016-04-08,4.284
2016-04-09,2.289
2016-04-10,1.968
2016-04-11,3.505
2016-04-12,4.105
2016-04-13,4.393
2016-04-14,4.17
2016-04-15,6.175
2016-04-16,5.038
2016-04-17,5.717
2016-04-18,5.286
2016-04-19,5.553
2016-04-20,5.423
2016-04-21,5.588
2016-04-22,3.411
2016-04-23,4.748
2016-04-24,4.817
2016-04-25,5.267
2016-04-26,4.557
2016-04-27,4.047
2016-04-28,5.037
2016-04-29,4.715
2016-04-30,6.872
2016-05-01,5.732
2016-05-02,5.236
2016-05-03,5.188
2016-05-04,4.617
2016-05-05,3.797
2016-05-06,3.077
2016-05-07,2.286
2016-05-08,2.851
2016-05-09,3.986
2016-05-10,5.18
2016-05-11,5.21
2016-05-12,5.763
2016-05-13,4.8
2016-05-14,4.64
2016-05-15,5.166
2016-05-16,5.894
2016-05-17,6.373
2016-05-18,6.039
2016-05-19,4.585
2016-05-20,3.557
2016-05-21,3.048
2016-05-22,3.655
2016-05-23,3.223
2016-05-24,3.231
2016-05-25,3.808
2016-05-26,3.778
2016-05-27,3.793
2016-05-28,4.021
2016-05-29,4.348
2016-05-30,4.409
2016-05-31,4.571
2016-06-01,4.332
2016-06-02,4.388
2016-06-03,4.244
2016-06-04,4.053
2016-06-05,4.446
2016-06-06,4.16
2016-06-07,3.878
2016-06-08,3.696
2016-06-09,3.378
2016-06-10,3.478
2016-06-11,2.986
2016-06-12,3.445
2016-06-13,3.317
2016-06-14,3.06
2016-06-15,2.808
2016-06-16,2.817
2016-06-17,2.868
2016-06-18,2.791
2016-06-19,3.045
2016-06-20,3.698
2016-06-21,4.064
2016-06-22,3.71
2016-06-23,3.75
2016-06-24,3.447
2016-06-25,3.741
2016-06-26,3.876
2016-06-27,3.474
2016-06-28,3.636
2016-06-29,3.47
2016-06-30,3.381
2016-07-01,3.34
2016-07-02,3.245
2016-07-03,3.866
2016-07-04,3.939
2016-07-05,3.817
2016-07-06,3.868
2016-07-07,3.444
2016-07-08,3.374
2016-07-09,2.965
2016-07-10,2.748
2016-07-11,2.733
2016-07-12,2.354
2016-07-13,2.13
2016-07-14,1.896
2016-07-15,1.79
2016-07-16,1.638
2016-07-17,1.667
2016-07-18,1.484
2016-07-19,1.66
2016-07-20,1.732
2016-07-21,1.917
2016-07-22,2.31
2016-07-23,2.751
2016-07-24,2.158
2016-07-25,2.046
2016-07-26,2.431
2016-07-27,2.806
2016-07-28,3.118
2016-07-29,2.951
2016-07-30,2.435
2016-07-31,2.26
2016-08-01,1.969
2016-08-02,1.906
2016-08-03,2.038
2016-08-04,1.786
2016-08-05,1.337
2016-08-06,1.349
2016-08-07,1.328
2016-08-08,1.266
2016-08-09,1.071
2016-08-10,0.906
2016-08-11,0.873
2016-08-12,0.843
2016-08-13,0.801
2016-08-14,0.713
2016-08-15,0.579
2016-08-16,0.597
2016-08-17,0.621
2016-08-18,0.602
2016-08-19,0.641
2016-08-20,0.737
2016-08-21,0.76
2016-08-22,0.782
2016-08-23,0.868
2016-08-24,0.956
2016-08-25,0.797
2016-08-26,0.611
2016-08-27,0.583
2016-08-28,0.555
2016-08-29,0.631
2016-08-30,0.597
2016-08-31,0.52
2016-09-01,0.549
2016-09-02,0.667
2016-09-03,0.693
2016-09-04,0.69
2016-09-05,0.904
2016-09-06,1.07
2016-09-07,1.115
2016-09-08,1.243
2016-09-09,1.153
2016-09-10,1.045
2016-09-11,0.749
2016-09-12,0.474
2016-09-13,0.283
2016-09-14,0.224
2016-09-15,0.14
2016-09-16,0.015
2016-09-17,0.178
2016-09-18,0.291
2016-09-19,0.514
2016-09-20,0.522
2016-09-21,0.614
2016-09-22,0.776
2016-09-23,1.064
2016-09-24,1.067
2016-09-25,0.831
2016-09-26,0.925
2016-09-27,0.984
2016-09-28,0.899
2016-09-29,0.752
2016-09-30,0.712
2016-10-01,0.609
2016-10-02,0.478
2016-10-03,0.239
2016-10-04,0.431
2016-10-05,0.515
2016-10-06,0.604
2016-10-07,0.553
2016-10-08,0.535
2016-10-09,0.553
2016-10-10,0.557
2016-10-11,0.45
2016-10-12,0.459
2016-10-13,0.341
2016-10-14,0.205
2016-10-15,0.257
2016-10-16,0.088
2016-10-17,0.176
2016-10-18,0.254
2016-10-19,0.254
2016-10-20,0.195
2016-10-21,0.16
2016-10-22,0.132
2016-10-23,0.157
2016-10-24,0.088
2016-10-25,0.052
2016-10-26,0.041
2016-10-27,0.048
2016-10-28,0.05
2016-10-29,0.169
2016-10-30,0.108
2016-10-31,0.24
2016-11-01,0.265
2016-11-02,0.353
2016-11-03,0.4
2016-11-04,0.341
2016-11-05,0.343
2016-11-06,0.235
2016-11-07,0.198
2016-11-08,0.161
2016-11-09,0.156
2016-11-10,0.101
2016-11-11,0.063
2016-11-12,0.116
2016-11-13,0.12
2016-11-14,0.148
2016-11-15,0.225
2016-11-16,0.268
2016-11-17,0.31
2016-11-18,0.521
2016-11-19,0.81
2016-11-20,0.126
2016-11-21,0.186
2016-11-22,0.28
2016-11-23,0.387
2016-11-24,0.359
2016-11-25,0.417
2016-11-26,0.412
2016-11-27,0.438
2016-11-28,0.302
2016-11-29,0.351
