time,et
2016-01-01,0.734
2016-01-02,0.934
2016-01-03,1.068
2016-01-04,0.734
2016-01-05,0.734
2016-01-06,0.734
2016-01-07,0.601
2016-01-08,0.601
2016-01-09,0.801
2016-01-10,0.601
2016-01-11,0.667
2016-01-12,0.801
2016-01-13,0.228
2016-01-14,0.17
2016-01-15,0.195
2016-01-16,0.184
2016-01-17,0.247
2016-01-18,0.227
2016-01-19,0.124
2016-01-20,0.27
2016-01-21,0.291
2016-01-22,0.375
2016-01-23,0.401
2016-01-24,0.462
2016-01-25,0.49
2016-01-26,0.478
2016-01-27,0.504
2016-01-28,0.574
2016-01-29,0.509
2016-01-30,0.339
2016-01-31,0.354
2016-02-01,1.988
2016-02-02,1.143
2016-02-03,1.018
2016-02-04,1.057
2016-02-05,1.095
2016-02-06,0.843
2016-02-07,0.863
2016-02-08,0.924
2016-02-09,0.98
2016-02-10,0.741
2016-02-11,0.597
2016-02-12,0.652
2016-02-13,0.776
2016-02-14,0.856
2016-02-15,0.79
2016-02-16,0.595
2016-02-17,0.413
2016-02-18,0.761
2016-02-19,0.67
2016-02-20,0.891
2016-02-21,0.849
2016-02-22,0.587
2016-02-23,0.47
2016-02-24,0.609
2016-02-25,0.625
2016-02-26,0.748
2016-02-27,0.842
2016-02-28,0.941
2016-02-29,0.909
2016-03-01,1.189
2016-03-02,1.105
2016-03-03,0.985
2016-03-04,0.935
2016-03-05,0.499
2016-03-06,0.819
2016-03-07,0.446
2016-03-08,0.473
2016-03-09,1.446
2016-03-10,1.696
2016-03-11,1.135
2016-03-12,1.265
2016-03-13,0.852
2016-03-14,1.39
2016-03-15,1.641
2016-03-16,1.631
2016-03-17,0.982
2016-03-18,1.167
2016-03-19,1.267
2016-03-20,1.44
2016-03-21,1.391
2016-03-22,1.692
2016-03-23,1.537
2016-03-24,1.909
2016-03-25,2.116
2016-03-26,2.144
2016-03-27,2.222
2016-03-28,2.098
2016-03-29,1.917
2016-03-30,2.046
2016-03-31,2.231
2016-04-01,2.394
2016-04-02,2.563
2016-04-03,2.794
2016-04-04,3.34
2016-04-05,3.415
2016-04-06,3.353
2016-04-07,3.754
2016-04-08,2.76
2016-04-09,2.198
2016-04-10,1.743
2016-04-11,2.74
2016-04-12,3.474
2016-04-13,3.832
2016-04-14,4.634
2016-04-15,4.769
2016-04-16,4.36
2016-04-17,4.76
2016-04-18,4.985
2016-04-19,5.477
2016-04-20,5.326
2016-04-21,5.623
2016-04-22,4.323
2016-04-23,4.622
2016-04-24,4.395
2016-04-25,4.258
2016-04-26,3.455
2016-04-27,3.837
2016-04-28,3.187
2016-04-29,3.853
2016-04-30,4.533
2016-05-01,3.548
2016-05-02,4.276
2016-05-03,4.321
2016-05-04,4.789
2016-05-05,3.843
2016-05-06,3.02
2016-05-07,2.76
2016-05-08,2.934
2016-05-09,4.223
2016-05-10,4.864
2016-05-11,5.138
2016-05-12,5.299
2016-05-13,5.305
2016-05-14,4.759
2016-05-15,4.902
2016-05-16,5.183
2016-05-17,5.327
2016-05-18,5.679
2016-05-19,5.477
2016-05-20,4.3
2016-05-21,4.06
2016-05-22,4.231
2016-05-23,4.404
2016-05-24,3.523
2016-05-25,4.758
2016-05-26,5.081
2016-05-27,5.337
2016-05-28,4.766
2016-05-29,5.194
2016-05-30,5.193
2016-05-31,5.443
2016-06-01,5.668
2016-06-02,5.732
2016-06-03,5.665
2016-06-04,5.595
2016-06-05,5.927
2016-06-06,5.923
2016-06-07,6.125
2016-06-08,6.051
2016-06-09,5.201
2016-06-10,5.327
2016-06-11,4.664
2016-06-12,5.365
