time,et
2016-01-01,0.745
2016-01-02,0.807
2016-01-03,0.807
2016-01-04,0.683
2016-01-05,0.683
2016-01-06,0.807
2016-01-07,0.683
2016-01-08,0.497
2016-01-09,0.807
2016-01-10,0.621
2016-01-11,0.683
2016-01-12,0.745
2016-01-13,1.055
2016-01-14,0.745
2016-01-15,0.683
2016-01-16,0.683
2016-01-17,0.993
2016-01-18,0.745
2016-01-19,0.621
2016-01-20,0.683
2016-01-21,0.745
2016-01-22,0.931
2016-01-23,0.621
2016-01-24,0.683
2016-01-25,0.869
2016-01-26,0.745
2016-01-27,0.807
2016-01-28,0.931
2016-01-29,0.745
2016-01-30,0.434
2016-01-31,0.31
2016-02-01,2.167
2016-02-02,1.211
2016-02-03,1.084
2016-02-04,0.892
2016-02-05,0.892
2016-02-06,1.02
2016-02-07,0.933
2016-02-08,1.092
2016-02-09,1.182
2016-02-10,0.978
2016-02-11,0.728
2016-02-12,0.816
2016-02-13,1.057
2016-02-14,1.129
2016-02-15,1.125
2016-02-16,0.837
2016-02-17,0.755
2016-02-18,1.326
2016-02-19,1.188
2016-02-20,1.879
2016-02-21,1.944
2016-02-22,1.316
2016-02-23,0.936
2016-02-24,1.03
2016-02-25,0.929
2016-02-26,1.012
2016-02-27,1.028
2016-02-28,0.929
2016-02-29,0.992
2016-03-01,1.361
2016-03-02,1.357
2016-03-03,1.404
2016-03-04,1.618
2016-03-05,1.267
2016-03-06,1.425
2016-03-07,1.285
2016-03-08,1.323
2016-03-09,1.425
2016-03-10,1.981
2016-03-11,1.413
2016-03-12,1.37
2016-03-13,1.256
2016-03-14,1.633
2016-03-15,2.168
2016-03-16,2.352
2016-03-17,2.392
2016-03-18,2.48
2016-03-19,2.419
2016-03-20,2.289
2016-03-21,1.959
2016-03-22,2.301
2016-03-23,2.111
2016-03-24,2.176
2016-03-25,2.354
2016-03-26,2.236
2016-03-27,2.064
2016-03-28,1.786
2016-03-29,1.683
2016-03-30,1.742
2016-03-31,1.845
2016-04-01,2.03
2016-04-02,1.872
2016-04-03,1.854
2016-04-04,2.259
2016-04-05,2.33
2016-04-06,1.983
2016-04-07,2.192
2016-04-08,1.401
2016-04-09,1.163
2016-04-10,1.195
2016-04-11,1.401
2016-04-12,1.819
2016-04-13,1.5
2016-04-14,1.949
2016-04-15,1.844
2016-04-16,1.782
2016-04-17,1.885
2016-04-18,1.863
2016-04-19,1.9
2016-04-20,1.775
2016-04-21,2.093
2016-04-22,1.808
2016-04-23,1.844
2016-04-24,1.76
2016-04-25,1.397
2016-04-26,1.713
2016-04-27,2.01
2016-04-28,1.379
2016-04-29,1.963
2016-04-30,2.187
2016-05-01,1.866
2016-05-02,2.162
2016-05-03,2.302
2016-05-04,2.24
2016-05-05,1.971
2016-05-06,1.78
2016-05-07,1.419
2016-05-08,1.431
2016-05-09,1.994
2016-05-10,2.565
2016-05-11,2.758
2016-05-12,3.127
2016-05-13,2.989
2016-05-14,2.614
2016-05-15,2.073
2016-05-16,2.361
2016-05-17,2.37
2016-05-18,2.299
2016-05-19,2.071
2016-05-20,1.602
2016-05-21,1.426
2016-05-22,1.619
2016-05-23,1.818
2016-05-24,1.516
2016-05-25,1.597
2016-05-26,1.955
2016-05-27,2.136
2016-05-28,2.258
2016-05-29,2.382
2016-05-30,2.477
2016-05-31,2.639
2016-06-01,2.64
2016-06-02,2.705
2016-06-03,2.738
2016-06-04,2.602
2016-06-05,2.872
2016-06-06,2.837
2016-06-07,3.01
2016-06-08,2.832
2016-06-09,2.542
2016-06-10,2.715
2016-06-11,2.306
2016-06-12,2.331
2016-06-13,2.581
2016-06-14,2.672
2016-06-15,2.363
2016-06-16,2.17
2016-06-17,2.018
2016-06-18,2.271
2016-06-19,2.314
2016-06-20,2.607
2016-06-21,2.851
2016-06-22,3.152
2016-06-23,3.502
2016-06-24,3.456
2016-06-25,3.339
2016-06-26,3.817
2016-06-27,3.972
2016-06-28,3.845
2016-06-29,4.561
2016-06-30,3.829
2016-07-01,3.474
2016-07-02,3.566
2016-07-03,3.562
2016-07-04,3.556
2016-07-05,3.505
2016-07-06,3.408
2016-07-07,3.27
2016-07-08,3.226
2016-07-09,3.18
2016-07-10,2.971
2016-07-11,3.081
2016-07-12,3.104
2016-07-13,3.009
2016-07-14,2.773
2016-07-15,2.683
2016-07-16,2.645
2016-07-17,2.606
2016-07-18,2.272
2016-07-19,2.432
2016-07-20,2.396
2016-07-21,2.579
2016-07-22,2.848
2016-07-23,2.803
2016-07-24,2.443
2016-07-25,2.326
2016-07-26,2.362
2016-07-27,2.551
2016-07-28,2.588
2016-07-29,2.439
2016-07-30,2.599
2016-07-31,2.574
2016-08-01,2.503
2016-08-02,2.567
2016-08-03,2.765
2016-08-04,2.793
2016-08-05,2.634
2016-08-06,2.684
2016-08-07,3.044
2016-08-08,3.059
2016-08-09,2.933
2016-08-10,2.848
2016-08-11,2.611
2016-08-12,2.493
2016-08-13,2.675
2016-08-14,2.667
2016-08-15,2.442
2016-08-16,2.153
2016-08-17,2.019
2016-08-18,2.321
2016-08-19,2.31
2016-08-20,2.202
2016-08-21,2.006
2016-08-22,1.79
2016-08-23,1.89
2016-08-24,2.031
2016-08-25,2.056
2016-08-26,1.985
2016-08-27,2.08
2016-08-28,2.202
2016-08-29,2.838
2016-08-30,3.026
2016-08-31,2.988
2016-09-01,2.983
2016-09-02,2.863
2016-09-03,2.568
2016-09-04,2.25
2016-09-05,2.027
2016-09-06,2.123
2016-09-07,1.802
2016-09-08,1.798
2016-09-09,1.635
2016-09-10,1.794
2016-09-11,1.914
2016-09-12,1.88
2016-09-13,1.502
2016-09-14,1.745
2016-09-15,2.273
2016-09-16,2.951
2016-09-17,2.937
2016-09-18,2.426
2016-09-19,3.628
2016-09-20,2.504
2016-09-21,2.49
2016-09-22,2.384
2016-09-23,1.929
2016-09-24,1.623
2016-09-25,1.414
2016-09-26,1.748
2016-09-27,2.183
2016-09-28,2.28
2016-09-29,2.241
2016-09-30,2.385
2016-10-01,2.121
2016-10-02,2.36
2016-10-03,1.869
2016-10-04,1.783
2016-10-05,1.935
2016-10-06,1.941
2016-10-07,1.628
2016-10-08,1.371
2016-10-09,1.427
2016-10-10,1.816
2016-10-11,1.485
2016-10-12,1.517
2016-10-13,1.463
2016-10-14,1.449
2016-10-15,1.209
2016-10-16,1.233
2016-10-17,1.303
2016-10-18,1.755
2016-10-19,1.546
2016-10-20,1.473
2016-10-21,1.137
2016-10-22,1.119
2016-10-23,1.37
2016-10-24,0.7
2016-10-25,0.968
2016-10-26,0.84
2016-10-27,0.87
2016-10-28,0.485
2016-10-29,0.903
2016-10-30,0.483
2016-10-31,1.018
2016-11-01,1.132
2016-11-02,1.289
2016-11-03,1.329
2016-11-04,1.292
2016-11-05,1.699
2016-11-06,1.495
2016-11-07,1.494
2016-11-08,1.358
2016-11-09,1.561
2016-11-10,1.425
2016-11-11,1.221
2016-11-12,1.762
2016-11-13,1.355
2016-11-14,1.016
2016-11-15,1.557
2016-11-16,1.218
2016-11-17,1.15
2016-11-18,1.15
2016-11-19,1.555
2016-11-20,1.081
2016-11-21,0.608
2016-11-22,0.878
2016-11-23,1.147
2016-11-24,1.079
2016-11-25,0.809
2016-11-26,1.213
2016-11-27,0.606
2016-11-28,0.606
2016-11-29,0.673
2016-11-30,0.808
2016-12-01,1.002
2016-12-02,0.859
2016-12-03,0.572
2016-12-04,0.858
2016-12-05,0.929
2016-12-06,0.858
2016-12-07,0.857
2016-12-08,0.857
2016-12-09,0.928
2016-12-10,0.928
2016-12-11,0.713
2016-12-12,0.784
2016-12-13,0.784
2016-12-14,1.211
2016-12-15,0.84
2016-12-16,0.326
2016-12-17,0.867
2016-12-18,1.102
2016-12-19,0.873
2016-12-20,0.715
2016-12-21,0.965
2016-12-22,0.899
2016-12-23,1.455
2016-12-24,0.781
2016-12-25,1.0
2016-12-26,1.328
2016-12-27,0.992
2016-12-28,0.988
2016-12-29,0.875
2016-12-30,0.872
2016-12-31,0.434
2017-01-01,0.85
2017-01-02,0.953
2017-01-03,1.582
2017-01-04,1.471
2017-01-05,0.628
2017-01-06,1.355
2017-01-07,1.661
2017-01-08,2.481
2017-01-09,1.133
2017-01-10,1.641
2017-01-11,1.43
2017-01-12,1.017
2017-01-13,1.013
2017-01-14,0.908
2017-01-15,1.105
2017-01-16,0.8
2017-01-17,1.196
2017-01-18,1.587
2017-01-19,1.383
2017-01-20,0.984
2017-01-21,1.371
2017-01-22,1.658
2017-01-23,1.165
2017-01-24,1.257
2017-01-25,1.059
2017-01-26,1.15
2017-01-27,1.145
2017-01-28,1.235
2017-01-29,1.23
2017-01-30,1.13
2017-01-31,1.313
2017-02-01,1.827
2017-02-02,1.44
2017-02-03,1.726
2017-02-04,1.245
2017-02-05,1.434
2017-02-06,1.432
2017-02-07,2.287
2017-02-08,1.427
2017-02-09,1.995
2017-02-10,1.043
2017-02-11,1.515
2017-02-12,1.607
2017-02-13,1.605
2017-02-14,1.885
2017-02-15,2.165
2017-02-16,1.409
2017-02-17,1.407
2017-02-18,1.686
2017-02-19,1.496
2017-02-20,2.147
2017-02-21,1.958
2017-02-22,1.675
2017-02-23,2.137
2017-02-24,1.67
2017-02-25,1.202
2017-02-26,1.382
2017-02-27,1.561
2017-02-28,2.013
2017-03-01,2.401
2017-03-02,2.117
2017-03-03,2.109
2017-03-04,2.376
2017-03-05,1.145
2017-03-06,2.033
2017-03-07,1.952
2017-03-08,2.028
2017-03-09,2.165
2017-03-10,2.14
2017-03-11,2.175
2017-03-12,2.262
2017-03-13,2.029
2017-03-14,1.866
2017-03-15,2.151
2017-03-16,1.924
2017-03-17,1.758
2017-03-18,1.553
2017-03-19,1.361
2017-03-20,1.378
2017-03-21,1.14
2017-03-22,1.216
2017-03-23,1.293
2017-03-24,1.217
2017-03-25,1.232
2017-03-26,1.354
2017-03-27,1.777
2017-03-28,2.235
2017-03-29,2.172
2017-03-30,1.923
2017-03-31,2.294
2017-04-01,2.282
2017-04-02,2.466
2017-04-03,2.896
2017-04-04,2.402
2017-04-05,2.585
2017-04-06,2.251
2017-04-07,1.262
2017-04-08,1.485
2017-04-09,2.112
2017-04-10,2.434
2017-04-11,1.545
2017-04-12,2.656
2017-04-13,1.618
2017-04-14,2.203
2017-04-15,2.283
2017-04-16,2.253
2017-04-17,1.852
2017-04-18,1.096
2017-04-19,2.059
2017-04-20,2.691
2017-04-21,2.252
2017-04-22,2.565
2017-04-23,2.479
2017-04-24,2.107
2017-04-25,2.123
2017-04-26,1.905
2017-04-27,1.921
2017-04-28,2.521
2017-04-29,2.215
2017-04-30,2.443
2017-05-01,2.592
2017-05-02,2.726
2017-05-03,2.562
2017-05-04,2.74
2017-05-05,2.489
2017-05-06,1.334
2017-05-07,1.423
2017-05-08,2.162
2017-05-09,2.21
2017-05-10,2.39
2017-05-11,2.352
2017-05-12,1.441
2017-05-13,2.407
2017-05-14,2.281
2017-05-15,1.935
2017-05-16,2.293
2017-05-17,2.342
2017-05-18,2.614
2017-05-19,2.576
2017-05-20,2.893
2017-05-21,2.677
2017-05-22,2.907
2017-05-23,3.228
2017-05-24,2.921
2017-05-25,2.658
2017-05-26,2.167
2017-05-27,2.716
2017-05-28,3.357
2017-05-29,3.547
2017-05-30,3.328
2017-05-31,2.102
2017-06-01,3.077
2017-06-02,3.402
2017-06-03,3.501
2017-06-04,3.737
2017-06-05,3.608
2017-06-06,3.708
2017-06-07,3.487
2017-06-08,3.725
2017-06-09,2.858
2017-06-10,2.818
2017-06-11,2.501
2017-06-12,2.645
2017-06-13,3.21
2017-06-14,3.543
2017-06-15,4.206
2017-06-16,3.934
2017-06-17,4.293
2017-06-18,3.906
2017-06-19,4.17
2017-06-20,4.293
2017-06-21,4.186
2017-06-22,4.033
2017-06-23,3.79
2017-06-24,3.685
2017-06-25,3.916
2017-06-26,3.785
2017-06-27,3.657
2017-06-28,3.835
2017-06-29,4.051
2017-06-30,3.75
2017-07-01,3.484
2017-07-02,3.234
2017-07-03,3.268
2017-07-04,3.173
2017-07-05,3.855
2017-07-06,3.981
2017-07-07,4.463
2017-07-08,4.105
2017-07-09,3.695
2017-07-10,3.185
2017-07-11,3.368
2017-07-12,3.556
2017-07-13,3.32
2017-07-14,3.653
2017-07-15,4.481
2017-07-16,3.652
2017-07-17,4.549
2017-07-18,4.405
2017-07-19,3.929
2017-07-20,4.2
2017-07-21,4.027
2017-07-22,3.435
2017-07-23,3.369
2017-07-24,3.213
2017-07-25,3.105
2017-07-26,2.999
2017-07-27,3.151
2017-07-28,3.514
2017-07-29,3.149
2017-07-30,2.957
2017-07-31,3.314
2017-08-01,2.904
2017-08-02,3.249
2017-08-03,2.781
2017-08-04,2.801
2017-08-05,2.7
2017-08-06,2.759
2017-08-07,2.699
2017-08-08,2.756
2017-08-09,2.735
2017-08-10,2.79
2017-08-11,2.768
2017-08-12,3.038
2017-08-13,3.321
2017-08-14,2.911
2017-08-15,2.539
2017-08-16,2.7
2017-08-17,3.067
2017-08-18,3.507
2017-08-19,3.645
2017-08-20,3.323
2017-08-21,3.168
2017-08-22,3.172
2017-08-23,3.379
2017-08-24,3.175
2017-08-25,3.372
2017-08-26,3.366
2017-08-27,3.071
2017-08-28,2.972
2017-08-29,2.643
2017-08-30,3.555
2017-08-31,3.268
2017-09-01,2.78
2017-09-02,2.303
2017-09-03,3.181
2017-09-04,2.71
2017-09-05,2.58
2017-09-06,2.404
2017-09-07,2.479
2017-09-08,2.338
2017-09-09,2.061
2017-09-10,2.309
2017-09-11,2.788
2017-09-12,2.413
2017-09-13,2.367
2017-09-14,2.128
2017-09-15,2.312
2017-09-16,2.305
2017-09-17,2.546
2017-09-18,2.845
2017-09-19,2.326
2017-09-20,2.418
2017-09-21,1.438
2017-09-22,1.855
2017-09-23,1.908
2017-09-24,1.86
2017-09-25,1.767
2017-09-26,1.494
2017-09-27,1.586
2017-09-28,1.928
2017-09-29,2.345
2017-09-30,2.373
2017-10-01,2.365
2017-10-02,2.053
2017-10-03,2.014
2017-10-04,1.969
2017-10-05,2.438
2017-10-06,2.13
2017-10-07,2.026
2017-10-08,2.684
2017-10-09,2.072
2017-10-10,2.161
2017-10-11,1.822
2017-10-12,2.043
2017-10-13,1.764
2017-10-14,1.369
2017-10-15,0.956
2017-10-16,1.206
2017-10-17,1.53
2017-10-18,2.311
2017-10-19,2.259
2017-10-20,1.48
2017-10-21,1.611
2017-10-22,1.876
2017-10-23,1.616
2017-10-24,1.42
2017-10-25,1.612
2017-10-26,1.869
2017-10-27,2.124
2017-10-28,1.8
2017-10-29,1.863
2017-10-30,1.669
2017-10-31,1.282
2017-11-01,1.17
2017-11-02,1.429
2017-11-03,1.492
2017-11-04,0.972
2017-11-05,0.971
2017-11-06,1.229
2017-11-07,1.163
2017-11-08,1.767
2017-11-09,1.459
2017-11-10,1.477
2017-11-11,1.496
2017-11-12,1.446
2017-11-13,1.464
2017-11-14,1.481
2017-11-15,1.356
2017-11-16,1.661
2017-11-17,0.585
2017-11-18,1.109
2017-11-19,0.972
2017-11-20,1.134
2017-11-21,1.147
2017-11-22,1.005
2017-11-23,1.407
2017-11-24,1.242
2017-11-25,1.388
2017-11-26,2.221
2017-11-27,0.837
2017-11-28,1.133
2017-11-29,1.125
2017-11-30,0.894
2017-12-01,0.866
2017-12-02,0.873
2017-12-03,1.918
