time,eto
2016-01-01,1.244
2016-01-02,1.327
2016-01-03,1.493
2016-01-04,0.747
2016-01-05,0.913
2016-01-06,0.996
2016-01-07,0.913
2016-01-08,0.581
2016-01-09,1.078
2016-01-10,0.747
2016-01-11,0.913
2016-01-12,0.996
2016-01-13,1.327
2016-01-14,0.83
2016-01-15,0.83
2016-01-16,0.83
2016-01-17,1.244
2016-01-18,0.83
2016-01-19,0.664
2016-01-20,0.83
2016-01-21,0.996
2016-01-22,1.244
2016-01-23,0.83
2016-01-24,0.913
2016-01-25,1.078
2016-01-26,1.161
2016-01-27,1.078
2016-01-28,1.161
2016-01-29,0.996
2016-01-30,0.498
2016-01-31,0.332
2016-02-01,3.658
2016-02-02,1.361
2016-02-03,1.702
2016-02-04,1.446
2016-02-05,1.787
2016-02-06,1.616
2016-02-07,2.127
2016-02-08,1.957
2016-02-09,2.127
2016-02-10,1.616
2016-02-11,1.276
2016-02-12,1.361
2016-02-13,1.702
2016-02-14,1.957
2016-02-15,2.212
2016-02-16,1.446
2016-02-17,1.191
2016-02-18,2.212
2016-02-19,1.872
2016-02-20,2.467
2016-02-21,2.467
2016-02-22,1.702
2016-02-23,1.361
2016-02-24,1.531
2016-02-25,1.531
2016-02-26,1.787
2016-02-27,1.702
2016-02-28,1.616
2016-02-29,1.616
2016-03-01,2.5
2016-03-02,2.411
2016-03-03,2.232
2016-03-04,2.5
2016-03-05,1.607
2016-03-06,2.411
2016-03-07,1.964
2016-03-08,1.875
2016-03-09,1.964
2016-03-10,2.947
2016-03-11,1.696
2016-03-12,1.786
2016-03-13,1.518
2016-03-14,2.054
2016-03-15,2.589
2016-03-16,2.857
2016-03-17,2.947
2016-03-18,3.036
2016-03-19,2.947
2016-03-20,2.947
2016-03-21,2.589
2016-03-22,3.214
2016-03-23,2.947
2016-03-24,3.214
2016-03-25,3.393
2016-03-26,3.393
2016-03-27,3.482
2016-03-28,2.857
2016-03-29,3.214
2016-03-30,3.304
2016-03-31,3.393
2016-04-01,3.638
2016-04-02,3.82
2016-04-03,3.729
2016-04-04,4.183
2016-04-05,4.274
2016-04-06,4.092
2016-04-07,4.274
2016-04-08,2.91
2016-04-09,2.092
2016-04-10,2.001
2016-04-11,2.91
2016-04-12,3.729
2016-04-13,3.183
2016-04-14,4.183
2016-04-15,4.002
2016-04-16,4.092
2016-04-17,4.638
2016-04-18,4.729
2016-04-19,4.365
2016-04-20,4.183
2016-04-21,4.911
2016-04-22,4.183
2016-04-23,4.274
2016-04-24,3.82
2016-04-25,3.638
2016-04-26,4.183
2016-04-27,4.638
2016-04-28,3.183
2016-04-29,4.638
2016-04-30,4.911
2016-05-01,4.483
2016-05-02,5.01
2016-05-03,5.186
2016-05-04,5.098
2016-05-05,3.868
2016-05-06,3.428
2016-05-07,2.461
2016-05-08,2.725
2016-05-09,4.043
2016-05-10,4.922
2016-05-11,5.274
2016-05-12,5.801
2016-05-13,5.801
2016-05-14,5.274
2016-05-15,5.186
2016-05-16,5.713
2016-05-17,6.065
2016-05-18,6.329
2016-05-19,5.977
2016-05-20,5.01
2016-05-21,4.659
2016-05-22,4.922
2016-05-23,5.098
2016-05-24,4.659
2016-05-25,4.834
2016-05-26,5.538
2016-05-27,5.977
2016-05-28,6.241
2016-05-29,6.768
2016-05-30,6.768
2016-05-31,6.944
2016-06-01,6.89
2016-06-02,6.802
2016-06-03,6.89
2016-06-04,6.272
2016-06-05,7.244
2016-06-06,7.155
2016-06-07,7.42
2016-06-08,7.067
2016-06-09,5.918
2016-06-10,5.918
2016-06-11,5.212
2016-06-12,5.83
2016-06-13,6.272
2016-06-14,6.36
2016-06-15,5.653
2016-06-16,5.212
2016-06-17,5.035
2016-06-18,5.388
2016-06-19,5.565
2016-06-20,6.448
2016-06-21,7.774
2016-06-22,8.215
2016-06-23,8.392
2016-06-24,7.685
2016-06-25,7.332
2016-06-26,7.774
2016-06-27,7.774
2016-06-28,6.979
2016-06-29,7.597
2016-06-30,6.095
2016-07-01,6.052
2016-07-02,6.23
2016-07-03,6.23
2016-07-04,6.586
2016-07-05,6.853
2016-07-06,6.675
2016-07-07,6.408
2016-07-08,6.497
2016-07-09,6.586
2016-07-10,6.23
2016-07-11,6.497
2016-07-12,7.031
2016-07-13,6.586
2016-07-14,6.408
2016-07-15,6.497
2016-07-16,6.675
2016-07-17,6.497
2016-07-18,5.518
2016-07-19,5.429
2016-07-20,5.518
2016-07-21,6.23
2016-07-22,7.476
2016-07-23,7.743
2016-07-24,6.408
2016-07-25,6.23
2016-07-26,6.408
2016-07-27,6.586
2016-07-28,7.12
2016-07-29,6.052
2016-07-30,7.387
2016-07-31,7.12
2016-08-01,6.635
2016-08-02,6.461
2016-08-03,7.072
2016-08-04,6.461
2016-08-05,5.238
2016-08-06,5.675
2016-08-07,6.024
2016-08-08,6.112
2016-08-09,6.286
2016-08-10,6.024
2016-08-11,5.5
2016-08-12,5.413
2016-08-13,6.024
2016-08-14,6.112
2016-08-15,5.675
2016-08-16,5.064
2016-08-17,4.54
2016-08-18,5.85
2016-08-19,5.937
2016-08-20,5.937
2016-08-21,5.675
2016-08-22,5.326
2016-08-23,5.762
2016-08-24,6.286
2016-08-25,6.112
2016-08-26,5.326
2016-08-27,4.977
2016-08-28,4.889
2016-08-29,5.675
2016-08-30,5.5
2016-08-31,4.802
2016-09-01,4.741
2016-09-02,5.0
2016-09-03,5.0
2016-09-04,5.086
2016-09-05,4.741
2016-09-06,5.172
2016-09-07,4.655
2016-09-08,5.172
2016-09-09,4.914
2016-09-10,4.741
2016-09-11,5.172
2016-09-12,4.914
2016-09-13,3.362
2016-09-14,3.621
2016-09-15,4.224
2016-09-16,4.741
2016-09-17,5.0
2016-09-18,4.397
2016-09-19,6.552
2016-09-20,4.397
2016-09-21,4.569
2016-09-22,4.569
2016-09-23,3.965
2016-09-24,3.621
2016-09-25,3.793
2016-09-26,4.224
2016-09-27,4.31
2016-09-28,4.655
2016-09-29,4.569
2016-09-30,4.31
2016-10-01,3.581
2016-10-02,3.998
2016-10-03,3.248
2016-10-04,3.248
2016-10-05,3.248
2016-10-06,3.248
2016-10-07,3.082
2016-10-08,3.165
2016-10-09,3.581
2016-10-10,3.581
2016-10-11,2.998
2016-10-12,2.832
2016-10-13,2.582
2016-10-14,2.415
2016-10-15,2.249
2016-10-16,2.082
2016-10-17,2.165
2016-10-18,2.832
2016-10-19,2.415
2016-10-20,2.415
2016-10-21,2.748
2016-10-22,2.582
2016-10-23,3.665
2016-10-24,1.582
2016-10-25,2.165
2016-10-26,2.165
2016-10-27,2.748
2016-10-28,1.166
2016-10-29,1.916
2016-10-30,0.916
2016-10-31,1.666
2016-11-01,1.779
2016-11-02,1.698
2016-11-03,1.698
2016-11-04,1.698
2016-11-05,1.698
2016-11-06,1.698
2016-11-07,1.617
2016-11-08,1.456
2016-11-09,1.698
2016-11-10,1.617
2016-11-11,2.022
2016-11-12,1.779
2016-11-13,1.375
2016-11-14,1.294
2016-11-15,1.698
2016-11-16,1.698
2016-11-17,1.456
2016-11-18,2.022
2016-11-19,1.941
2016-11-20,1.213
2016-11-21,0.809
2016-11-22,0.97
2016-11-23,1.375
2016-11-24,1.132
2016-11-25,1.536
2016-11-26,1.375
2016-11-27,0.89
2016-11-28,0.89
2016-11-29,0.728
2016-11-30,0.89
2016-12-01,0.999
2016-12-02,0.999
2016-12-03,0.916
2016-12-04,1.249
2016-12-05,1.166
2016-12-06,0.833
2016-12-07,0.916
2016-12-08,1.083
2016-12-09,1.166
2016-12-10,0.916
2016-12-11,0.75
2016-12-12,0.75
2016-12-13,0.916
2016-12-14,1.332
2016-12-15,0.75
2016-12-16,0.333
2016-12-17,0.833
2016-12-18,0.75
2016-12-19,0.75
2016-12-20,0.999
2016-12-21,0.916
2016-12-22,0.833
2016-12-23,0.999
2016-12-24,0.583
2016-12-25,0.833
2016-12-26,0.75
2016-12-27,0.75
2016-12-28,0.833
2016-12-29,1.083
2016-12-30,0.666
2016-12-31,0.25
2017-01-01,0.581
2017-01-02,0.664
2017-01-03,1.161
2017-01-04,0.913
2017-01-05,0.415
2017-01-06,0.747
2017-01-07,1.161
2017-01-08,1.742
2017-01-09,0.996
2017-01-10,1.078
2017-01-11,1.41
2017-01-12,0.664
2017-01-13,0.747
2017-01-14,0.747
2017-01-15,0.747
2017-01-16,0.664
2017-01-17,0.996
2017-01-18,1.244
2017-01-19,1.161
2017-01-20,0.664
2017-01-21,1.078
2017-01-22,1.41
2017-01-23,0.83
2017-01-24,0.996
2017-01-25,0.913
2017-01-26,0.996
2017-01-27,1.078
2017-01-28,1.327
2017-01-29,1.244
2017-01-30,1.327
2017-01-31,1.327
2017-02-01,1.702
2017-02-02,1.446
2017-02-03,1.446
2017-02-04,1.106
2017-02-05,1.276
2017-02-06,1.191
2017-02-07,1.531
2017-02-08,1.361
2017-02-09,1.446
2017-02-10,0.766
2017-02-11,0.936
2017-02-12,1.361
2017-02-13,1.446
2017-02-14,1.531
2017-02-15,2.212
2017-02-16,1.276
2017-02-17,1.191
2017-02-18,1.616
2017-02-19,1.276
2017-02-20,1.702
2017-02-21,2.042
2017-02-22,1.702
2017-02-23,1.872
2017-02-24,1.616
2017-02-25,1.191
2017-02-26,1.276
2017-02-27,1.446
2017-02-28,2.042
2017-03-01,2.232
2017-03-02,2.232
2017-03-03,2.411
2017-03-04,2.5
2017-03-05,1.339
2017-03-06,2.232
2017-03-07,2.143
2017-03-08,2.411
2017-03-09,2.5
2017-03-10,2.411
2017-03-11,2.768
2017-03-12,2.947
2017-03-13,2.857
2017-03-14,3.214
2017-03-15,3.75
2017-03-16,2.947
2017-03-17,2.947
2017-03-18,3.304
2017-03-19,2.857
2017-03-20,3.125
2017-03-21,2.5
2017-03-22,2.143
2017-03-23,2.5
2017-03-24,1.964
2017-03-25,1.875
2017-03-26,2.054
2017-03-27,2.5
2017-03-28,3.125
2017-03-29,3.304
2017-03-30,2.768
2017-03-31,3.393
2017-04-01,3.456
2017-04-02,3.729
2017-04-03,4.183
2017-04-04,3.729
2017-04-05,4.365
2017-04-06,3.729
2017-04-07,1.728
2017-04-08,2.274
2017-04-09,3.183
2017-04-10,3.638
2017-04-11,2.546
2017-04-12,4.365
2017-04-13,2.546
2017-04-14,3.547
2017-04-15,3.638
2017-04-16,3.729
2017-04-17,3.183
2017-04-18,1.819
2017-04-19,3.729
2017-04-20,4.547
2017-04-21,4.002
2017-04-22,4.456
2017-04-23,4.729
2017-04-24,4.092
2017-04-25,4.365
2017-04-26,3.456
2017-04-27,4.365
2017-04-28,5.184
2017-04-29,4.547
2017-04-30,5.093
2017-05-01,5.186
2017-05-02,5.274
2017-05-03,5.274
2017-05-04,5.626
2017-05-05,4.747
2017-05-06,2.461
2017-05-07,2.813
2017-05-08,4.043
2017-05-09,4.659
2017-05-10,4.747
2017-05-11,4.571
2017-05-12,2.901
2017-05-13,4.659
2017-05-14,4.395
2017-05-15,4.043
2017-05-16,4.483
2017-05-17,4.659
2017-05-18,5.098
2017-05-19,5.538
2017-05-20,5.889
2017-05-21,5.626
2017-05-22,5.801
2017-05-23,5.889
2017-05-24,5.713
2017-05-25,5.274
2017-05-26,4.395
2017-05-27,5.186
2017-05-28,6.065
2017-05-29,6.329
2017-05-30,6.153
2017-05-31,4.043
2017-06-01,5.83
2017-06-02,6.183
2017-06-03,5.83
2017-06-04,6.448
2017-06-05,6.272
2017-06-06,6.007
2017-06-07,5.918
2017-06-08,6.625
2017-06-09,5.3
2017-06-10,5.3
2017-06-11,4.858
2017-06-12,5.123
2017-06-13,6.095
2017-06-14,6.537
2017-06-15,7.155
2017-06-16,6.89
2017-06-17,7.332
2017-06-18,6.89
2017-06-19,7.42
2017-06-20,7.597
2017-06-21,7.509
2017-06-22,7.155
2017-06-23,6.802
2017-06-24,6.537
2017-06-25,6.802
2017-06-26,7.067
2017-06-27,6.802
2017-06-28,7.509
2017-06-29,7.95
2017-06-30,7.332
2017-07-01,6.408
2017-07-02,6.23
2017-07-03,6.497
2017-07-04,6.497
2017-07-05,7.031
2017-07-06,7.921
2017-07-07,8.722
2017-07-08,7.565
2017-07-09,7.12
2017-07-10,6.586
2017-07-11,6.319
2017-07-12,6.942
2017-07-13,6.586
2017-07-14,6.23
2017-07-15,7.298
2017-07-16,6.764
2017-07-17,8.01
2017-07-18,7.565
2017-07-19,6.319
2017-07-20,7.209
2017-07-21,7.12
2017-07-22,5.874
2017-07-23,6.319
2017-07-24,6.586
2017-07-25,6.319
2017-07-26,6.141
2017-07-27,6.141
2017-07-28,6.853
2017-07-29,6.319
2017-07-30,5.963
2017-07-31,6.497
2017-08-01,6.112
2017-08-02,7.072
2017-08-03,5.937
2017-08-04,5.762
2017-08-05,6.286
2017-08-06,6.112
2017-08-07,5.937
2017-08-08,5.85
2017-08-09,6.286
2017-08-10,6.199
2017-08-11,6.373
2017-08-12,6.461
2017-08-13,6.723
2017-08-14,5.85
2017-08-15,4.977
2017-08-16,4.802
2017-08-17,5.413
2017-08-18,5.5
2017-08-19,5.762
2017-08-20,5.326
2017-08-21,4.715
2017-08-22,4.889
2017-08-23,5.5
2017-08-24,5.413
2017-08-25,5.588
2017-08-26,6.985
2017-08-27,5.064
2017-08-28,5.238
2017-08-29,4.977
2017-08-30,6.199
2017-08-31,5.675
2017-09-01,6.638
2017-09-02,5.948
2017-09-03,7.327
2017-09-04,5.345
2017-09-05,5.172
2017-09-06,4.741
2017-09-07,4.569
2017-09-08,4.397
2017-09-09,4.397
2017-09-10,5.0
2017-09-11,5.431
2017-09-12,4.569
2017-09-13,4.224
2017-09-14,4.138
2017-09-15,4.397
2017-09-16,3.707
2017-09-17,4.31
2017-09-18,4.655
2017-09-19,4.138
2017-09-20,4.138
2017-09-21,2.845
2017-09-22,3.448
2017-09-23,3.621
2017-09-24,3.879
2017-09-25,3.793
2017-09-26,3.621
2017-09-27,4.052
2017-09-28,4.397
2017-09-29,4.569
2017-09-30,4.224
2017-10-01,4.248
2017-10-02,3.748
2017-10-03,3.831
2017-10-04,3.415
2017-10-05,3.831
2017-10-06,3.082
2017-10-07,3.082
2017-10-08,4.414
2017-10-09,3.831
2017-10-10,3.998
2017-10-11,3.331
2017-10-12,3.498
2017-10-13,3.581
2017-10-14,2.748
2017-10-15,2.832
2017-10-16,2.748
2017-10-17,2.748
2017-10-18,3.331
2017-10-19,3.165
2017-10-20,2.165
2017-10-21,2.332
2017-10-22,2.582
2017-10-23,2.249
2017-10-24,2.582
2017-10-25,2.665
2017-10-26,2.582
2017-10-27,2.415
2017-10-28,2.165
2017-10-29,2.415
2017-10-30,2.165
2017-10-31,1.666
2017-11-01,1.617
2017-11-02,1.86
2017-11-03,2.102
2017-11-04,1.536
2017-11-05,1.213
2017-11-06,1.617
2017-11-07,1.456
2017-11-08,2.669
2017-11-09,1.941
2017-11-10,2.022
2017-11-11,1.456
2017-11-12,1.456
2017-11-13,1.698
2017-11-14,1.86
2017-11-15,1.456
2017-11-16,2.102
2017-11-17,0.728
2017-11-18,1.132
2017-11-19,1.051
2017-11-20,1.132
2017-11-21,1.456
2017-11-22,1.617
2017-11-23,1.698
2017-11-24,1.456
2017-11-25,1.779
2017-11-26,2.507
2017-11-27,1.213
2017-11-28,1.132
2017-11-29,1.051
2017-11-30,0.89
2017-12-01,0.75
2017-12-02,1.332
2017-12-03,1.666
2017-12-04,0.916
2017-12-05,1.166
2017-12-06,1.249
2017-12-07,1.332
2017-12-08,1.249
2017-12-09,1.249
2017-12-10,1.166
2017-12-11,1.083
2017-12-12,0.916
2017-12-13,0.999
2017-12-14,1.249
2017-12-15,1.749
2017-12-16,1.749
2017-12-17,1.249
2017-12-18,1.499
2017-12-19,1.332
2017-12-20,1.499
2017-12-21,0.916
2017-12-22,1.166
2017-12-23,0.916
2017-12-24,1.166
2017-12-25,1.166
2017-12-26,1.249
2017-12-27,1.332
2017-12-28,0.916
2017-12-29,0.833
2017-12-30,0.999
2017-12-31,0.916
2018-01-01,0.996
2018-01-02,1.327
2018-01-03,2.074
2018-01-04,1.493
2018-01-05,1.078
2018-01-06,0.664
2018-01-07,1.161
2018-01-08,0.996
2018-01-09,1.078
2018-01-10,1.078
2018-01-11,0.996
2018-01-12,1.078
2018-01-13,0.913
2018-01-14,0.996
2018-01-15,0.913
2018-01-16,0.996
2018-01-17,0.996
2018-01-18,1.244
2018-01-19,0.498
2018-01-20,0.996
2018-01-21,1.078
2018-01-22,1.161
2018-01-23,1.244
2018-01-24,2.074
2018-01-25,1.161
2018-01-26,1.244
2018-01-27,1.41
2018-01-28,1.244
2018-01-29,1.41
2018-01-30,1.41
2018-01-31,1.41
2018-02-01,1.361
2018-02-02,1.531
2018-02-03,1.616
2018-02-04,1.616
2018-02-05,1.787
2018-02-06,1.702
2018-02-07,2.212
2018-02-08,1.957
2018-02-09,2.212
2018-02-10,2.467
2018-02-11,2.127
2018-02-12,1.702
2018-02-13,2.127
2018-02-14,1.872
2018-02-15,2.212
2018-02-16,1.957
2018-02-17,1.957
2018-02-18,3.063
2018-02-19,1.957
2018-02-20,1.872
2018-02-21,1.957
2018-02-22,2.127
2018-02-23,1.957
2018-02-24,2.042
2018-02-25,2.042
2018-02-26,1.616
2018-02-27,1.021
2018-02-28,1.702
2018-03-01,1.786
2018-03-02,1.964
2018-03-03,1.25
2018-03-04,1.875
2018-03-05,2.322
2018-03-06,2.857
2018-03-07,2.5
2018-03-08,2.5
2018-03-09,2.768
2018-03-10,1.607
2018-03-11,1.964
2018-03-12,2.768
2018-03-13,2.322
2018-03-14,1.875
2018-03-15,2.411
2018-03-16,1.786
2018-03-17,1.875
2018-03-18,2.143
2018-03-19,2.768
2018-03-20,2.411
2018-03-21,1.518
2018-03-22,1.161
2018-03-23,2.232
2018-03-24,2.411
2018-03-25,2.589
2018-03-26,2.857
2018-03-27,2.857
2018-03-28,3.036
2018-03-29,3.572
2018-03-30,3.75
2018-03-31,4.018
2018-04-01,4.092
2018-04-02,4.092
2018-04-03,3.82
2018-04-04,3.729
2018-04-05,4.092
2018-04-06,2.001
2018-04-07,1.819
2018-04-08,3.638
2018-04-09,3.911
2018-04-10,4.638
2018-04-11,3.82
2018-04-12,4.002
2018-04-13,3.82
2018-04-14,4.002
2018-04-15,4.092
2018-04-16,2.728
2018-04-17,3.274
2018-04-18,3.547
2018-04-19,4.274
2018-04-20,4.274
2018-04-21,4.456
2018-04-22,4.638
2018-04-23,4.547
2018-04-24,4.82
2018-04-25,4.729
2018-04-26,4.547
2018-04-27,5.002
2018-04-28,4.82
2018-04-29,4.456
2018-04-30,3.729
2018-05-01,3.164
2018-05-02,4.571
2018-05-03,5.098
2018-05-04,5.45
2018-05-05,5.186
2018-05-06,5.274
2018-05-07,6.329
2018-05-08,6.417
2018-05-09,5.889
2018-05-10,5.801
2018-05-11,6.153
2018-05-12,5.45
2018-05-13,5.45
2018-05-14,5.186
2018-05-15,5.098
2018-05-16,4.747
2018-05-17,5.45
2018-05-18,5.713
2018-05-19,5.889
2018-05-20,5.538
2018-05-21,4.922
2018-05-22,5.274
2018-05-23,5.362
2018-05-24,5.362
2018-05-25,3.34
2018-05-26,5.274
2018-05-27,5.538
2018-05-28,6.241
2018-05-29,6.241
2018-05-30,6.329
2018-05-31,5.362
2018-06-01,5.918
2018-06-02,6.36
2018-06-03,6.537
2018-06-04,7.774
2018-06-05,6.537
2018-06-06,6.272
2018-06-07,6.183
2018-06-08,7.155
2018-06-09,6.713
2018-06-10,6.183
2018-06-11,6.36
2018-06-12,6.802
2018-06-13,6.89
2018-06-14,6.979
2018-06-15,6.979
2018-06-16,6.537
2018-06-17,4.947
2018-06-18,6.095
2018-06-19,7.067
2018-06-20,7.244
2018-06-21,7.332
2018-06-22,7.509
2018-06-23,8.039
2018-06-24,7.244
2018-06-25,6.625
2018-06-26,6.802
2018-06-27,7.685
2018-06-28,6.89
2018-06-29,7.332
2018-06-30,6.802
2018-07-01,7.12
2018-07-02,7.031
2018-07-03,6.853
2018-07-04,6.586
2018-07-05,5.785
2018-07-06,7.832
2018-07-07,7.565
2018-07-08,8.811
2018-07-09,8.455
2018-07-10,7.921
2018-07-11,6.052
2018-07-12,6.319
2018-07-13,6.23
2018-07-14,6.853
2018-07-15,7.12
2018-07-16,6.942
2018-07-17,7.209
2018-07-18,6.675
2018-07-19,6.942
2018-07-20,7.209
2018-07-21,6.408
2018-07-22,6.586
2018-07-23,6.675
2018-07-24,7.921
2018-07-25,8.01
2018-07-26,7.921
2018-07-27,7.654
2018-07-28,7.476
2018-07-29,7.298
2018-07-30,6.675
2018-07-31,6.586
2018-08-01,7.072
2018-08-02,7.508
2018-08-03,7.159
2018-08-04,8.207
2018-08-05,7.159
2018-08-06,7.508
2018-08-07,6.723
2018-08-08,6.461
2018-08-09,6.112
2018-08-10,6.985
2018-08-11,6.286
2018-08-12,6.286
2018-08-13,6.373
2018-08-14,6.024
2018-08-15,6.199
2018-08-16,6.024
2018-08-17,6.548
2018-08-18,7.072
2018-08-19,6.286
2018-08-20,6.286
2018-08-21,5.762
2018-08-22,5.5
2018-08-23,5.238
2018-08-24,5.064
2018-08-25,4.715
2018-08-26,5.5
2018-08-27,5.326
2018-08-28,4.453
2018-08-29,4.54
2018-08-30,4.54
2018-08-31,5.675
2018-09-01,5.69
2018-09-02,5.431
2018-09-03,5.517
2018-09-04,5.086
2018-09-05,5.603
2018-09-06,5.776
2018-09-07,5.603
2018-09-08,5.603
2018-09-09,5.431
2018-09-10,5.603
2018-09-11,6.034
2018-09-12,5.776
2018-09-13,3.879
2018-09-14,3.017
2018-09-15,4.483
2018-09-16,4.138
2018-09-17,3.879
2018-09-18,4.397
2018-09-19,4.828
2018-09-20,3.965
2018-09-21,4.052
2018-09-22,3.448
2018-09-23,4.397
2018-09-24,3.965
2018-09-25,4.224
2018-09-26,4.569
2018-09-27,4.224
2018-09-28,4.397
2018-09-29,3.879
2018-09-30,3.534
2018-10-01,3.665
2018-10-02,3.748
2018-10-03,2.499
2018-10-04,2.165
2018-10-05,3.165
2018-10-06,3.831
2018-10-07,3.581
2018-10-08,2.582
2018-10-09,3.415
2018-10-10,2.998
2018-10-11,2.499
2018-10-12,3.082
2018-10-13,3.331
2018-10-14,2.915
2018-10-15,2.748
2018-10-16,2.249
2018-10-17,2.582
2018-10-18,2.582
2018-10-19,2.748
2018-10-20,2.748
2018-10-21,3.498
2018-10-22,3.248
2018-10-23,2.998
2018-10-24,2.499
2018-10-25,2.665
2018-10-26,2.249
2018-10-27,2.082
2018-10-28,2.832
2018-10-29,2.499
2018-10-30,2.748
2018-10-31,2.165
2018-11-01,1.779
2018-11-02,2.426
2018-11-03,2.102
2018-11-04,2.264
2018-11-05,2.669
2018-11-06,2.345
2018-11-07,2.264
2018-11-08,1.779
2018-11-09,1.779
2018-11-10,1.536
2018-11-11,1.617
2018-11-12,1.941
2018-11-13,1.779
2018-11-14,1.294
2018-11-15,1.617
2018-11-16,1.294
2018-11-17,1.294
2018-11-18,1.213
2018-11-19,1.698
2018-11-20,1.617
2018-11-21,1.536
2018-11-22,1.051
2018-11-23,0.89
2018-11-24,0.809
2018-11-25,0.97
2018-11-26,0.97
2018-11-27,1.294
2018-11-28,0.485
2018-11-29,0.89
2018-11-30,0.728
2018-12-01,0.75
2018-12-02,0.916
2018-12-03,1.249
2018-12-04,1.332
2018-12-05,0.999
2018-12-06,0.5
2018-12-07,0.666
2018-12-08,0.75
2018-12-09,0.916
2018-12-10,0.916
2018-12-11,1.166
2018-12-12,0.916
2018-12-13,1.582
2018-12-14,1.249
2018-12-15,1.332
2018-12-16,1.416
2018-12-17,0.75
2018-12-18,0.916
2018-12-19,0.999
2018-12-20,1.166
2018-12-21,0.833
2018-12-22,0.916
2018-12-23,1.083
2018-12-24,0.999
2018-12-25,0.833
2018-12-26,0.833
2018-12-27,1.083
2018-12-28,0.916
2018-12-29,0.833
2018-12-30,0.833
2018-12-31,0.75
2019-01-01,0.747
2019-01-02,0.996
2019-01-03,1.244
2019-01-04,1.742
2019-01-05,1.41
2019-01-06,1.078
2019-01-07,1.493
2019-01-08,1.327
2019-01-09,0.747
2019-01-10,0.83
2019-01-11,1.41
2019-01-12,1.161
2019-01-13,1.161
2019-01-14,0.996
2019-01-15,1.41
2019-01-16,1.659
2019-01-17,0.996
2019-01-18,1.078
2019-01-19,0.996
2019-01-20,1.078
2019-01-21,1.078
2019-01-22,1.078
2019-01-23,1.161
2019-01-24,1.244
2019-01-25,1.327
2019-01-26,1.576
2019-01-27,1.41
2019-01-28,1.161
2019-01-29,1.244
2019-01-30,1.493
2019-01-31,1.161
2019-02-01,1.446
2019-02-02,1.616
2019-02-03,1.702
2019-02-04,1.446
2019-02-05,1.361
2019-02-06,1.276
2019-02-07,1.531
2019-02-08,1.616
2019-02-09,1.446
2019-02-10,1.021
2019-02-11,1.361
2019-02-12,1.872
2019-02-13,2.552
2019-02-14,2.212
2019-02-15,1.361
2019-02-16,1.106
2019-02-17,1.191
2019-02-18,1.872
2019-02-19,1.276
2019-02-20,1.276
2019-02-21,1.446
2019-02-22,1.702
2019-02-23,1.616
2019-02-24,1.616
2019-02-25,2.297
2019-02-26,2.382
2019-02-27,2.042
2019-02-28,1.872
2019-03-01,1.786
2019-03-02,1.964
2019-03-03,1.607
2019-03-04,1.786
2019-03-05,1.25
2019-03-06,2.232
2019-03-07,1.875
2019-03-08,1.696
2019-03-09,1.875
2019-03-10,2.143
2019-03-11,2.589
2019-03-12,2.5
2019-03-13,2.857
2019-03-14,2.768
2019-03-15,2.947
2019-03-16,3.036
2019-03-17,3.393
2019-03-18,3.661
2019-03-19,3.393
2019-03-20,2.143
2019-03-21,1.964
2019-03-22,2.054
2019-03-23,1.607
2019-03-24,2.857
2019-03-25,3.482
2019-03-26,3.036
2019-03-27,2.5
2019-03-28,3.125
2019-03-29,3.304
2019-03-30,3.393
