field_id,mae,rmse,corr,bias,skill_score
CA_173176,4.333333333333333,7.371114795831994,0.9814565692496113,1.5,0.9551825862809681
CA_17368,4.166666666666667,7.626707459098367,0.8818988283207985,1.1666666666666667,0.7705708337898542
CA_174086,5.0,8.573214099741124,0.8867015633598246,-1.0,0.7760284408329101
CA_174849,5.583333333333333,8.568352622684635,0.9849622363729806,-1.4166666666666667,0.9675244288667647
CA_176041,7.75,13.194064322009854,0.8941343613063854,2.4166666666666665,0.7868149811205225
CA_176246,5.583333333333333,9.482439911049617,0.9534452036777123,-3.5833333333333335,0.8319859858560955
CA_176261,5.083333333333333,8.241156876717412,0.9412732033175757,0.25,0.8853673402409864
CA_17644,4.083333333333333,6.800735254367722,0.9403426344842442,3.4166666666666665,0.8425531914893617
CA_177425,6.0,9.780933834080807,0.9584833807684545,0.0,0.9023885609823498
CA_177775,3.8333333333333335,6.928203230275509,0.9404834317942179,-2.0,0.8500650759219089
CA_178248,7.5,11.224972160321824,0.813780844191129,-1.0,0.6113110539845759
CA_178552,4.666666666666667,7.404953297174354,0.980330876525676,3.1666666666666665,0.9524540708492151
CA_178583,4.583333333333333,8.51958527942137,0.969190688548315,4.583333333333333,0.9130398608904013
CA_179090,3.4166666666666665,5.909032633745278,0.9656363128295143,1.25,0.9294810659186535
CA_179935,5.25,8.5,0.9201147704309471,2.0833333333333335,0.8275313308136065
CA_180087,7.333333333333333,11.839200423452027,0.9477739004868853,-0.6666666666666666,0.8950215324442965
CA_180321,5.416666666666667,8.450838222724812,0.9634766395027784,2.5833333333333335,0.9145882646069515
CA_180684,3.25,5.9651767227244274,0.9820745062805719,-1.0833333333333333,0.9621465086729115
CA_180936,4.0,6.3508529610858835,0.9798198978978483,1.6666666666666667,0.9568713938826884
CA_181084,2.0,3.696845502136472,0.9944474261469176,0.16666666666666666,0.9880761960157045
CA_18177,5.833333333333333,10.107752800037536,0.9369130873972293,5.5,0.8347634664630037
CA_181926,4.416666666666667,6.563789555838405,0.9575329828569983,1.0833333333333333,0.9120798140694972
CA_182086,7.5,11.172883841396246,0.9710087952836959,7.5,0.8904323339205061
CA_183602,4.166666666666667,8.573214099741124,0.9847132937240404,1.1666666666666667,0.9685059051427858
