field_id,crop,mae,rmse,corr,bias,skill_score
CA_342669,36,1.6,1.71,0.36,-1.6,-0.5
CA_342781,176,1.26,1.34,0.68,-1.26,0.72
CA_343221,47,2.5,2.85,0.12,2.39,-3.12
CA_343274,47,0.82,1.02,0.5,0.64,0.81
CA_343648,36,0.92,1.1,-0.47,-0.39,0.37
CA_343666,47,1.18,1.36,-0.56,1.06,0.31
CA_343782,61,0.64,0.82,-0.07,-0.05,-0.36
CA_343914,47,0.64,0.74,0.04,-0.49,0.85
CA_34492,241,2.54,2.9,-0.76,2.5,-4.68
CA_344925,152,0.37,0.43,-0.32,-0.07,0.96
CA_344981,176,0.76,0.89,0.03,0.09,0.75
CA_346051,176,0.63,0.84,-0.09,-0.13,-0.3
CA_37042,36,2.02,2.5,0.91,2.02,-0.93
CA_40117,176,1.15,1.35,0.41,1.15,-1.38
CA_40791,36,1.62,1.87,-0.62,0.24,0.27
CA_43699,47,1.1,1.47,-0.31,-1.1,0.73
CA_44219,75,0.75,0.87,-0.1,0.57,0.87
CA_45990,75,2.74,2.77,-0.19,-2.74,-2.36
CA_46605,75,0.66,0.94,-0.02,0.6,0.86
CA_47884,75,0.83,0.93,-0.1,-0.13,0.76
CA_48511,75,1.32,1.63,-0.31,1.13,0.44
CA_48799,75,1.04,1.17,0.28,1.0,0.82
CA_49268,75,1.42,1.58,0.11,1.42,0.61
CA_49460,75,0.63,0.75,0.06,-0.09,0.28
CA_50200,75,1.38,1.51,0.27,1.35,0.77
CA_50989,47,0.87,1.01,0.39,0.81,0.63
CA_51152,61,1.07,1.21,0.33,1.04,0.75
CA_51452,36,1.47,1.62,-0.86,0.43,-0.64
CA_52501,75,1.26,1.41,0.44,1.26,0.76
CA_5256,47,0.68,0.82,-0.0,-0.5,0.29
CA_53071,241,2.17,2.24,0.04,-2.17,-0.82
CA_53305,47,0.82,1.05,0.4,0.79,-0.43
CA_54305,241,3.91,4.1,0.65,3.91,-1.02
CA_54616,47,1.9,2.0,0.4,1.9,0.6
CA_54688,241,1.23,1.56,0.07,1.15,-0.22
CA_54790,241,1.08,1.34,0.18,0.82,0.16
CA_55252,61,1.08,1.19,-0.09,1.08,-7.56
CA_55369,36,1.22,1.41,0.62,1.22,-0.07
CA_57810,61,0.33,0.38,0.27,0.27,0.94
CA_5907,47,0.37,0.44,-0.18,-0.27,0.8
CA_59450,211,1.02,1.16,-0.22,0.79,-0.27
CA_60903,75,1.25,1.42,0.16,1.23,0.75
CA_60928,69,0.74,0.81,0.52,0.53,0.77
CA_62356,75,1.29,1.44,0.05,1.27,0.74
CA_63548,69,1.63,2.18,-0.91,1.6,-3.32
CA_64204,241,1.69,1.9,-0.54,0.21,0.33
CA_66272,204,2.18,2.43,0.05,2.18,0.72
CA_66675,61,0.24,0.31,-0.63,-0.17,0.98
CA_66850,61,0.72,0.96,-0.39,0.33,0.68
CA_67187,69,0.53,0.69,0.45,0.16,0.69
CA_67740,76,2.1,2.2,0.47,2.1,0.31
CA_68010,220,1.02,1.13,0.3,0.95,0.88
CA_68947,241,2.6,3.38,-0.53,2.45,-1.63
CA_69128,241,1.77,2.02,-0.88,1.7,-2.59
CA_69317,241,1.74,2.08,-0.82,1.26,-1.6
CA_70028,61,1.02,1.2,0.37,0.98,-0.47
CA_7030,47,1.12,1.34,0.63,0.99,0.07
CA_70844,47,1.37,1.79,0.58,1.21,0.27
CA_71587,36,1.67,1.99,0.19,1.2,0.61
CA_71718,47,0.94,1.19,0.11,0.84,0.27
CA_71776,61,0.9,0.99,-0.11,0.89,-1.71
CA_72096,36,1.33,1.57,0.02,-0.32,0.43
CA_72468,61,1.44,1.47,0.88,-1.44,0.8
CA_72535,47,1.24,1.42,-0.65,-1.19,0.18
CA_72592,61,1.42,1.65,0.78,1.36,-1.29
CA_74707,215,0.77,0.88,0.3,0.77,0.31
CA_74902,215,0.74,0.86,0.03,0.34,-1.08
CA_75872,47,1.5,1.72,0.46,-0.4,0.78
CA_76432,176,1.92,2.42,0.42,-1.85,-1.89
CA_77101,176,4.25,4.48,0.45,-4.25,-6.43
CA_77158,47,0.58,0.67,-0.19,0.57,0.86
CA_77257,241,2.01,2.66,-0.3,1.96,0.63
CA_77693,61,0.7,0.83,0.27,0.69,0.88
CA_80450,47,5.0,5.11,-0.55,-5.0,-17.01
CA_81102,176,2.08,2.49,0.14,1.87,0.76
CA_81739,61,0.28,0.41,0.9,0.15,0.98
CA_81905,47,3.14,3.29,0.75,-3.14,-1.92
CA_81937,61,2.39,2.7,-0.63,0.03,0.1
CA_86773,69,0.5,0.67,-0.17,0.03,0.8
CA_87308,69,1.48,1.87,0.22,1.48,-1.44
CA_88706,176,0.58,0.71,0.53,0.52,-0.46
CA_89335,61,1.16,1.44,-0.25,1.15,-1.96
CA_89459,61,1.37,1.46,0.42,1.37,-1.27
CA_89481,176,0.98,1.43,-0.07,0.24,0.04
CA_90023,47,0.75,1.06,0.6,0.73,0.32
CA_90393,176,1.4,1.75,0.51,1.4,-1.3
CA_90562,47,2.05,2.14,0.46,-2.05,0.03
CA_90738,47,1.13,1.33,-0.07,-1.06,-0.1
CA_91730,72,0.27,0.41,0.43,0.1,0.88
CA_92436,47,2.32,2.53,0.14,2.32,0.73
CA_92455,61,1.26,1.29,-0.31,1.26,0.55
CA_92493,61,0.55,0.57,0.65,0.55,0.93
CA_92898,215,0.74,0.89,0.49,0.74,0.02
CA_94012,47,0.22,0.26,0.37,-0.1,0.92
CA_94118,47,1.88,2.03,0.31,1.88,-1.0
CA_96321,47,0.24,0.28,0.72,0.09,0.88
CA_97508,72,0.38,0.45,-0.54,0.32,0.92
CA_97925,72,0.64,0.77,0.27,0.62,-2.51
CA_9796,47,0.71,0.92,-0.42,0.22,0.79
CA_98479,47,0.23,0.27,0.53,0.03,0.89
CA_98963,82,1.05,1.21,-0.02,1.05,-0.48
CA_99201,61,1.01,1.18,0.49,1.01,-0.07
CA_99220,47,0.5,0.63,0.18,0.4,-1.34
CA_99657,47,0.54,0.63,0.13,0.53,0.73
