field_id,crop,mae,rmse,corr,bias,skill_score
CA_223674,47,1.4,1.51,0.27,-1.05,0.17
CA_224158,47,0.85,1.05,-0.01,0.16,0.02
CA_224522,47,0.93,1.16,0.41,0.78,0.71
CA_225250,47,0.53,0.66,0.34,0.31,-0.01
CA_225292,47,0.45,0.53,-0.73,-0.11,0.94
CA_225626,67,0.92,1.09,0.39,0.89,0.46
CA_226101,241,2.03,2.48,0.47,1.92,0.5
CA_226270,36,1.56,2.01,0.22,0.74,-0.09
CA_226383,176,2.52,3.51,-0.89,-2.52,-1.32
CA_227224,75,1.37,1.57,-0.16,1.37,-0.83
CA_227400,75,1.48,1.67,0.37,1.48,0.43
CA_227632,75,1.24,1.45,0.08,0.91,0.01
CA_228703,176,0.73,0.87,0.18,0.66,0.79
CA_228776,36,1.93,2.08,-0.0,1.93,-5.78
CA_229866,47,4.49,4.6,0.49,-4.49,-5.92
CA_229991,72,0.86,0.99,0.51,0.85,-0.83
CA_230025,61,0.71,0.88,-0.05,-0.48,0.24
CA_231117,72,0.53,0.62,0.61,0.41,0.56
CA_231410,215,0.74,0.86,0.7,0.73,0.38
CA_231654,215,0.91,1.0,0.45,0.91,-1.2
CA_232673,61,0.4,0.47,0.22,-0.16,0.86
CA_233234,61,0.57,0.67,0.28,0.48,-0.93
CA_235415,76,0.65,0.78,0.52,0.65,-0.29
CA_235534,66,0.75,0.96,0.17,0.59,-0.61
CA_237235,61,0.77,0.99,0.48,0.5,0.72
CA_23925,176,0.92,1.15,-0.63,-0.27,-0.73
CA_239486,220,0.91,1.07,-0.39,-0.56,-0.65
CA_240061,176,0.86,1.01,0.22,-0.41,-0.17
CA_240493,61,1.12,1.24,-0.9,-0.47,0.62
CA_241505,75,1.01,1.29,0.06,0.33,0.75
CA_241534,76,2.48,3.05,0.1,2.44,0.27
CA_242010,75,1.5,1.99,-0.71,1.07,-1.4
CA_243548,176,1.27,1.52,-0.27,1.08,0.65
CA_244021,47,1.33,1.61,0.9,-0.86,0.36
CA_245311,72,0.69,0.82,-0.54,0.44,-0.44
CA_245360,72,0.34,0.4,0.58,0.32,0.82
CA_245541,72,0.99,1.14,-0.59,0.94,-1.65
CA_246113,61,1.01,1.03,0.5,1.01,0.46
CA_246529,47,0.93,1.01,0.29,0.93,-4.97
CA_2468,47,1.13,1.39,-0.13,1.05,-2.23
CA_249018,241,0.28,0.3,0.75,0.27,0.98
CA_249272,47,0.63,1.14,-0.42,0.3,0.78
CA_249396,47,1.15,1.24,-0.06,0.06,0.55
CA_250091,72,0.47,0.53,-0.39,-0.47,0.97
CA_250892,78,0.91,1.02,0.49,0.87,0.91
CA_251273,61,0.37,0.41,0.88,-0.37,0.98
CA_25134,47,0.52,0.62,0.29,-0.19,0.91
CA_251494,204,0.3,0.39,0.69,-0.22,0.34
CA_251657,204,1.19,1.37,-0.19,1.17,0.61
CA_251751,75,0.26,0.32,-0.02,0.24,0.98
CA_253114,75,0.19,0.23,0.04,-0.18,0.99
CA_253591,61,1.21,1.34,0.12,1.19,0.82
CA_254138,204,1.31,1.41,0.37,1.31,0.73
CA_256200,78,0.54,0.64,0.34,0.06,0.91
CA_25646,47,0.59,0.75,0.52,0.49,0.58
CA_256986,78,0.97,1.15,-0.13,0.82,0.74
CA_257116,75,0.9,1.04,0.14,0.8,0.9
CA_25726,61,0.71,0.82,0.31,-0.59,0.79
CA_257302,75,4.54,4.58,-0.5,-4.54,-1.83
CA_25763,47,0.64,0.72,0.33,0.01,0.53
CA_258127,78,0.55,0.61,0.49,0.53,-0.07
CA_258472,78,2.21,2.29,0.31,2.21,0.33
CA_258631,78,0.81,0.98,-0.03,0.79,-1.3
CA_259153,72,0.47,0.54,-0.17,0.24,0.93
CA_259701,72,1.08,1.16,0.42,1.08,0.5
CA_259742,75,1.21,1.43,-0.13,1.12,0.85
CA_260826,61,1.42,1.6,0.12,1.37,0.66
CA_261291,47,1.23,1.43,0.32,1.16,0.29
CA_262871,204,1.74,1.9,0.19,1.74,0.65
CA_262885,72,0.97,1.11,0.03,0.95,0.29
CA_263796,61,0.66,0.73,-0.61,-0.66,0.95
CA_264465,47,5.75,5.79,0.58,-5.75,-2.12
CA_264899,78,0.71,0.87,0.3,0.05,0.91
CA_265694,241,1.81,1.86,-0.21,-1.81,-0.83
CA_266040,61,0.58,0.64,-0.55,0.58,0.89
CA_267269,176,0.72,0.85,0.65,0.69,0.19
CA_268366,72,0.82,0.95,0.26,0.81,0.14
CA_268680,67,0.97,1.09,0.14,0.87,0.81
CA_26875,47,0.55,0.66,0.51,0.54,0.64
CA_269189,76,0.54,0.64,-0.25,0.07,0.84
CA_269369,76,1.73,1.76,0.24,-1.73,-22.2
CA_269493,141,0.34,0.43,-0.22,-0.31,0.82
CA_269527,72,0.44,0.54,-0.16,0.18,0.26
CA_269957,211,0.58,0.67,0.21,0.41,0.86
CA_270478,72,0.19,0.22,0.77,0.17,0.99
CA_271915,67,3.64,3.66,0.67,-3.64,-3.21
CA_272200,78,1.19,1.3,0.43,1.1,0.79
CA_273256,61,0.6,0.67,-0.14,0.6,0.69
CA_273411,141,1.15,1.23,0.58,1.15,-3.02
CA_274062,76,1.65,1.79,0.18,1.65,0.74
