field_id,crop,mae,rmse,corr,bias,skill_score
CA_207336,3,12.58,18.83,0.98,8.92,0.91
CA_209424,75,6.42,7.43,0.99,-0.08,0.99
CA_209730,75,4.42,5.92,0.99,0.25,0.99
CA_210797,75,13.58,23.35,0.86,13.42,0.65
CA_210817,75,7.17,9.21,0.97,-2.67,0.93
CA_210979,75,6.92,8.67,0.99,0.25,0.96
CA_211137,75,5.5,6.24,1.0,1.0,0.99
CA_211378,76,5.58,8.71,0.99,-0.58,0.99
CA_213142,75,5.17,7.0,1.0,2.33,0.99
CA_213630,176,9.83,16.4,0.95,2.33,0.88
CA_213840,47,6.92,10.2,0.95,6.58,0.79
CA_21410,47,8.08,10.63,0.4,4.58,0.12
CA_214463,69,6.83,11.11,0.96,3.5,0.91
CA_214741,69,8.42,10.76,0.92,-5.58,0.8
CA_214914,76,7.33,11.55,0.88,-4.33,0.69
CA_215978,36,4.83,8.65,0.99,-1.0,0.97
CA_216205,176,10.17,13.67,0.98,-6.67,0.94
CA_216236,36,13.42,21.57,0.91,1.75,0.84
CA_21636,69,3.08,4.23,0.99,0.58,0.97
CA_216615,176,9.5,13.24,0.98,-7.17,0.93
CA_21795,69,6.92,9.22,0.97,2.08,0.91
CA_218007,176,10.42,14.82,0.96,7.08,0.89
CA_218312,211,5.08,6.18,0.97,-0.92,0.94
CA_218326,47,6.25,7.72,0.96,-0.42,0.93
CA_218428,47,8.83,11.97,0.84,-4.33,0.56
CA_218496,141,9.75,11.66,0.98,-7.42,0.94
CA_218504,61,6.83,11.49,0.94,2.67,0.89
CA_218705,69,7.42,11.05,0.75,3.25,0.52
CA_219484,220,6.08,9.1,0.98,4.58,0.94
CA_221043,176,6.42,9.12,0.96,2.25,0.91
CA_222239,176,6.67,8.53,0.97,2.67,0.94
CA_223390,176,7.0,8.19,0.92,-0.83,0.85
CA_223445,47,6.67,9.6,0.95,-5.67,0.85
CA_223674,47,16.58,28.05,0.74,11.92,0.5
CA_224158,47,15.0,25.2,0.84,0.33,0.57
CA_224522,47,12.08,20.13,0.91,4.75,0.78
CA_225250,47,10.0,14.91,0.92,-8.0,0.69
CA_225292,47,4.83,6.42,0.94,-0.33,0.88
CA_225626,67,8.42,10.63,0.97,3.75,0.93
CA_226101,241,13.67,27.63,0.92,13.0,0.81
CA_226270,36,15.33,25.98,0.95,-14.83,0.78
CA_226383,176,7.58,10.14,0.93,1.42,0.85
CA_227224,75,9.92,14.04,0.96,8.58,0.87
CA_227400,75,10.92,16.26,0.95,8.25,0.87
CA_227632,75,8.75,12.26,0.97,0.92,0.93
CA_228703,176,10.25,13.93,0.98,-4.08,0.9
CA_228776,36,11.92,16.82,0.96,-6.42,0.74
CA_229866,47,14.5,25.29,0.93,6.83,0.84
CA_229991,72,14.58,17.54,0.95,-14.58,0.52
CA_230025,61,9.0,12.11,0.92,0.83,0.84
CA_231117,72,5.17,6.58,0.95,1.67,0.88
CA_231410,215,8.67,11.08,0.96,1.67,0.86
CA_231654,215,6.0,9.47,0.98,-3.67,0.91
CA_232673,61,8.75,15.1,0.82,5.25,0.62
CA_233234,61,12.17,16.6,0.86,8.5,0.61
CA_235415,76,2.33,3.76,0.99,0.83,0.98
CA_235534,66,6.08,8.28,0.95,-1.08,0.9
CA_237235,61,4.5,5.79,1.0,-2.0,0.98
CA_23925,176,5.58,7.57,0.98,1.75,0.96
CA_239486,220,9.25,12.0,0.98,-5.08,0.94
CA_240061,176,9.75,13.49,0.97,-7.08,0.88
CA_240493,61,11.08,16.9,0.78,10.08,0.45
CA_241505,75,8.42,11.16,0.98,-2.75,0.96
CA_241534,76,8.42,11.62,0.98,-3.58,0.94
CA_242010,75,10.08,14.81,0.94,8.08,0.85
CA_243548,176,34.25,53.91,0.59,28.58,0.18
CA_244021,47,38.0,64.33,0.68,-31.5,0.19
CA_245311,72,5.5,6.92,0.99,-3.5,0.96
CA_245360,72,4.5,5.42,0.98,-0.67,0.94
CA_245541,72,2.17,2.55,1.0,-1.0,0.99
CA_246113,61,8.5,13.81,0.76,7.17,0.48
CA_246529,47,5.17,8.31,0.96,1.83,0.91
CA_2468,47,18.08,28.91,0.63,17.75,0.29
CA_249018,241,15.33,26.45,0.82,2.17,0.67
CA_249272,47,4.5,6.45,0.78,-1.0,0.55
CA_249396,47,16.42,27.11,0.71,0.08,0.47
CA_250091,72,5.75,7.56,0.83,4.08,0.55
CA_250892,78,10.0,12.96,0.99,1.0,0.97
CA_251273,61,5.17,6.27,1.0,-5.17,0.97
CA_25134,47,8.0,11.25,0.97,-5.5,0.87
CA_251494,204,6.83,9.05,0.97,-2.67,0.93
CA_251657,204,5.75,8.93,0.99,0.58,0.97
