field_id,crop,mae,rmse,corr,bias,skill_score
CA_315375,220,12.17,16.2,0.98,-3.83,0.87
CA_315416,204,4.67,6.86,1.0,2.17,0.99
CA_315480,75,39.33,71.4,0.51,-35.33,-0.28
CA_315646,75,10.0,18.11,0.97,-9.0,0.92
CA_317164,47,7.08,9.48,0.71,5.25,0.4
CA_317355,67,6.25,8.32,0.99,3.58,0.98
CA_31830,75,8.83,12.27,0.98,-4.67,0.95
CA_318645,61,6.58,9.21,0.94,-4.75,0.77
CA_320038,72,4.58,6.63,0.99,-3.42,0.94
CA_320339,72,4.08,6.05,0.99,-1.92,0.97
CA_322353,47,23.75,33.31,0.82,-13.92,0.56
CA_322633,176,21.33,26.35,0.97,-8.83,0.79
CA_323029,36,8.58,15.1,0.58,-2.08,-5.83
CA_324613,61,8.33,15.36,0.08,-6.83,-3.34
CA_32480,75,5.67,8.81,0.99,2.33,0.98
CA_325880,78,9.42,11.44,0.81,8.42,0.47
CA_326564,61,3.67,6.28,0.94,-3.0,0.85
CA_326575,47,9.25,11.39,0.59,5.58,0.27
CA_327150,47,13.92,23.73,0.76,13.92,0.36
CA_327198,47,8.92,11.5,0.97,-3.58,0.9
CA_32722,204,6.67,10.58,0.97,4.17,0.93
CA_327307,61,9.33,13.89,0.89,8.33,0.56
CA_328830,72,6.08,8.2,0.99,-2.25,0.96
CA_328974,215,6.58,9.31,0.98,1.92,0.94
CA_329212,72,11.75,14.08,0.8,3.75,0.59
CA_330488,215,9.5,12.6,0.95,1.33,0.88
CA_330672,72,11.58,16.47,0.74,10.58,0.41
CA_33134,204,6.5,8.87,0.99,-2.67,0.97
CA_332205,47,11.33,14.66,0.87,6.17,0.63
CA_333756,67,5.0,6.98,1.0,-2.17,0.99
CA_336306,67,6.42,9.44,0.98,-3.75,0.91
CA_338036,47,11.67,19.43,0.92,11.5,0.77
CA_33823,75,8.42,12.82,0.98,1.92,0.96
CA_339336,75,4.0,5.35,0.99,-0.33,0.97
CA_339570,67,7.67,15.52,0.99,-5.67,0.94
CA_339856,211,6.08,8.06,0.99,5.58,0.97
CA_340098,78,7.58,11.64,0.96,7.42,0.85
CA_340477,47,10.17,14.69,0.99,10.17,0.92
CA_340795,61,6.25,7.53,0.8,-1.92,0.08
CA_341013,47,16.42,22.89,0.61,13.92,0.11
CA_342669,36,4.92,6.51,0.98,0.92,0.95
CA_342781,176,10.5,12.73,0.88,-8.33,0.43
CA_343221,47,31.58,60.14,0.41,30.08,0.12
CA_343274,47,4.83,7.25,0.83,0.5,0.68
CA_343648,36,19.83,40.02,0.72,11.17,0.45
CA_343666,47,10.62,15.3,0.59,9.54,0.18
CA_343782,61,32.67,65.36,0.2,31.0,-0.03
CA_343914,47,6.92,9.91,0.95,4.58,0.88
CA_34492,241,13.33,26.55,0.94,3.83,0.84
CA_344925,152,9.92,14.76,0.88,-2.92,0.76
CA_344981,176,31.33,55.2,0.77,30.5,0.49
CA_346051,176,12.25,16.2,0.98,11.92,0.88
CA_37042,36,11.0,18.77,0.94,1.83,0.88
CA_40117,176,11.67,15.98,0.98,-9.83,0.87
CA_40791,36,22.42,35.15,0.9,-1.08,0.57
CA_43699,47,7.0,10.12,0.95,6.17,0.83
CA_44219,75,6.67,8.59,0.99,-3.0,0.97
CA_45990,75,13.0,19.46,0.95,-9.33,0.86
CA_46605,75,4.5,5.93,1.0,1.33,0.99
CA_47884,75,34.58,57.39,0.12,-29.58,-1.52
CA_48511,75,10.83,16.13,0.98,7.67,0.92
CA_48799,75,5.33,9.18,0.99,1.17,0.98
CA_49268,75,11.33,17.24,0.97,7.67,0.91
CA_49460,75,6.17,9.47,0.98,-3.17,0.95
CA_50200,75,6.25,9.51,0.99,-4.75,0.97
CA_50989,47,5.58,6.64,0.87,4.75,0.58
CA_51152,61,5.5,6.88,0.99,4.5,0.98
CA_51452,36,10.75,16.31,0.83,10.42,0.56
CA_52501,75,12.17,21.26,0.96,12.0,0.88
CA_5256,47,7.83,14.54,0.88,-5.17,0.74
CA_53071,241,11.33,18.24,0.95,-4.33,0.9
CA_53305,47,9.08,10.15,0.93,4.58,0.81
CA_54305,241,20.67,38.76,0.8,-5.0,0.6
CA_54616,47,15.92,26.32,0.92,14.08,0.77
CA_54688,241,27.08,45.76,0.71,10.25,0.34
CA_54790,241,10.75,14.55,0.97,-4.58,0.9
CA_55252,61,5.5,8.66,0.98,2.67,0.96
CA_55369,36,14.5,20.74,0.95,13.83,0.77
CA_57810,61,6.17,7.8,0.95,0.33,0.89
CA_5907,47,6.0,9.18,0.98,-4.5,0.92
CA_59450,211,5.67,8.29,0.98,-1.83,0.96
CA_60903,75,6.5,7.99,0.99,-2.83,0.98
CA_60928,69,21.33,38.53,0.55,-19.17,-1.78
CA_62356,75,8.0,10.39,0.99,-5.17,0.96
CA_63548,69,6.0,8.5,0.97,-3.67,0.9
CA_64204,241,21.33,45.87,0.78,-8.67,0.25
CA_66272,204,6.42,11.72,0.99,5.75,0.98
CA_66675,61,4.17,7.06,0.97,1.17,0.93
CA_66850,61,4.42,6.13,0.97,1.58,0.95
CA_67187,69,3.0,4.16,1.0,0.0,0.99
CA_67740,76,14.83,23.88,0.95,-13.5,0.71
CA_68010,220,5.67,11.34,0.99,-2.5,0.97
CA_68947,241,32.67,60.99,0.49,32.33,0.17
CA_69128,241,11.17,18.01,0.95,-4.67,0.89
CA_69317,241,11.42,21.9,0.92,-4.08,0.75
CA_70028,61,30.08,45.76,0.43,26.08,0.02
CA_7030,47,17.25,27.35,0.75,-3.25,0.56
CA_70844,47,10.0,15.31,0.98,-10.0,0.91
CA_71587,36,25.0,47.49,0.76,24.67,0.44
CA_71718,47,12.5,20.73,0.95,11.0,0.84
CA_71776,61,6.67,8.31,0.97,-2.67,0.89
CA_72096,36,15.17,30.04,0.88,-1.17,0.7
CA_72468,61,14.5,20.87,0.76,9.67,0.49
CA_72535,47,20.25,30.76,0.77,18.08,0.48
CA_72592,61,45.33,76.72,0.27,44.5,0.05
CA_74707,215,11.75,16.62,0.89,11.75,0.66
CA_74902,215,4.5,6.3,0.99,0.0,0.97
CA_75872,47,16.83,25.53,0.97,16.83,0.83
CA_76432,176,33.92,50.11,0.85,-33.25,0.45
CA_77101,176,44.0,75.78,0.54,-42.5,0.01
CA_77158,47,20.75,35.02,0.5,-2.75,-1.0
CA_77257,241,9.5,14.25,0.98,-6.5,0.95
CA_77693,61,7.5,10.98,0.85,-3.83,-0.6
