field_id,mae,rmse,corr,bias,skill_score
CA_272200,4.738075471698115,9.167127061737375,0.8269789912969149,3.6325283018867918,0.6203587454370652
CA_273256,2.025018867924528,3.3553570065656846,0.8040187886742365,2.0107547169811317,0.5309738671069073
CA_273411,1.757830188679245,2.8064435326382027,0.9278064540924754,0.8682830188679248,0.8290288786216718
CA_274062,2.995301886792454,5.600344670996801,0.9614646347592845,-1.9762075471698115,0.8499542958528956
CA_274108,1.9877924528301891,3.289641745132858,0.9316279763920866,-1.143754716981132,0.7950300570215412
CA_274127,2.8954528301886797,4.918145100179039,0.949958878166163,0.23175471698113218,0.9007954836654483
CA_274575,6.259264150943397,10.406099302722092,0.6927160592618019,-1.3722452830188678,-0.03689833247193475
CA_274791,1.4979245283018874,2.560741881004815,0.945582429539749,-0.06475471698113199,0.8598930655432057
CA_275122,3.058811320754718,5.830589867890484,0.9360806511514397,0.20186792452830166,0.8689304847101221
CA_275163,10.044358490566038,17.777103924525957,0.4106855229400522,-1.4522075471698122,-0.6459657754905452
CA_275841,1.2673773584905663,2.0984775568501504,0.9693738903762155,0.38284905660377394,0.937142139104665
CA_276203,1.86322641509434,3.2078856876306645,0.9624119874313789,-0.7889999999999999,0.8915493731293771
CA_27730,5.075528301886792,7.216700533131858,0.7426965310218655,-4.797603773584904,0.0456254364022014
CA_278176,1.308320754716981,2.190758776969277,0.9597827991681873,-0.23518867924528275,0.9152089252302894
CA_278205,1.088056603773585,1.8877380444670553,0.9607353983345235,-0.15081132075471726,0.92103038805214
CA_278287,2.0115094339622637,3.6589252829779264,0.9778754360623253,-1.0119622641509434,0.9438723668405521
CA_279069,1.2227924528301888,2.0731567580374204,0.975305626545706,-0.6302641509433966,0.9266097312238017
CA_279297,1.8007358490566037,2.8712881502053103,0.9643549509591436,-0.23133962264150948,0.9290233857964859
CA_279979,1.7940566037735846,3.190545470013931,0.9541238166962089,-0.3471886792452829,0.8769645855448395
CA_280097,2.1614716981132074,3.585861365955055,0.9586039835114875,0.8771320754716981,0.9108619414250669
CA_281208,1.8483018867924528,3.037793923973169,0.9757161464193449,-0.40041509433962275,0.9499854562920523
CA_28177,2.036528301886792,3.7472288075121662,0.9038661314790438,-0.8362264150943395,0.7937755631021901
CA_282438,1.170264150943396,2.1450475651145298,0.953904992853467,-0.47505660377358483,0.8730798406031863
CA_282524,1.3994150943396224,2.5069044468548007,0.979683695862643,-0.8505849056603771,0.9491428601265645
CA_28297,1.1142075471698112,2.0481008644457424,0.9277992899871093,-0.35647169811320767,0.8523053108232479
CA_283420,1.1546981132075471,2.085534956936415,0.8665743094495749,0.45594339622641505,0.7146978046693836
CA_285142,3.0563396226415085,4.601990869424248,0.8263407635330171,-3.016641509433962,0.22675420897527487
CA_285559,1.734188679245283,3.453744721859678,0.9533880779544468,-1.0473962264150944,0.8490104446537968
CA_286468,2.133056603773585,3.480254349846092,0.9690008543220725,0.10849056603773612,0.9292536793523953
CA_286837,1.6659056603773583,2.9927694531988265,0.967759908822017,0.6172641509433964,0.9311046271365364
CA_287245,2.302471698113208,3.8582145909978465,0.9765749043722582,-0.8460188679245285,0.9272050728892546
CA_289337,1.2658113207547175,2.2094409691653714,0.84922238017431,1.1252075471698113,0.6363542340629658
CA_289545,1.4797924528301887,2.613178600139381,0.8973786103030101,-0.7728490566037736,0.7242106367207441
CA_289998,1.9626415094339622,3.2639342043867914,0.9009435909838646,-1.2606415094339625,0.7031398286144857
CA_291054,3.6696226415094335,6.500982854574507,0.9471312789337655,-1.983924528301887,0.8129549305992899
CA_292155,1.6525283018867922,2.7579951701354677,0.9136429625873046,-1.5901509433962262,0.7638046714483154
CA_292890,2.317169811320755,3.866001239640989,0.9716590355458882,-0.23550943396226448,0.9293769180021667
CA_293035,1.9743773584905657,3.0976464041725325,0.8696289113555291,1.0038490566037737,0.7312200275186913
