field_id,crop,time,et_actual,et_forecast
CA_343648,36,2023-12-01,22.174,13.536
CA_343648,36,2023-11-01,33.953,28.758
CA_343648,36,2023-10-01,70.923,88.259
CA_343648,36,2023-09-01,95.194,120.4
CA_343648,36,2023-08-01,145.429,161.987
CA_343648,36,2023-07-01,191.153,175.481
CA_343648,36,2023-06-01,143.976,143.976
CA_343648,36,2023-05-01,121.881,121.881
CA_343648,36,2023-04-01,85.41,85.41
CA_343648,36,2023-03-01,47.196,47.196
CA_343648,36,2023-02-01,36.018,36.018
CA_343648,36,2023-01-01,24.51,24.51
CA_343221,47,2023-12-01,25.444,12.978
CA_343221,47,2023-11-01,34.91,27.133
CA_343221,47,2023-10-01,73.394,78.045
CA_343221,47,2023-09-01,96.512,120.437
CA_343221,47,2023-08-01,146.089,159.148
CA_343221,47,2023-07-01,189.202,182.111
CA_343221,47,2023-06-01,154.432,154.432
CA_343221,47,2023-05-01,134.373,134.373
CA_343221,47,2023-04-01,94.526,94.526
CA_343221,47,2023-03-01,50.392,50.392
CA_343221,47,2023-02-01,39.426,39.426
CA_343221,47,2023-01-01,22.542,22.542
CA_343666,47,2023-12-01,22.96,13.883
CA_343666,47,2023-11-01,34.137,28.571
CA_343666,47,2023-10-01,72.289,88.786
CA_343666,47,2023-09-01,94.286,118.942
CA_343666,47,2023-08-01,145.864,162.418
CA_343666,47,2023-07-01,191.939,176.541
CA_343666,47,2023-06-01,144.138,144.138
CA_343666,47,2023-05-01,121.981,121.981
CA_343666,47,2023-04-01,85.553,85.553
CA_343666,47,2023-03-01,47.665,47.665
CA_343666,47,2023-02-01,36.26,36.26
CA_343666,47,2023-01-01,24.275,24.275
CA_240493,61,2023-12-01,26.182,11.221
CA_240493,61,2023-11-01,33.139,22.766
CA_240493,61,2023-10-01,73.115,81.644
CA_240493,61,2023-09-01,100.714,126.327
CA_240493,61,2023-08-01,154.387,169.743
CA_240493,61,2023-07-01,201.042,197.812
CA_240493,61,2023-06-01,138.122,138.122
CA_240493,61,2023-05-01,120.253,120.253
CA_240493,61,2023-04-01,89.699,89.699
CA_240493,61,2023-03-01,44.284,44.284
CA_240493,61,2023-02-01,33.992,33.992
CA_240493,61,2023-01-01,16.613,16.613
CA_343782,61,2023-12-01,23.093,14.107
CA_343782,61,2023-11-01,34.283,29.225
CA_343782,61,2023-10-01,71.654,90.033
CA_343782,61,2023-09-01,93.215,118.696
CA_343782,61,2023-08-01,144.346,164.177
CA_343782,61,2023-07-01,192.922,176.999
CA_343782,61,2023-06-01,143.794,143.794
CA_343782,61,2023-05-01,122.027,122.027
CA_343782,61,2023-04-01,85.48,85.48
CA_343782,61,2023-03-01,47.811,47.811
CA_343782,61,2023-02-01,36.908,36.908
CA_343782,61,2023-01-01,25.062,25.062
CA_189979,61,2023-12-01,23.351,13.759
CA_189979,61,2023-11-01,35.139,31.728
CA_189979,61,2023-10-01,83.006,88.899
CA_189979,61,2023-09-01,107.117,127.824
CA_189979,61,2023-08-01,160.823,173.972
CA_189979,61,2023-07-01,205.544,196.631
CA_189979,61,2023-06-01,151.83,151.83
CA_189979,61,2023-05-01,130.703,130.703
CA_189979,61,2023-04-01,98.445,98.445
CA_189979,61,2023-03-01,44.581,44.581
CA_189979,61,2023-02-01,36.065,36.065
CA_189979,61,2023-01-01,22.778,22.778
CA_133674,69,2023-12-01,20.85,13.589
CA_133674,69,2023-11-01,36.759,35.175
CA_133674,69,2023-10-01,73.924,97.801
CA_133674,69,2023-09-01,105.683,123.166
CA_133674,69,2023-08-01,171.546,176.462
CA_133674,69,2023-07-01,220.206,190.181
CA_133674,69,2023-06-01,149.393,149.393
CA_133674,69,2023-05-01,126.828,126.828
CA_133674,69,2023-04-01,95.098,95.098
CA_133674,69,2023-03-01,42.058,42.058
CA_133674,69,2023-02-01,40.622,40.622
CA_133674,69,2023-01-01,34.549,34.549
CA_133883,69,2023-12-01,23.318,14.888
CA_133883,69,2023-11-01,40.176,38.093
CA_133883,69,2023-10-01,79.929,103.093
CA_133883,69,2023-09-01,111.705,131.225
CA_133883,69,2023-08-01,181.885,186.143
CA_133883,69,2023-07-01,232.406,201.155
CA_133883,69,2023-06-01,162.98,162.98
CA_133883,69,2023-05-01,138.788,138.788
CA_133883,69,2023-04-01,102.055,102.055
CA_133883,69,2023-03-01,48.794,48.794
CA_133883,69,2023-02-01,43.534,43.534
CA_133883,69,2023-01-01,36.821,36.821
CA_134009,69,2023-12-01,30.729,20.486
CA_134009,69,2023-11-01,47.598,42.408
CA_134009,69,2023-10-01,87.622,108.684
CA_134009,69,2023-09-01,125.449,141.388
CA_134009,69,2023-08-01,193.552,197.314
CA_134009,69,2023-07-01,253.362,220.9
CA_134009,69,2023-06-01,178.425,178.425
CA_134009,69,2023-05-01,155.325,155.325
CA_134009,69,2023-04-01,114.765,114.765
CA_134009,69,2023-03-01,60.159,60.159
CA_134009,69,2023-02-01,46.404,46.404
CA_134009,69,2023-01-01,44.806,44.806
CA_134482,69,2023-12-01,28.259,19.732
CA_134482,69,2023-11-01,41.488,37.729
CA_134482,69,2023-10-01,80.93,97.423
