forecasting_date,level_1,field_id,crop,mae,rmse,corr,bias,skill_score,c_mae,c_bias,variable
2024-01-01,52,CA_299467,75,0.08,0.22,-0.6,-0.03,-0.56,0.3510925925925927,,ETo
2024-01-01,53,CA_300271,75,0.06,0.15,-0.46,-0.02,-1.0,0.16720370370370366,,ETo
2024-01-01,54,CA_300581,75,0.05,0.17,-0.71,0.02,-1.0,0.17046296296296296,,ETo
2024-01-01,55,CA_300893,75,0.05,0.15,-0.63,0.02,-1.0,0.13274074074074071,,ETo
2024-01-01,56,CA_301734,75,0.05,0.17,-0.71,0.02,-1.0,0.17046296296296296,,ETo
2024-01-01,57,CA_301986,75,0.06,0.15,0.08,0.04,-1.0,0.14320370370370372,,ETo
2024-01-01,58,CA_302388,75,0.05,0.14,0.21,0.03,-1.0,0.16477777777777777,,ETo
2024-01-01,59,CA_302578,75,0.07,0.16,-0.14,0.04,-1.0,0.18292592592592585,,ETo
2024-01-01,60,CA_302669,72,0.07,0.21,-0.02,0.03,-0.63,0.3071666666666667,,ETo
2024-01-01,61,CA_303433,72,0.05,0.15,-0.62,0.02,-1.0,0.14894444444444446,,ETo
2024-01-01,62,CA_303972,47,0.06,0.18,-0.76,0.03,-1.0,0.2132407407407407,,ETo
2024-01-01,63,CA_304258,72,0.06,0.14,0.08,0.03,-1.0,0.15031481481481482,,ETo
2024-01-01,64,CA_304688,72,0.05,0.15,-0.37,-0.02,-1.0,0.13820370370370377,,ETo
2024-01-01,65,CA_305684,204,0.05,0.15,-0.7,0.03,-0.41,0.24674074074074073,,ETo
2024-01-01,66,CA_306027,204,0.06,0.14,-0.09,0.03,-1.0,0.14475925925925928,,ETo
2024-01-01,67,CA_306521,204,0.06,0.14,-0.21,0.03,-0.64,0.19385185185185186,,ETo
2024-01-01,68,CA_307370,204,0.06,0.19,-0.53,-0.01,-1.0,0.20966666666666664,,ETo
2024-01-01,69,CA_307376,204,0.06,0.19,-0.53,-0.01,-1.0,0.20966666666666664,,ETo
2024-01-01,70,CA_307472,204,0.06,0.19,-0.51,-0.02,-1.0,0.2065555555555555,,ETo
2024-01-01,71,CA_307774,204,0.06,0.14,0.05,0.04,-1.0,0.1499074074074074,,ETo
2024-01-01,72,CA_32080,75,0.08,0.24,0.51,-0.05,-0.29,0.41046296296296286,,ETo
2024-01-01,73,CA_32260,61,0.08,0.21,0.59,-0.05,-0.31,0.376037037037037,,ETo
2024-01-01,74,CA_32418,47,0.08,0.22,0.38,-0.06,-0.69,0.3490925925925925,,ETo
2024-01-01,75,CA_32637,47,0.09,0.24,0.52,-0.07,-0.52,0.39262962962962966,,ETo
2024-01-01,76,CA_32667,61,0.06,0.17,0.05,0.01,-0.45,0.24974074074074068,,ETo
2024-01-01,77,CA_35772,36,0.07,0.21,0.18,0.01,-0.26,0.3575925925925925,,ETo
2024-01-01,78,CA_36095,61,0.08,0.22,-0.71,0.0,-0.91,0.3013888888888889,,ETo
2024-01-01,79,CA_36121,47,0.07,0.19,0.55,-0.03,-0.46,0.3026111111111111,,ETo
2024-01-01,80,CA_36281,61,0.07,0.2,0.27,0.01,-0.39,0.3212592592592593,,ETo
2024-01-01,81,CA_36850,61,0.06,0.18,0.62,-0.03,-0.23,0.3159259259259259,,ETo
2024-01-01,82,CA_36898,37,0.06,0.18,0.56,-0.02,-0.22,0.302,,ETo
2024-01-01,83,CA_36982,241,0.06,0.18,0.62,-0.03,-0.23,0.3159259259259259,,ETo
2024-01-01,84,CA_37400,61,0.08,0.22,0.46,-0.06,-0.34,0.3646481481481481,,ETo
2024-01-01,85,CA_37674,47,0.07,0.19,-0.56,-0.02,-0.74,0.23824074074074078,,ETo
2024-01-01,86,CA_37683,61,0.07,0.21,0.2,-0.01,-0.03,0.4174259259259259,,ETo
2024-01-01,87,CA_37890,241,0.07,0.2,-0.54,-0.03,-0.56,0.28690740740740733,,ETo
2024-01-01,88,CA_38650,47,0.09,0.22,-0.71,-0.01,-0.74,0.3268333333333334,,ETo
2024-01-01,89,CA_38734,204,0.07,0.2,0.57,-0.05,-0.63,0.31277777777777777,,ETo
2024-01-01,90,CA_38912,69,0.06,0.16,0.15,0.0,-0.38,0.23629629629629634,,ETo
2024-01-01,91,CA_39031,69,0.06,0.16,0.11,-0.0,-0.36,0.23887037037037037,,ETo
2024-01-01,92,CA_39032,69,0.07,0.19,-0.56,-0.02,-0.74,0.23824074074074078,,ETo
2024-01-01,93,CA_39770,69,0.09,0.24,-0.72,-0.04,-0.48,0.39359259259259255,,ETo
2024-01-01,94,CA_40009,69,0.08,0.21,-0.75,-0.0,-0.64,0.32535185185185184,,ETo
2024-01-01,95,CA_41244,69,0.11,0.26,-0.7,-0.04,-0.28,0.4566851851851852,,ETo
2024-01-01,96,CA_41458,69,0.08,0.22,-0.69,-0.01,-0.59,0.33088888888888884,,ETo
2024-01-01,97,CA_41682,69,0.06,0.17,-0.07,-0.01,-0.07,0.30933333333333324,,ETo
2024-01-01,98,CA_42021,69,0.08,0.22,-0.55,-0.03,-0.63,0.3188888888888889,,ETo
