field_id,crop,mae,rmse,corr,bias,skill_score,variable
CA_244000,47,0.28,0.34,-0.36,-0.01,-2.12,ETof
CA_244018,47,0.31,0.36,-0.06,-0.15,-0.62,ETof
CA_244025,47,0.19,0.22,0.6,0.07,-0.07,ETof
CA_244035,69,0.14,0.18,0.6,0.11,0.24,ETof
CA_244053,47,0.17,0.2,-0.03,-0.02,-1.8,ETof
CA_244054,69,0.14,0.19,0.47,0.09,0.27,ETof
CA_244073,47,0.21,0.26,0.28,0.07,0.22,ETof
CA_244077,47,0.18,0.22,0.2,-0.05,0.09,ETof
CA_244102,47,0.19,0.24,0.18,0.0,-0.46,ETof
CA_244108,47,0.16,0.2,0.37,0.08,0.23,ETof
CA_244113,47,0.17,0.23,0.51,0.09,0.41,ETof
CA_244144,61,0.18,0.24,-0.08,0.02,-1.55,ETof
CA_244148,69,0.14,0.19,-0.02,0.08,-0.31,ETof
CA_244152,47,0.15,0.21,0.31,0.07,0.16,ETof
CA_244172,69,0.11,0.14,0.58,0.08,-0.11,ETof
CA_244189,69,0.1,0.14,0.33,0.03,0.2,ETof
CA_244207,47,0.19,0.24,-0.03,0.02,-0.11,ETof
CA_244212,47,0.34,0.39,-0.3,-0.11,-0.88,ETof
CA_244216,47,0.24,0.28,-0.13,-0.04,-0.01,ETof
CA_244229,47,0.32,0.38,-0.14,0.22,-2.68,ETof
CA_244317,47,0.24,0.28,0.44,0.16,0.31,ETof
CA_244323,47,0.2,0.26,-0.05,0.13,-0.68,ETof
CA_244332,47,0.13,0.16,0.57,-0.03,0.6,ETof
CA_244362,47,0.23,0.28,0.18,0.09,-0.23,ETof
CA_244363,47,0.11,0.15,0.79,-0.04,0.48,ETof
CA_244380,47,0.11,0.14,0.51,0.0,0.66,ETof
CA_244387,61,0.19,0.24,0.08,-0.07,-1.38,ETof
CA_244402,47,0.2,0.23,0.36,-0.06,0.42,ETof
CA_244426,47,0.24,0.3,0.09,-0.1,-0.25,ETof
CA_244427,47,0.12,0.15,0.3,-0.07,0.49,ETof
CA_244429,47,0.22,0.27,0.55,0.17,0.22,ETof
CA_244437,47,0.12,0.16,-0.04,-0.02,-0.48,ETof
CA_244473,47,0.11,0.13,0.47,0.0,0.44,ETof
CA_244478,47,0.11,0.14,0.75,-0.08,0.7,ETof
CA_244479,47,0.14,0.18,0.46,0.03,0.43,ETof
CA_244491,47,0.14,0.2,0.56,0.02,0.63,ETof
CA_244504,47,0.27,0.33,0.01,0.08,-0.08,ETof
CA_244553,47,0.15,0.19,0.25,-0.03,0.37,ETof
CA_244574,47,0.17,0.2,0.59,-0.06,0.57,ETof
CA_244617,72,0.21,0.25,0.13,0.1,-3.37,ETof
CA_244653,47,0.26,0.33,0.69,0.21,0.25,ETof
CA_244673,47,0.24,0.29,-0.14,0.12,-0.51,ETof
CA_244686,47,0.17,0.22,0.46,0.01,-0.53,ETof
CA_244748,47,0.34,0.4,-0.56,0.07,-1.76,ETof
CA_244751,47,0.21,0.27,-0.17,0.03,-3.77,ETof
CA_244758,47,0.2,0.27,0.1,-0.08,-0.91,ETof
CA_244760,47,0.22,0.26,0.21,0.1,0.02,ETof
CA_244773,47,0.13,0.16,0.27,-0.07,-0.45,ETof
CA_244845,47,0.25,0.3,0.5,0.12,0.41,ETof
CA_244849,47,0.18,0.22,0.29,0.02,0.25,ETof
CA_244870,47,0.12,0.16,0.43,0.04,0.48,ETof
CA_244884,47,0.19,0.26,0.2,-0.13,-1.06,ETof
CA_244903,61,0.3,0.35,0.2,0.22,-0.27,ETof
CA_244909,47,0.26,0.3,0.12,0.11,-0.38,ETof
CA_244928,47,0.25,0.3,0.28,0.15,0.18,ETof
CA_244948,47,0.19,0.23,0.73,0.17,0.57,ETof
CA_244963,47,0.32,0.37,-0.05,0.23,-0.19,ETof
CA_244988,47,0.43,0.54,-0.57,0.17,-1.37,ETof
CA_245022,69,0.26,0.31,0.23,0.17,-0.3,ETof
CA_245023,47,0.18,0.23,0.34,-0.07,0.34,ETof
CA_245053,47,0.37,0.43,-0.47,0.23,-1.83,ETof
CA_245078,47,0.27,0.32,-0.22,0.02,-1.41,ETof
CA_245112,47,0.27,0.32,-0.34,0.11,-0.73,ETof
CA_245140,61,0.14,0.18,0.13,0.09,-0.13,ETof
CA_245184,47,0.27,0.34,0.24,0.08,-0.51,ETof
CA_245193,47,0.25,0.3,0.64,0.2,0.43,ETof
CA_245281,47,0.19,0.24,0.44,0.03,0.04,ETof
CA_245291,47,0.15,0.18,0.32,-0.01,0.54,ETof
CA_245292,47,0.25,0.32,0.05,-0.0,-0.03,ETof
CA_245296,47,0.13,0.15,0.01,-0.07,-0.04,ETof
CA_245297,47,0.2,0.27,-0.01,0.04,-0.15,ETof
CA_245314,47,0.27,0.33,0.22,0.17,0.2,ETof
CA_245345,47,0.19,0.24,0.44,0.06,-0.38,ETof
CA_245432,47,0.17,0.21,0.23,0.07,-0.03,ETof
CA_245450,47,0.24,0.3,-0.31,0.03,-1.22,ETof
CA_245467,47,0.25,0.34,0.0,0.15,-0.23,ETof
CA_245511,69,0.12,0.16,0.16,-0.01,0.08,ETof
CA_245526,47,0.21,0.25,0.36,0.01,0.2,ETof
CA_245529,47,0.16,0.2,0.52,-0.05,0.28,ETof
CA_245543,61,0.42,0.5,-0.26,0.4,-1.81,ETof
CA_245547,47,0.23,0.27,-0.17,0.05,-0.71,ETof
CA_245553,47,0.18,0.23,0.46,0.07,-0.33,ETof
CA_245558,47,0.2,0.24,0.22,0.06,0.0,ETof
CA_245568,47,0.18,0.21,0.61,0.06,0.63,ETof
CA_245588,47,0.23,0.3,0.57,0.21,0.2,ETof
CA_245621,47,0.22,0.27,-0.11,-0.03,-0.95,ETof
CA_245661,47,0.19,0.23,0.18,0.01,0.27,ETof
CA_245680,47,0.29,0.34,0.22,0.11,-0.3,ETof
CA_245684,47,0.32,0.39,-0.23,-0.09,-0.18,ETof
CA_245691,47,0.23,0.27,0.33,-0.1,-0.53,ETof
CA_245696,47,0.21,0.26,0.01,0.14,-0.72,ETof
CA_245708,47,0.22,0.28,0.25,-0.01,-0.27,ETof
CA_245730,47,0.3,0.36,0.03,0.07,-0.49,ETof
CA_245736,47,0.23,0.3,0.19,0.18,-0.55,ETof
CA_245782,47,0.39,0.44,-0.58,0.25,-1.32,ETof
CA_245801,47,0.18,0.22,0.75,-0.12,0.41,ETof
CA_245818,47,0.23,0.3,0.05,0.1,-0.22,ETof
CA_245835,47,0.28,0.36,-0.3,0.2,-0.92,ETof
CA_245848,47,0.14,0.19,0.46,-0.04,0.45,ETof
CA_245850,47,0.29,0.34,-0.36,-0.11,-1.5,ETof
CA_245882,47,0.2,0.25,-0.17,-0.06,-0.82,ETof
CA_245905,47,0.26,0.3,-0.3,-0.13,-2.03,ETof
CA_245928,47,0.44,0.48,-0.62,-0.18,-0.16,ETof
CA_245955,69,0.18,0.22,-0.22,-0.04,-0.52,ETof
CA_245992,69,0.12,0.15,0.25,0.06,-0.28,ETof
CA_246012,37,0.14,0.2,0.4,-0.09,-0.11,ETof
CA_246046,47,0.12,0.15,0.75,-0.06,0.71,ETof
CA_246072,61,0.24,0.29,0.37,0.18,0.41,ETof
CA_246087,47,0.28,0.33,0.04,-0.1,-0.48,ETof
CA_246089,61,0.25,0.29,0.62,0.16,0.49,ETof
CA_246123,69,0.15,0.19,-0.05,0.1,-0.6,ETof
CA_246227,47,0.23,0.29,0.35,0.05,-0.37,ETof
CA_246235,61,0.21,0.23,-0.57,0.06,-1.66,ETof
CA_246318,47,0.18,0.23,0.34,-0.09,-0.09,ETof
CA_246321,69,0.1,0.13,-0.41,-0.01,-0.82,ETof
CA_246341,47,0.25,0.27,-0.22,0.07,0.12,ETof
CA_246364,69,0.15,0.2,0.51,0.12,-0.06,ETof
CA_246370,61,0.25,0.32,0.49,-0.17,0.54,ETof
CA_246427,69,0.12,0.14,0.31,-0.01,0.52,ETof
CA_246436,47,0.22,0.27,-0.04,-0.18,-0.69,ETof
CA_246448,61,0.22,0.28,0.7,0.18,0.58,ETof
CA_246458,69,0.13,0.16,0.61,0.09,0.41,ETof
CA_246473,69,0.11,0.14,0.39,0.03,0.39,ETof
CA_246532,47,0.28,0.35,-0.22,-0.25,-1.02,ETof
CA_246533,69,0.13,0.14,0.8,0.12,0.44,ETof
CA_246558,69,0.08,0.09,0.63,0.04,0.43,ETof
CA_246568,69,0.1,0.14,0.8,-0.07,0.81,ETof
CA_246587,47,0.18,0.22,-0.31,-0.11,-0.62,ETof
CA_246593,61,0.26,0.31,0.67,0.26,0.35,ETof
CA_246614,47,0.18,0.24,0.27,-0.01,0.48,ETof
CA_246665,47,0.27,0.34,-0.28,0.13,-2.08,ETof
CA_246673,69,0.09,0.1,0.46,0.08,-0.53,ETof
CA_246679,69,0.15,0.2,0.61,0.1,0.03,ETof
CA_246729,61,0.14,0.17,0.79,0.03,0.75,ETof
CA_246755,69,0.11,0.15,-0.31,0.07,-0.56,ETof
CA_246756,69,0.07,0.09,0.52,0.02,0.14,ETof
CA_246757,69,0.14,0.17,0.31,-0.04,0.43,ETof
CA_246801,47,0.15,0.19,0.67,-0.04,0.59,ETof
CA_246807,61,0.17,0.23,0.79,0.16,0.53,ETof
CA_246812,69,0.15,0.19,0.47,0.14,-0.3,ETof
CA_246835,69,0.1,0.12,0.75,0.06,0.74,ETof
CA_246861,47,0.16,0.21,0.5,-0.12,-1.94,ETof
CA_246869,69,0.09,0.12,0.17,0.04,0.31,ETof
CA_246876,69,0.2,0.26,0.09,0.16,-8.65,ETof
CA_246910,69,0.15,0.19,0.02,0.1,-0.29,ETof
CA_246928,47,0.16,0.21,0.6,0.14,0.4,ETof
CA_246965,47,0.23,0.27,0.04,-0.1,-1.1,ETof
CA_246967,61,0.12,0.16,0.8,-0.07,0.81,ETof
CA_246992,47,0.12,0.16,0.06,-0.02,-0.38,ETof
CA_247003,69,0.1,0.13,0.85,0.06,0.73,ETof
CA_247012,47,0.3,0.38,-0.84,-0.05,-4.13,ETof
CA_247066,47,0.2,0.26,0.5,0.09,-0.07,ETof
CA_247155,47,0.15,0.17,0.67,0.02,0.19,ETof
CA_247159,47,0.26,0.32,0.07,0.0,0.26,ETof
CA_247174,69,0.17,0.19,0.71,0.02,0.58,ETof
CA_247196,69,0.16,0.22,0.35,0.12,0.18,ETof
CA_247211,47,0.26,0.34,-0.05,0.01,-0.47,ETof
CA_247235,47,0.17,0.21,0.64,0.16,0.02,ETof
CA_247267,69,0.23,0.28,0.46,0.07,0.04,ETof
CA_247271,69,0.12,0.15,0.11,0.04,0.01,ETof
CA_247278,69,0.1,0.12,0.26,-0.03,-0.23,ETof
CA_247296,61,0.24,0.29,0.68,0.2,0.01,ETof
CA_247299,47,0.2,0.25,0.03,0.05,-0.73,ETof
CA_247304,47,0.16,0.21,0.7,0.03,0.75,ETof
CA_247318,47,0.15,0.22,0.38,-0.05,-0.07,ETof
CA_247319,69,0.1,0.15,0.02,0.03,-0.17,ETof
CA_247331,69,0.14,0.18,-0.15,0.07,-0.5,ETof
CA_247350,47,0.3,0.38,0.14,0.3,-1.13,ETof
CA_247354,69,0.16,0.2,0.15,-0.04,0.19,ETof
CA_247369,47,0.18,0.22,0.4,-0.08,0.51,ETof
CA_247395,47,0.1,0.12,0.96,0.09,0.82,ETof
CA_247396,69,0.09,0.11,0.29,0.07,0.06,ETof
CA_247400,47,0.16,0.22,0.1,0.04,-0.57,ETof
CA_247408,69,0.12,0.16,-0.16,0.02,-0.62,ETof
CA_247416,61,0.24,0.27,0.24,0.19,-0.95,ETof
CA_247439,47,0.15,0.21,0.77,0.14,0.39,ETof
CA_247454,47,0.19,0.24,0.52,0.15,0.01,ETof
CA_247470,47,0.24,0.28,-0.2,-0.05,-0.56,ETof
CA_247476,47,0.42,0.47,-0.7,-0.06,-5.25,ETof
CA_247491,47,0.25,0.31,-0.36,0.0,-0.95,ETof
CA_247511,69,0.25,0.29,-0.07,0.18,-2.16,ETof
CA_247535,47,0.27,0.33,-0.4,-0.08,-1.13,ETof
CA_247537,47,0.18,0.24,-0.21,-0.05,-0.11,ETof
CA_247542,69,0.12,0.16,0.23,0.04,0.25,ETof
CA_247548,61,0.31,0.39,0.36,0.28,-0.06,ETof
CA_247552,47,0.29,0.33,-0.31,0.0,-1.48,ETof
CA_247559,69,0.21,0.24,0.19,0.14,-0.59,ETof
CA_247605,69,0.18,0.25,-0.35,0.13,-0.37,ETof
CA_247609,69,0.12,0.14,0.56,0.07,0.07,ETof
CA_247629,47,0.23,0.3,0.05,-0.08,-0.08,ETof
CA_247642,69,0.17,0.21,0.09,0.13,-0.46,ETof
CA_247653,47,0.2,0.25,0.26,0.04,-0.14,ETof
CA_247676,69,0.17,0.21,0.13,0.13,-0.07,ETof
CA_247691,47,0.24,0.29,0.06,0.08,-0.04,ETof
CA_247706,61,0.09,0.11,0.92,0.03,0.85,ETof
CA_247741,69,0.24,0.27,-0.18,0.06,-2.05,ETof
CA_247763,69,0.1,0.12,0.44,0.01,-0.67,ETof
CA_247766,69,0.17,0.21,0.36,-0.14,-0.09,ETof
CA_247785,69,0.11,0.13,0.19,0.09,-0.24,ETof
CA_247820,69,0.06,0.07,0.58,0.02,0.59,ETof
CA_247822,69,0.11,0.15,0.42,-0.03,0.2,ETof
CA_247823,69,0.06,0.08,0.82,0.03,0.85,ETof
CA_247832,47,0.15,0.18,0.44,0.04,0.25,ETof
CA_247872,69,0.21,0.24,0.12,-0.03,0.21,ETof
CA_247878,47,0.17,0.22,0.49,0.13,0.19,ETof
CA_247903,47,0.18,0.21,0.23,0.07,-0.77,ETof
CA_247918,69,0.08,0.11,0.24,-0.04,-0.55,ETof
CA_247925,69,0.21,0.26,-0.28,0.21,-0.64,ETof
CA_247968,61,0.15,0.18,0.84,-0.11,0.76,ETof
CA_247976,69,0.09,0.12,0.31,-0.01,0.14,ETof
CA_248006,47,0.22,0.27,0.06,0.01,-0.48,ETof
CA_248038,69,0.16,0.19,0.51,-0.03,0.68,ETof
CA_248070,69,0.14,0.17,0.46,0.11,0.51,ETof
CA_248083,47,0.1,0.14,0.84,0.06,0.7,ETof
CA_248084,47,0.31,0.35,-0.47,-0.06,-1.98,ETof
CA_248086,69,0.17,0.21,0.08,0.17,-0.35,ETof
CA_248113,69,0.11,0.14,-0.25,-0.01,-0.8,ETof
CA_248117,69,0.18,0.22,-0.14,0.04,-0.99,ETof
CA_248128,47,0.33,0.39,-0.35,-0.01,-2.41,ETof
CA_248155,37,0.21,0.25,0.69,0.09,0.38,ETof
CA_248175,69,0.1,0.12,0.8,0.09,0.52,ETof
CA_248207,69,0.14,0.18,-0.15,0.03,-0.17,ETof
CA_248208,47,0.25,0.28,-0.19,-0.16,-1.58,ETof
CA_248217,69,0.13,0.15,0.49,0.07,0.56,ETof
CA_248230,69,0.15,0.19,-0.44,0.02,-0.3,ETof
CA_248238,61,0.22,0.32,0.28,0.0,0.43,ETof
CA_248264,69,0.16,0.2,-0.02,0.08,-0.13,ETof
CA_248302,47,0.09,0.13,0.54,0.04,0.3,ETof
CA_248338,61,0.2,0.27,-0.03,0.09,-1.28,ETof
CA_248364,61,0.27,0.35,0.51,0.26,0.35,ETof
CA_248380,47,0.16,0.19,0.59,0.06,0.16,ETof
CA_248388,61,0.24,0.3,0.1,0.02,-0.06,ETof
CA_248409,69,0.12,0.14,0.15,0.02,0.12,ETof
CA_248438,69,0.23,0.25,-0.68,0.12,-2.03,ETof
CA_248446,47,0.13,0.15,0.47,0.01,-0.16,ETof
CA_248451,47,0.16,0.21,0.74,-0.08,0.66,ETof
CA_248468,47,0.15,0.16,0.89,0.1,0.65,ETof
CA_248480,69,0.17,0.2,0.42,0.03,0.46,ETof
CA_248482,47,0.25,0.29,0.32,-0.22,-1.97,ETof
CA_248484,47,0.25,0.31,-0.3,-0.04,-4.62,ETof
CA_248499,69,0.14,0.17,-0.13,0.08,0.38,ETof
CA_248505,47,0.27,0.31,0.38,0.19,0.16,ETof
CA_248523,61,0.31,0.38,0.11,0.2,-0.22,ETof
CA_248612,69,0.25,0.29,-0.32,0.17,-3.08,ETof
CA_248625,69,0.18,0.25,-0.29,-0.16,-0.66,ETof
CA_248642,47,0.2,0.25,0.16,0.04,-0.39,ETof
CA_248652,61,0.11,0.15,0.87,0.03,0.91,ETof
CA_248663,47,0.2,0.24,0.07,0.0,-0.3,ETof
CA_248688,61,0.19,0.21,-0.12,-0.14,-1.31,ETof
CA_248689,47,0.27,0.3,0.24,0.01,-0.02,ETof
CA_248722,69,0.17,0.21,0.46,0.09,0.3,ETof
CA_248737,47,0.24,0.33,0.47,0.23,-0.2,ETof
CA_248749,61,0.12,0.15,0.61,-0.06,-0.02,ETof
CA_248760,69,0.12,0.15,0.18,0.05,0.14,ETof
CA_248786,61,0.11,0.12,0.96,-0.11,0.75,ETof
CA_248793,61,0.23,0.29,0.53,0.0,0.27,ETof
CA_248799,47,0.31,0.37,-0.15,-0.09,-0.4,ETof
CA_248852,69,0.1,0.12,0.29,0.06,0.12,ETof
CA_248858,47,0.22,0.29,-0.17,0.15,-0.57,ETof
CA_248877,37,0.15,0.18,0.34,-0.04,0.19,ETof
CA_248880,47,0.17,0.21,0.46,-0.03,0.12,ETof
CA_248888,69,0.12,0.16,0.71,0.0,0.75,ETof
CA_248889,47,0.34,0.4,-0.82,-0.04,-8.65,ETof
CA_248926,69,0.19,0.23,0.19,0.18,-0.38,ETof
CA_248949,61,0.19,0.27,0.41,0.03,0.0,ETof
CA_248967,47,0.23,0.27,0.43,0.14,0.54,ETof
CA_249008,47,0.28,0.33,-0.16,-0.1,-0.25,ETof
CA_249053,69,0.11,0.14,0.49,0.08,0.46,ETof
CA_249083,47,0.21,0.25,0.06,-0.06,0.03,ETof
CA_249088,69,0.18,0.22,0.29,0.14,-0.15,ETof
CA_249091,69,0.09,0.13,0.2,0.07,0.06,ETof
CA_249101,69,0.08,0.1,0.37,0.02,-0.02,ETof
CA_249122,47,0.35,0.42,-0.36,-0.29,-6.05,ETof
CA_249138,61,0.22,0.26,0.29,-0.2,-2.51,ETof
CA_249145,69,0.1,0.12,0.27,0.07,-0.14,ETof
CA_249166,47,0.17,0.22,0.85,0.09,0.84,ETof
CA_249176,69,0.12,0.15,0.54,0.0,0.64,ETof
CA_249203,47,0.29,0.32,-0.34,0.23,-3.14,ETof
CA_249248,47,0.2,0.25,0.12,-0.0,-0.01,ETof
CA_249252,69,0.17,0.2,0.31,-0.12,0.09,ETof
CA_249254,47,0.12,0.16,0.28,0.05,0.21,ETof
CA_249284,69,0.1,0.12,0.34,0.04,0.1,ETof
CA_249291,47,0.26,0.32,0.29,0.25,-1.41,ETof
CA_249296,47,0.28,0.36,-0.27,-0.06,-0.21,ETof
CA_249344,69,0.14,0.18,-0.03,0.07,0.08,ETof
CA_249348,69,0.12,0.15,-0.11,0.04,-1.28,ETof
CA_249396,69,0.1,0.12,0.27,0.07,0.49,ETof
CA_249407,47,0.32,0.37,-0.46,0.14,-0.25,ETof
CA_249414,47,0.18,0.26,0.02,-0.02,-0.24,ETof
CA_249456,61,0.18,0.22,0.77,-0.08,0.63,ETof
CA_249462,69,0.13,0.17,0.2,0.04,0.37,ETof
CA_249468,69,0.13,0.18,-0.28,0.08,-0.28,ETof
CA_249479,69,0.12,0.17,0.72,0.07,0.62,ETof
CA_249507,61,0.22,0.3,0.13,0.11,-0.05,ETof
CA_249524,61,0.12,0.16,0.71,-0.05,0.57,ETof
CA_249531,47,0.22,0.27,0.49,0.16,-0.2,ETof
CA_249545,47,0.21,0.25,-0.27,-0.04,-1.13,ETof
CA_249576,47,0.21,0.28,0.14,-0.03,-2.18,ETof
CA_249601,69,0.09,0.11,0.62,0.05,0.25,ETof
CA_249627,69,0.16,0.2,-0.1,0.1,-0.18,ETof
CA_249685,69,0.12,0.13,0.53,0.1,0.39,ETof
CA_249694,69,0.36,0.4,-0.18,0.25,-1.87,ETof
CA_249725,69,0.12,0.14,0.4,0.08,-0.1,ETof
CA_249733,69,0.11,0.15,0.2,0.03,-0.86,ETof
CA_249774,47,0.14,0.19,0.48,-0.06,0.13,ETof
CA_249783,69,0.15,0.2,0.17,0.12,-0.25,ETof
CA_249784,61,0.18,0.24,0.27,-0.01,-0.02,ETof
CA_249796,47,0.19,0.23,0.21,0.1,-0.34,ETof
CA_249846,47,0.29,0.34,-0.12,0.22,-0.27,ETof
CA_249856,69,0.09,0.11,0.26,0.07,0.05,ETof
CA_249858,47,0.34,0.38,-0.31,-0.15,-1.03,ETof
CA_249863,47,0.12,0.16,0.49,0.02,0.53,ETof
CA_249864,69,0.11,0.13,0.17,0.03,-0.03,ETof
CA_249875,47,0.33,0.4,-0.3,-0.04,-1.04,ETof
CA_249887,61,0.17,0.22,0.71,0.12,-0.1,ETof
CA_249898,47,0.21,0.25,0.43,0.02,-0.31,ETof
CA_249944,69,0.14,0.17,0.42,0.02,0.3,ETof
CA_249946,61,0.13,0.16,0.36,-0.1,0.28,ETof
CA_249988,47,0.2,0.28,0.37,0.07,-0.09,ETof
CA_249989,47,0.27,0.35,-0.4,-0.04,-1.2,ETof
CA_249997,47,0.26,0.32,-0.72,0.0,-1.46,ETof
CA_249999,69,0.1,0.12,0.07,-0.03,-0.39,ETof
CA_250003,69,0.1,0.12,0.34,0.03,0.34,ETof
CA_250044,69,0.15,0.17,0.03,-0.12,-0.16,ETof
CA_250130,69,0.17,0.21,0.26,0.14,-0.93,ETof
CA_250143,47,0.21,0.28,0.39,-0.09,0.42,ETof
CA_250155,47,0.1,0.12,0.89,0.02,0.85,ETof
CA_250182,47,0.14,0.17,0.78,-0.01,0.81,ETof
CA_250186,47,0.24,0.3,-0.21,-0.04,-0.85,ETof
CA_250200,61,0.19,0.22,0.61,0.19,-0.13,ETof
CA_250208,47,0.27,0.32,-0.12,0.18,-0.5,ETof
CA_250211,61,0.16,0.18,0.95,0.16,0.72,ETof
CA_250212,69,0.15,0.2,0.18,0.07,0.05,ETof
CA_250221,47,0.22,0.28,0.03,-0.02,-0.73,ETof
CA_250290,69,0.09,0.13,0.61,0.07,0.63,ETof
CA_250295,69,0.21,0.26,-0.02,0.21,-0.79,ETof
CA_250318,47,0.26,0.32,-0.34,0.04,-0.85,ETof
CA_250324,47,0.26,0.32,-0.05,0.15,-0.77,ETof
CA_250328,47,0.3,0.37,-0.26,-0.08,-0.11,ETof
CA_250355,47,0.2,0.25,-0.02,-0.02,-0.84,ETof
CA_250356,61,0.09,0.11,0.87,0.04,0.87,ETof
CA_250364,69,0.12,0.16,0.29,0.01,0.38,ETof
CA_250373,69,0.1,0.12,0.25,-0.03,0.07,ETof
CA_250388,47,0.26,0.35,-0.3,-0.16,-1.56,ETof
CA_250406,61,0.22,0.27,-0.04,0.1,-2.86,ETof
CA_250435,69,0.09,0.12,0.49,-0.0,0.52,ETof
CA_250438,69,0.15,0.17,0.2,0.05,0.22,ETof
CA_250500,69,0.13,0.16,0.48,0.09,0.57,ETof
CA_250502,47,0.22,0.27,0.24,-0.08,0.07,ETof
CA_250522,69,0.14,0.17,0.48,0.0,-0.8,ETof
CA_250527,47,0.35,0.39,-0.01,-0.01,0.21,ETof
CA_250543,47,0.25,0.31,0.3,0.13,0.2,ETof
CA_250568,69,0.27,0.3,-0.65,-0.11,0.07,ETof
CA_250576,69,0.15,0.17,-0.03,0.06,-0.34,ETof
CA_250606,47,0.21,0.24,0.54,-0.1,0.63,ETof
CA_250608,69,0.28,0.29,0.38,0.19,-0.76,ETof
CA_250617,69,0.14,0.16,0.25,-0.13,0.07,ETof
CA_250625,61,0.08,0.09,0.94,0.03,0.93,ETof
CA_250626,69,0.15,0.19,0.08,0.1,-0.52,ETof
CA_250660,69,0.16,0.23,0.55,0.12,0.48,ETof
CA_250673,47,0.13,0.16,0.4,0.03,0.36,ETof
CA_250696,47,0.26,0.31,0.07,0.04,-2.07,ETof
CA_250757,47,0.21,0.25,0.16,0.02,-0.15,ETof
CA_250774,47,0.14,0.18,0.66,0.01,0.13,ETof
CA_250791,69,0.08,0.09,0.14,0.03,0.1,ETof
CA_250803,47,0.23,0.28,0.2,-0.11,-0.38,ETof
CA_250863,47,0.12,0.17,0.78,-0.06,0.14,ETof
CA_250898,47,0.18,0.23,0.27,0.11,0.26,ETof
CA_250911,69,0.1,0.12,0.47,0.03,0.48,ETof
CA_250917,61,0.3,0.33,-0.21,0.0,0.23,ETof
CA_250919,47,0.23,0.27,0.14,-0.06,0.29,ETof
CA_250938,47,0.33,0.41,-0.82,-0.01,-3.14,ETof
CA_250979,61,0.32,0.4,-0.34,0.29,-0.64,ETof
CA_250998,61,0.12,0.17,0.86,0.08,0.75,ETof
CA_251003,47,0.29,0.36,0.46,0.29,-0.98,ETof
CA_251020,61,0.2,0.24,0.88,0.2,0.51,ETof
CA_251037,69,0.18,0.21,0.14,0.13,-0.28,ETof
CA_251043,69,0.16,0.18,0.31,0.11,0.29,ETof
CA_251053,61,0.21,0.25,0.86,0.21,0.53,ETof
CA_251078,61,0.17,0.2,0.9,0.16,0.46,ETof
CA_251092,47,0.18,0.21,0.75,0.06,-0.59,ETof
CA_251118,47,0.29,0.36,-0.29,0.1,-1.08,ETof
CA_251129,47,0.38,0.46,-0.64,-0.13,-3.2,ETof
CA_251134,47,0.23,0.3,-0.63,0.06,-2.71,ETof
CA_251179,47,0.22,0.29,0.12,0.11,0.15,ETof
CA_251191,47,0.19,0.25,0.5,-0.06,0.45,ETof
CA_251195,61,0.18,0.22,0.63,0.13,0.15,ETof
CA_251304,47,0.33,0.38,-0.32,-0.31,-3.43,ETof
CA_251336,47,0.28,0.35,-0.01,-0.08,-0.81,ETof
CA_251339,47,0.18,0.22,0.22,-0.05,-0.46,ETof
CA_251340,61,0.13,0.18,0.81,0.11,0.69,ETof
CA_251382,47,0.39,0.45,-0.25,0.33,-0.53,ETof
CA_251384,47,0.15,0.18,0.73,-0.09,0.54,ETof
CA_251400,47,0.34,0.4,-0.18,-0.1,-0.35,ETof
CA_251411,47,0.31,0.36,-0.22,0.04,-0.79,ETof
CA_251415,61,0.15,0.19,0.05,-0.02,-0.23,ETof
CA_251450,47,0.26,0.31,0.11,0.15,-0.95,ETof
CA_251476,47,0.22,0.26,-0.13,-0.02,0.06,ETof
CA_251480,47,0.22,0.27,0.11,-0.1,-0.25,ETof
CA_251481,47,0.18,0.23,0.34,-0.14,-0.99,ETof
CA_251524,47,0.19,0.24,0.53,-0.04,0.08,ETof
CA_251529,47,0.23,0.27,0.41,0.12,0.36,ETof
CA_251576,47,0.19,0.24,-0.37,0.02,-0.69,ETof
CA_251578,47,0.27,0.33,0.04,-0.08,-0.4,ETof
CA_251610,47,0.26,0.31,0.52,-0.13,0.36,ETof
CA_251678,47,0.14,0.17,0.63,0.07,0.46,ETof
CA_251688,47,0.33,0.43,-0.25,0.21,-0.08,ETof
CA_251701,47,0.33,0.36,-0.07,-0.04,-0.7,ETof
CA_251743,47,0.14,0.17,0.66,0.04,0.75,ETof
CA_251752,47,0.2,0.26,0.17,-0.06,0.04,ETof
CA_251802,47,0.28,0.33,-0.4,0.04,-1.18,ETof
CA_251803,47,0.23,0.3,0.28,-0.15,-0.57,ETof
CA_251806,47,0.26,0.33,0.32,-0.23,-0.38,ETof
CA_251814,61,0.21,0.28,0.27,0.05,0.06,ETof
CA_251816,47,0.32,0.39,-0.39,-0.03,-1.59,ETof
CA_251820,47,0.21,0.25,-0.11,-0.01,-1.05,ETof
CA_251827,47,0.16,0.2,0.52,0.01,-0.2,ETof
CA_251864,47,0.32,0.37,0.06,-0.17,0.02,ETof
CA_251888,47,0.28,0.36,0.1,0.14,-0.15,ETof
CA_251912,47,0.1,0.13,0.72,-0.01,0.67,ETof
CA_251920,69,0.13,0.15,-0.05,0.09,-0.16,ETof
