forecasting_date,match_window,match_variable,level_3,field_id,crop,mae,rmse,corr,bias,skill_score,c_mae,c_bias,variable
2024-05-06,180,None,48,CA_257756,47,0.09,0.08,0.85,-0.09,-0.27,0.05744444444444443,,ETof
2024-05-06,180,None,49,CA_257924,47,0.15,0.13,-0.98,-0.15,-1.0,0.05312962962962958,,ETof
2024-05-06,180,None,50,CA_244113,47,0.07,0.19,0.86,0.02,-0.12,0.3297222222222224,,ETo
2024-05-06,180,None,51,CA_244387,61,0.26,0.64,0.12,-0.26,-0.82,0.6864814814814814,,ETo
2024-05-06,180,None,52,CA_244479,47,0.32,0.76,-0.22,-0.31,-1.0,0.6309074074074071,,ETo
2024-05-06,180,None,53,CA_245292,47,0.5,1.06,0.63,-0.5,-1.0,0.19548148148148195,,ETo
2024-05-06,180,None,54,CA_246341,47,0.49,1.12,0.9,-0.49,-1.0,0.3505370370370369,,ETo
2024-05-06,180,None,55,CA_246587,47,0.41,0.93,0.94,-0.41,-1.0,0.4219074074074077,,ETo
2024-05-06,180,None,56,CA_246614,47,0.5,1.12,0.89,-0.5,-1.0,0.2822222222222222,,ETo
2024-05-06,180,None,57,CA_246801,47,0.51,1.16,0.92,-0.51,-1.0,0.4126296296296294,,ETo
2024-05-06,180,None,58,CA_246992,47,0.57,1.23,0.88,-0.57,-1.0,0.32727777777777795,,ETo
2024-05-06,180,None,59,CA_247537,47,0.57,1.27,0.88,-0.57,-1.0,0.3456296296296297,,ETo
2024-05-06,180,None,60,CA_247548,61,0.57,1.28,0.92,-0.57,-1.0,0.3842407407407407,,ETo
2024-05-06,180,None,61,CA_247823,69,0.53,1.16,0.69,-0.53,-1.0,0.31544444444444436,,ETo
2024-05-06,180,None,62,CA_247968,61,0.33,0.74,0.79,-0.33,-1.0,0.4116666666666668,,ETo
2024-05-06,180,None,63,CA_248688,61,0.35,0.8,0.86,-0.35,-1.0,0.46831481481481446,,ETo
2024-05-06,180,None,64,CA_248689,47,0.41,0.93,0.9,-0.41,-1.0,0.39598148148148127,,ETo
2024-05-06,180,None,65,CA_248737,47,0.4,0.92,0.88,-0.4,-1.0,0.4884629629629633,,ETo
2024-05-06,180,None,66,CA_249254,47,0.12,0.28,0.68,-0.1,-1.0,0.2764629629629627,,ETo
2024-05-06,180,None,67,CA_249462,69,0.54,1.17,0.68,-0.54,-1.0,0.3258888888888887,,ETo
2024-05-06,180,None,68,CA_249468,69,0.5,1.1,0.71,-0.5,-1.0,0.32037037037037025,,ETo
2024-05-06,180,None,69,CA_249601,69,0.54,1.19,0.67,-0.54,-1.0,0.3401111111111114,,ETo
2024-05-06,180,None,70,CA_249694,69,0.33,0.76,0.8,-0.33,-1.0,0.47435185185185197,,ETo
2024-05-06,180,None,71,CA_249783,69,0.45,1.01,0.93,-0.45,-1.0,0.35727777777777775,,ETo
2024-05-06,180,None,72,CA_249856,69,0.35,0.8,0.88,-0.35,-1.0,0.48175925925925905,,ETo
2024-05-06,180,None,73,CA_249946,61,0.35,0.8,0.83,-0.35,-1.0,0.4830370370370374,,ETo
2024-05-06,180,None,74,CA_250212,69,0.52,1.15,0.77,-0.52,-1.0,0.35381481481481475,,ETo
2024-05-06,180,None,75,CA_250290,69,0.38,0.77,0.85,-0.38,-1.0,0.26053703703703684,,ETo
2024-05-06,180,None,76,CA_250502,47,0.48,1.06,0.82,-0.48,-1.0,0.2819444444444444,,ETo
2024-05-06,180,None,77,CA_251400,47,0.55,1.21,0.71,-0.55,-1.0,0.37688888888888883,,ETo
2024-05-06,180,None,78,CA_252567,47,0.47,1.05,0.8,-0.47,-1.0,0.30677777777777787,,ETo
2024-05-06,180,None,79,CA_252577,47,0.43,0.96,0.85,-0.43,-1.0,0.3109814814814816,,ETo
2024-05-06,180,None,80,CA_252621,47,0.44,0.98,0.74,-0.44,-1.0,0.2894259259259259,,ETo
2024-05-06,180,None,81,CA_253072,47,0.37,0.83,0.86,-0.37,-1.0,0.2977777777777777,,ETo
2024-05-06,180,None,82,CA_253554,47,0.39,0.88,0.82,-0.39,-1.0,0.2999814814814816,,ETo
2024-05-06,180,None,83,CA_253625,47,0.5,1.1,0.75,-0.5,-1.0,0.32466666666666644,,ETo
2024-05-06,180,None,84,CA_253715,47,0.55,1.19,0.67,-0.55,-1.0,0.3411296296296298,,ETo
2024-05-06,180,None,85,CA_253873,47,0.51,1.13,0.75,-0.51,-1.0,0.31216666666666687,,ETo
2024-05-06,180,None,86,CA_254360,47,0.48,1.06,0.74,-0.48,-1.0,0.32781481481481495,,ETo
2024-05-06,180,None,87,CA_254518,47,0.48,1.06,0.71,-0.48,-1.0,0.278111111111111,,ETo
2024-05-06,180,None,88,CA_254559,47,0.52,1.15,0.74,-0.52,-1.0,0.3135185185185187,,ETo
2024-05-06,180,None,89,CA_254644,47,0.5,1.11,0.72,-0.5,-1.0,0.3088888888888886,,ETo
2024-05-06,180,None,90,CA_254907,47,0.14,0.32,0.29,-0.07,-1.0,0.4115000000000002,,ETo
2024-05-06,180,None,91,CA_255156,47,0.55,1.2,0.7,-0.55,-1.0,0.3626666666666667,,ETo
2024-05-06,180,None,92,CA_255325,47,0.54,1.19,0.77,-0.54,-1.0,0.35766666666666663,,ETo
2024-05-06,180,None,93,CA_255613,47,0.51,1.13,0.75,-0.51,-1.0,0.3295925925925928,,ETo
2024-05-06,180,None,94,CA_256638,47,0.13,0.3,0.35,-0.06,-0.85,0.41181481481481513,,ETo
2024-05-06,180,None,95,CA_257473,47,0.55,1.21,0.82,-0.55,-1.0,0.3762407407407406,,ETo
2024-05-06,180,None,96,CA_257648,47,0.49,1.1,0.86,-0.49,-1.0,0.3722777777777777,,ETo
2024-05-06,180,None,97,CA_257744,47,0.53,1.18,0.85,-0.53,-1.0,0.37301851851851825,,ETo
2024-05-06,180,None,98,CA_257756,47,0.52,1.14,0.81,-0.52,-1.0,0.35320370370370363,,ETo
2024-05-06,180,None,99,CA_257924,47,0.53,1.18,0.85,-0.53,-1.0,0.37301851851851825,,ETo
2024-05-06,180,None,100,CA_244113,47,0.06,0.08,0.12,-0.03,-0.35,0.06970370370370375,,ET
2024-05-06,180,None,101,CA_244387,61,0.53,0.89,-0.41,-0.53,0.15,1.3228333333333335,,ET
2024-05-06,180,None,102,CA_244479,47,0.29,0.68,-0.35,-0.26,-1.0,0.5683888888888888,,ET
2024-05-06,180,None,103,CA_245292,47,0.1,0.17,0.98,-0.1,0.85,0.7301481481481481,,ET
2024-05-06,180,None,104,CA_246341,47,0.22,0.25,0.58,0.22,0.82,0.6383148148148148,,ET
2024-05-06,180,None,105,CA_246587,47,0.84,1.38,0.94,-0.84,-1.0,0.7608333333333336,,ET
2024-05-06,180,None,106,CA_246614,47,0.22,0.44,0.86,-0.22,-1.0,0.29487037037037017,,ET
2024-05-06,180,None,107,CA_246801,47,0.4,0.57,0.17,-0.4,0.4,0.996759259259259,,ET
2024-05-06,180,None,108,CA_246992,47,0.44,0.77,-0.83,0.44,-1.0,0.23722222222222236,,ET
2024-05-06,180,None,109,CA_247537,47,0.26,0.41,0.85,-0.26,-1.0,0.12149999999999994,,ET
2024-05-06,180,None,110,CA_247548,61,0.21,0.28,-0.33,0.21,0.72,0.6253148148148148,,ET
2024-05-06,180,None,111,CA_247823,69,0.9,0.81,0.96,0.9,0.91,2.4445,,ET
2024-05-06,180,None,112,CA_247968,61,0.08,0.25,0.54,-0.07,0.94,1.842685185185185,,ET
2024-05-06,180,None,113,CA_248688,61,1.76,2.33,0.45,1.76,-1.0,0.30488888888888893,,ET
2024-05-06,180,None,114,CA_248689,47,0.11,0.2,0.77,0.09,0.08,0.30031481481481465,,ET
2024-05-06,180,None,115,CA_248737,47,0.77,1.47,-0.29,0.77,-0.17,2.5711481481481484,,ET
2024-05-06,180,None,116,CA_249254,47,0.2,0.25,-0.82,-0.13,-1.0,0.1324444444444445,,ET
2024-05-06,180,None,117,CA_249462,69,0.7,1.21,-0.69,0.7,0.42,2.701351851851852,,ET
2024-05-06,180,None,118,CA_249468,69,0.35,0.34,-0.84,-0.35,-0.6,0.258388888888889,,ET
2024-05-06,180,None,119,CA_249601,69,1.25,2.04,0.94,1.25,-0.29,2.9199629629629626,,ET
2024-05-06,180,None,120,CA_249694,69,0.13,0.36,0.4,-0.12,0.91,2.486314814814815,,ET
2024-05-06,180,None,121,CA_249783,69,1.08,1.58,-0.7,-1.08,-0.41,1.9181296296296295,,ET
2024-05-06,180,None,122,CA_249856,69,0.37,0.68,0.73,-0.37,0.59,1.813037037037037,,ET
2024-05-06,180,None,123,CA_249946,61,0.49,0.87,0.35,-0.49,-1.0,0.5971111111111114,,ET
2024-05-06,180,None,124,CA_250212,69,0.37,0.69,0.64,0.37,-1.0,0.6751296296296295,,ET
2024-05-06,180,None,125,CA_250290,69,0.17,0.32,-0.42,0.13,0.14,0.43583333333333324,,ET
2024-05-06,180,None,126,CA_250502,47,0.06,0.12,0.98,-0.01,0.87,0.6043888888888891,,ET
2024-05-06,180,None,127,CA_251400,47,1.32,1.43,-0.52,-1.32,-1.0,0.836,,ET
2024-05-06,180,None,128,CA_252567,47,0.39,0.44,0.3,0.39,0.75,0.9867407407407406,,ET
2024-05-06,180,None,129,CA_252577,47,0.36,0.81,0.29,-0.36,0.52,2.441759259259259,,ET
2024-05-06,180,None,130,CA_252621,47,0.35,0.69,0.94,-0.35,-1.0,0.6779629629629628,,ET
2024-05-06,180,None,131,CA_253072,47,0.47,0.69,0.96,-0.47,0.65,1.6659074074074074,,ET
2024-05-06,180,None,132,CA_253554,47,0.9,0.67,0.82,0.9,0.97,3.081074074074074,,ET
2024-05-06,180,None,133,CA_253625,47,0.38,0.82,-0.33,-0.38,-1.0,0.3250925925925923,,ET
2024-05-06,180,None,134,CA_253715,47,0.39,0.81,-0.53,-0.39,-1.0,0.2847037037037035,,ET
2024-05-06,180,None,135,CA_253873,47,0.38,0.85,0.38,-0.38,-1.0,0.3283888888888889,,ET
2024-05-06,180,None,136,CA_254360,47,0.28,0.49,0.96,-0.28,0.56,1.231240740740741,,ET
2024-05-06,180,None,137,CA_254518,47,0.11,0.2,0.5,0.05,0.63,0.5470740740740739,,ET
2024-05-06,180,None,138,CA_254559,47,3.12,3.29,0.87,3.12,-0.97,2.426037037037037,,ET
2024-05-06,180,None,139,CA_254644,47,0.62,1.3,0.98,-0.62,-0.29,2.380259259259259,,ET
2024-05-06,180,None,140,CA_254907,47,0.1,0.2,0.39,0.01,0.93,1.373,,ET
2024-05-06,180,None,141,CA_255156,47,0.37,0.84,0.2,-0.37,-1.0,0.26985185185185195,,ET
2024-05-06,180,None,142,CA_255325,47,0.39,0.5,0.92,-0.39,0.96,3.077666666666667,,ET
2024-05-06,180,None,143,CA_255613,47,0.53,1.15,0.75,-0.53,-1.0,0.2869814814814811,,ET
2024-05-06,180,None,144,CA_256638,47,0.11,0.17,0.72,0.1,0.6,0.2990740740740741,,ET
2024-05-06,180,None,145,CA_257473,47,0.14,0.3,0.53,-0.08,0.92,2.0811296296296296,,ET
2024-05-06,180,None,146,CA_257648,47,0.1,0.19,0.95,-0.02,0.12,0.2748148148148149,,ET
2024-05-06,180,None,147,CA_257744,47,0.35,0.68,0.91,-0.35,-1.0,0.487740740740741,,ET
2024-05-06,180,None,148,CA_257756,47,0.45,0.85,0.97,-0.45,-1.0,0.2816481481481483,,ET
2024-05-06,180,None,149,CA_257924,47,0.5,0.97,-0.25,-0.5,-1.0,0.34474074074074096,,ET
2024-05-06,180,ndvi,0,CA_244113,47,0.66,0.4,0.94,0.66,-1.0,0.01707407407407407,,ETof
2024-05-06,180,ndvi,1,CA_244387,61,0.64,0.54,0.6,-0.64,-1.0,0.17681481481481484,,ETof
2024-05-06,180,ndvi,2,CA_244479,47,0.6,0.61,-0.89,0.6,-1.0,0.17666666666666667,,ETof
2024-05-06,180,ndvi,3,CA_245292,47,0.12,0.11,0.93,-0.12,0.54,0.13072222222222227,,ETof
2024-05-06,180,ndvi,4,CA_246341,47,1.47,0.91,0.35,1.47,-1.0,0.11827777777777777,,ETof
2024-05-06,180,ndvi,5,CA_246587,47,0.49,0.37,0.82,-0.49,-1.0,0.08820370370370369,,ETof
2024-05-06,180,ndvi,6,CA_246614,47,0.03,0.03,-0.96,0.0,0.14,0.021351851851851844,,ETof
2024-05-06,180,ndvi,7,CA_246801,47,0.32,0.23,0.9,0.32,-0.25,0.1358148148148148,,ETof
2024-05-06,180,ndvi,8,CA_246992,47,0.1,0.08,0.89,0.1,-1.0,0.01524074074074074,,ETof
2024-05-06,180,ndvi,9,CA_247537,47,0.15,0.11,-0.74,0.15,-1.0,0.03314814814814814,,ETof
2024-05-06,180,ndvi,10,CA_247548,61,0.5,0.3,0.65,0.5,-1.0,0.12690740740740739,,ETof
2024-05-06,180,ndvi,11,CA_247823,69,0.64,0.34,0.97,0.64,0.82,0.4357037037037037,,ETof
2024-05-06,180,ndvi,12,CA_247968,61,0.47,0.4,-0.93,-0.47,-0.0,0.3238148148148148,,ETof
2024-05-06,180,ndvi,13,CA_248688,61,0.31,0.2,0.14,-0.31,-1.0,0.024907407407407416,,ETof
2024-05-06,180,ndvi,14,CA_248689,47,0.41,0.32,0.27,0.41,-1.0,0.07485185185185188,,ETof
2024-05-06,180,ndvi,15,CA_248737,47,0.7,0.63,-0.39,0.7,-0.46,0.4596481481481481,,ETof
2024-05-06,180,ndvi,16,CA_249254,47,1.82,1.08,0.94,1.82,-1.0,0.016666666666666673,,ETof
2024-05-06,180,ndvi,17,CA_249462,69,0.47,0.41,0.66,0.47,0.51,0.5111851851851852,,ETof
2024-05-06,180,ndvi,18,CA_249468,69,1.96,0.96,-0.36,1.96,-1.0,0.056388888888888884,,ETof
2024-05-06,180,ndvi,19,CA_249601,69,1.47,1.06,-0.71,1.47,-1.0,0.5307222222222222,,ETof
2024-05-06,180,ndvi,20,CA_249694,69,0.07,0.07,-0.62,-0.07,0.97,0.41705555555555557,,ETof
2024-05-06,180,ndvi,21,CA_249783,69,0.76,0.54,-0.98,-0.76,-0.34,0.33281481481481484,,ETof
2024-05-06,180,ndvi,22,CA_249856,69,0.21,0.17,-0.49,-0.21,0.81,0.31444444444444447,,ETof
2024-05-06,180,ndvi,23,CA_249946,61,0.36,0.27,-0.87,-0.36,-1.0,0.11525925925925917,,ETof
2024-05-06,180,ndvi,24,CA_250212,69,0.45,0.41,0.92,0.45,-1.0,0.12705555555555556,,ETof
2024-05-06,180,ndvi,25,CA_250290,69,0.66,0.53,-0.97,-0.66,-1.0,0.08535185185185189,,ETof
2024-05-06,180,ndvi,26,CA_250502,47,0.12,0.12,-0.54,-0.11,-1.0,0.07640740740740744,,ETof
2024-05-06,180,ndvi,27,CA_251400,47,0.53,0.29,0.5,-0.53,-0.22,0.14587037037037037,,ETof
2024-05-06,180,ndvi,28,CA_252567,47,1.99,1.32,0.94,1.99,-1.0,0.1904074074074074,,ETof
2024-05-06,180,ndvi,29,CA_252577,47,0.13,0.13,-0.96,-0.13,0.91,0.3984814814814815,,ETof
2024-05-06,180,ndvi,30,CA_252621,47,0.12,0.1,0.35,0.12,0.23,0.09861111111111114,,ETof
2024-05-06,180,ndvi,31,CA_253072,47,1.96,1.37,-0.74,1.96,-1.0,0.3174814814814815,,ETof
2024-05-06,180,ndvi,32,CA_253554,47,0.97,0.37,0.74,0.97,0.94,0.5668333333333333,,ETof
2024-05-06,180,ndvi,33,CA_253625,47,0.75,0.72,0.89,0.75,-1.0,0.018962962962962904,,ETof
2024-05-06,180,ndvi,34,CA_253715,47,0.14,0.13,0.52,0.14,-1.0,0.015000000000000032,,ETof
2024-05-06,180,ndvi,35,CA_253873,47,0.19,0.19,-0.97,0.19,-1.0,0.023018518518518622,,ETof
2024-05-06,180,ndvi,36,CA_254360,47,0.46,0.37,-0.56,-0.46,-1.0,0.20238888888888887,,ETof
2024-05-06,180,ndvi,37,CA_254518,47,0.57,0.48,-0.55,0.57,-1.0,0.10444444444444441,,ETof
2024-05-06,180,ndvi,38,CA_254559,47,2.55,1.47,-0.08,2.55,-1.0,0.44524074074074077,,ETof
2024-05-06,180,ndvi,39,CA_254644,47,0.2,0.19,0.95,-0.2,0.76,0.3861851851851852,,ETof
2024-05-06,180,ndvi,40,CA_254907,47,0.13,0.11,0.38,0.13,0.85,0.236537037037037,,ETof
2024-05-06,180,ndvi,41,CA_255156,47,0.05,0.05,-0.39,-0.05,-1.0,0.02918518518518524,,ETof
2024-05-06,180,ndvi,42,CA_255325,47,0.04,0.03,0.59,-0.04,1.0,0.5492592592592592,,ETof
2024-05-06,180,ndvi,43,CA_255613,47,0.24,0.24,0.94,0.24,-1.0,0.009907407407407401,,ETof
2024-05-06,180,ndvi,44,CA_256638,47,1.31,0.88,0.3,1.31,-1.0,0.07496296296296297,,ETof
2024-05-06,180,ndvi,45,CA_257473,47,0.11,0.1,0.82,0.11,0.92,0.3459444444444444,,ETof
2024-05-06,180,ndvi,46,CA_257648,47,0.73,0.58,-0.86,0.73,-1.0,0.031111111111111128,,ETof
2024-05-06,180,ndvi,47,CA_257744,47,0.19,0.16,0.94,0.19,-1.0,0.03931481481481475,,ETof
2024-05-06,180,ndvi,48,CA_257756,47,0.7,0.59,-0.98,0.7,-1.0,0.05744444444444443,,ETof
2024-05-06,180,ndvi,49,CA_257924,47,0.12,0.11,-0.9,-0.12,-1.0,0.05312962962962958,,ETof
2024-05-06,180,ndvi,50,CA_244113,47,0.46,1.06,0.98,-0.46,-1.0,0.3297222222222224,,ETo
2024-05-06,180,ndvi,51,CA_244387,61,0.24,0.73,0.35,0.12,-1.0,0.6864814814814814,,ETo
2024-05-06,180,ndvi,52,CA_244479,47,0.32,0.76,-0.22,-0.31,-1.0,0.6309074074074071,,ETo
2024-05-06,180,ndvi,53,CA_245292,47,0.42,0.88,0.99,-0.42,-1.0,0.19548148148148195,,ETo
2024-05-06,180,ndvi,54,CA_246341,47,0.49,1.12,0.9,-0.49,-1.0,0.3505370370370369,,ETo
2024-05-06,180,ndvi,55,CA_246587,47,0.58,1.31,0.98,-0.58,-1.0,0.4219074074074077,,ETo
2024-05-06,180,ndvi,56,CA_246614,47,0.45,1.01,0.99,-0.45,-1.0,0.2822222222222222,,ETo
2024-05-06,180,ndvi,57,CA_246801,47,0.52,1.18,0.97,-0.52,-1.0,0.4126296296296294,,ETo
2024-05-06,180,ndvi,58,CA_246992,47,0.53,1.14,0.97,-0.53,-1.0,0.32727777777777795,,ETo
2024-05-06,180,ndvi,59,CA_247537,47,0.5,1.12,0.97,-0.5,-1.0,0.3456296296296297,,ETo
2024-05-06,180,ndvi,60,CA_247548,61,0.5,1.13,0.98,-0.5,-1.0,0.3842407407407407,,ETo
2024-05-06,180,ndvi,61,CA_247823,69,0.32,0.75,-0.23,0.32,-1.0,0.31544444444444436,,ETo
2024-05-06,180,ndvi,62,CA_247968,61,0.37,0.82,0.76,0.37,-1.0,0.4116666666666668,,ETo
2024-05-06,180,ndvi,63,CA_248688,61,0.69,1.55,0.0,0.69,-1.0,0.46831481481481446,,ETo
2024-05-06,180,ndvi,64,CA_248689,47,0.27,0.62,0.75,-0.27,-1.0,0.39598148148148127,,ETo
2024-05-06,180,ndvi,65,CA_248737,47,0.12,0.3,0.4,0.01,-0.4,0.4884629629629633,,ETo
2024-05-06,180,ndvi,66,CA_249254,47,0.51,1.12,0.89,-0.51,-1.0,0.2764629629629627,,ETo
2024-05-06,180,ndvi,67,CA_249462,69,0.36,0.86,-0.87,0.36,-1.0,0.3258888888888887,,ETo
2024-05-06,180,ndvi,68,CA_249468,69,0.34,0.83,-0.93,0.34,-1.0,0.32037037037037025,,ETo
2024-05-06,180,ndvi,69,CA_249601,69,0.42,0.9,0.97,-0.42,-1.0,0.3401111111111114,,ETo
2024-05-06,180,ndvi,70,CA_249694,69,0.12,0.29,0.36,-0.04,-0.37,0.47435185185185197,,ETo
2024-05-06,180,ndvi,71,CA_249783,69,0.45,1.01,0.93,-0.45,-1.0,0.35727777777777775,,ETo
2024-05-06,180,ndvi,72,CA_249856,69,0.15,0.38,0.77,-0.15,-1.0,0.48175925925925905,,ETo
2024-05-06,180,ndvi,73,CA_249946,61,0.12,0.31,0.31,-0.04,-0.47,0.4830370370370374,,ETo
2024-05-06,180,ndvi,74,CA_250212,69,0.39,0.91,-0.61,0.39,-1.0,0.35381481481481475,,ETo
2024-05-06,180,ndvi,75,CA_250290,69,0.38,0.77,0.85,-0.38,-1.0,0.26053703703703684,,ETo
2024-05-06,180,ndvi,76,CA_250502,47,0.57,1.31,-0.86,0.57,-1.0,0.2819444444444444,,ETo
2024-05-06,180,ndvi,77,CA_251400,47,0.79,1.72,0.88,0.79,-1.0,0.37688888888888883,,ETo
2024-05-06,180,ndvi,78,CA_252567,47,0.47,1.05,0.8,-0.47,-1.0,0.30677777777777787,,ETo
2024-05-06,180,ndvi,79,CA_252577,47,0.39,0.87,0.96,-0.39,-1.0,0.3109814814814816,,ETo
