forecasting_date,level_1,field_id,crop,mae,rmse,corr,bias,skill_score,variable
2024-09-18,113,CA_246318,47,1.9,1.09,,1.9,-1.0,ETof
2024-09-18,114,CA_246321,69,0.36,0.3,0.0,-0.36,0.1,ETof
2024-09-18,115,CA_246341,47,0.1,0.12,,-0.1,0.81,ETof
2024-09-18,116,CA_246364,69,0.43,0.21,,-0.43,-0.87,ETof
2024-09-18,117,CA_246370,61,0.64,0.18,,0.29,0.84,ETof
2024-09-18,118,CA_246427,69,0.02,0.01,-0.0,0.02,1.0,ETof
2024-09-18,119,CA_246436,47,0.15,0.1,,-0.15,0.89,ETof
2024-09-18,120,CA_246448,61,4.26,0.89,0.0,4.26,-1.0,ETof
2024-09-18,121,CA_246458,69,0.22,0.15,-0.0,0.22,-1.0,ETof
2024-09-18,122,CA_246473,69,0.43,0.38,,-0.43,-0.52,ETof
2024-09-18,123,CA_246532,47,0.84,0.54,-0.0,0.49,0.46,ETof
2024-09-18,124,CA_246533,69,0.44,0.35,,-0.44,-0.77,ETof
2024-09-18,125,CA_246558,69,0.22,0.15,,-0.22,-0.01,ETof
2024-09-18,126,CA_246568,69,0.44,0.18,,0.44,-1.0,ETof
2024-09-18,127,CA_246587,47,0.3,0.2,,-0.02,-0.16,ETof
2024-09-18,128,CA_246593,61,1.76,0.6,,1.76,-1.0,ETof
2024-09-18,129,CA_246614,47,0.17,0.18,,-0.17,0.78,ETof
2024-09-18,130,CA_246665,47,0.4,0.36,,-0.4,-0.64,ETof
2024-09-18,131,CA_246673,69,0.58,0.41,,-0.58,-1.0,ETof
2024-09-18,132,CA_246679,69,0.38,0.22,,0.38,-1.0,ETof
2024-09-18,133,CA_246729,61,0.27,0.12,,-0.27,-1.0,ETof
2024-09-18,134,CA_246755,69,0.45,0.38,-0.0,-0.45,-0.93,ETof
2024-09-18,135,CA_246756,69,0.16,0.1,,-0.16,0.42,ETof
2024-09-18,136,CA_246757,69,0.15,0.09,,0.15,0.65,ETof
2024-09-18,137,CA_246801,47,0.13,0.14,-0.0,-0.13,0.77,ETof
2024-09-18,138,CA_246807,61,0.06,0.03,0.0,-0.06,0.67,ETof
2024-09-18,139,CA_246812,69,0.24,0.18,,-0.24,0.32,ETof
2024-09-18,140,CA_246835,69,0.1,0.1,,-0.1,0.71,ETof
2024-09-18,141,CA_246861,47,0.36,0.25,,-0.36,0.67,ETof
2024-09-18,142,CA_246869,69,0.14,0.12,,-0.14,0.84,ETof
2024-09-18,143,CA_246876,69,0.38,0.27,,-0.38,-1.0,ETof
2024-09-18,144,CA_246910,69,0.15,0.11,,-0.15,0.66,ETof
2024-09-18,145,CA_246928,47,0.25,0.19,,0.25,0.21,ETof
2024-09-18,146,CA_246965,47,1.26,0.66,,1.26,-1.0,ETof
2024-09-18,147,CA_246967,61,0.56,0.23,,0.4,-1.0,ETof
2024-09-18,148,CA_246992,47,0.21,0.18,,-0.21,0.25,ETof
2024-09-18,149,CA_247003,69,0.1,0.05,,0.04,0.89,ETof
2024-09-18,150,CA_247012,47,0.87,0.54,,0.66,-0.01,ETof
2024-09-18,151,CA_247066,47,0.13,0.13,,-0.01,0.67,ETof
2024-09-18,152,CA_247155,47,0.79,0.68,,-0.79,-1.0,ETof
2024-09-18,153,CA_247159,47,0.61,0.64,0.0,-0.61,-1.0,ETof
2024-09-18,154,CA_247174,69,0.94,0.47,,0.94,0.27,ETof
2024-09-18,155,CA_247196,69,0.33,0.32,,-0.33,-0.37,ETof
2024-09-18,156,CA_247211,47,0.31,0.32,,0.31,-1.0,ETof
2024-09-18,157,CA_247235,47,0.29,0.21,,-0.29,0.2,ETof
2024-09-18,158,CA_247267,69,0.76,0.54,,-0.76,-1.0,ETof
2024-09-18,159,CA_247271,69,0.49,0.31,0.0,-0.49,-1.0,ETof
2024-09-18,160,CA_247278,69,0.24,0.19,,-0.24,0.64,ETof
2024-09-18,161,CA_247296,61,0.13,0.07,0.0,0.13,0.86,ETof
2024-09-18,162,CA_247299,47,0.16,0.07,,-0.07,0.99,ETof
2024-09-18,163,CA_247304,47,0.2,0.2,0.0,-0.2,0.63,ETof
2024-09-18,164,CA_247318,47,0.39,0.34,,0.23,-1.0,ETof
2024-09-18,165,CA_247319,69,0.5,0.35,0.0,-0.5,-0.73,ETof
2024-09-18,166,CA_247331,69,0.51,0.33,,-0.51,-1.0,ETof
2024-09-18,167,CA_247350,47,0.26,0.24,0.0,-0.13,0.59,ETof
2024-09-18,168,CA_247354,69,0.63,0.32,,-0.63,-1.0,ETof
2024-09-18,169,CA_247369,47,0.11,0.13,0.0,0.11,0.63,ETof
2024-09-18,170,CA_247395,47,0.24,0.14,,-0.24,0.18,ETof
2024-09-18,171,CA_247396,69,0.4,0.33,,-0.4,-1.0,ETof
2024-09-18,172,CA_247400,47,0.01,0.02,-0.0,0.01,1.0,ETof
2024-09-18,173,CA_247408,69,0.25,0.19,,-0.25,-1.0,ETof
2024-09-18,174,CA_247416,61,0.09,0.06,,0.09,-0.17,ETof
2024-09-18,175,CA_247439,47,0.05,0.02,0.0,0.05,0.95,ETof
2024-09-18,176,CA_247454,47,0.36,0.22,0.0,0.36,0.73,ETof
2024-09-18,177,CA_247470,47,0.13,0.13,-0.0,-0.04,-1.0,ETof
