forecasting_date,match_window,match_variable,level_3,field_id,crop,mae,rmse,corr,bias,skill_score,variable
2024-06-03,180,None,59,CA_302578,75,0.31,0.68,0.16,-0.31,-1.0,ETo
2024-06-03,180,None,60,CA_302669,72,0.16,0.4,0.54,-0.13,-1.0,ETo
2024-06-03,180,None,61,CA_303433,72,0.08,0.18,0.58,-0.02,0.38,ETo
2024-06-03,180,None,62,CA_303972,47,0.12,0.29,0.5,-0.06,0.06,ETo
2024-06-03,180,None,63,CA_304258,72,0.09,0.22,0.58,-0.05,-0.09,ETo
2024-06-03,180,None,64,CA_304688,72,0.12,0.29,0.52,-0.06,-0.03,ETo
2024-06-03,180,None,65,CA_305684,204,0.33,0.72,0.0,-0.33,-1.0,ETo
2024-06-03,180,None,66,CA_306027,204,0.09,0.2,0.64,-0.07,-0.43,ETo
2024-06-03,180,None,67,CA_306521,204,0.28,0.59,-0.14,-0.28,-1.0,ETo
2024-06-03,180,None,68,CA_307370,204,0.11,0.28,0.57,-0.05,-0.05,ETo
2024-06-03,180,None,69,CA_307376,204,0.11,0.28,0.57,-0.05,-0.05,ETo
2024-06-03,180,None,70,CA_307472,204,0.12,0.28,0.56,-0.05,-0.05,ETo
2024-06-03,180,None,71,CA_307774,204,0.09,0.21,0.7,-0.09,-1.0,ETo
2024-06-03,180,None,72,CA_32080,75,0.26,0.59,0.9,-0.26,-0.71,ETo
2024-06-03,180,None,73,CA_32260,61,0.26,0.58,0.88,-0.26,-0.91,ETo
2024-06-03,180,None,74,CA_32418,47,0.23,0.54,0.83,-0.23,-1.0,ETo
2024-06-03,180,None,75,CA_32637,47,0.17,0.41,0.41,0.01,0.21,ETo
2024-06-03,180,None,76,CA_32667,61,0.21,0.52,0.67,-0.21,-1.0,ETo
2024-06-03,180,None,77,CA_35772,36,0.28,0.63,0.88,-0.28,-0.96,ETo
2024-06-03,180,None,78,CA_36095,61,0.24,0.55,0.86,-0.24,-1.0,ETo
2024-06-03,180,None,79,CA_36121,47,0.14,0.32,0.65,0.0,0.37,ETo
2024-06-03,180,None,80,CA_36281,61,0.13,0.33,0.6,0.02,0.28,ETo
2024-06-03,180,None,81,CA_36850,61,0.14,0.33,0.53,0.01,0.31,ETo
2024-06-03,180,None,82,CA_36898,37,0.15,0.34,0.51,-0.01,0.36,ETo
2024-06-03,180,None,83,CA_36982,241,0.14,0.33,0.53,0.01,0.31,ETo
2024-06-03,180,None,84,CA_37400,61,0.16,0.38,0.34,0.01,0.22,ETo
2024-06-03,180,None,85,CA_37674,47,0.12,0.29,0.54,0.05,0.17,ETo
2024-06-03,180,None,86,CA_37683,61,0.14,0.36,0.52,0.03,0.21,ETo
2024-06-03,180,None,87,CA_37890,241,0.12,0.29,0.5,0.03,0.31,ETo
2024-06-03,180,None,88,CA_38650,47,0.12,0.3,0.67,0.03,0.29,ETo
2024-06-03,180,None,89,CA_38734,204,0.19,0.46,0.84,-0.19,-0.83,ETo
2024-06-03,180,None,90,CA_38912,69,0.13,0.32,0.51,0.07,0.01,ETo
2024-06-03,180,None,91,CA_39031,69,0.13,0.3,0.5,0.05,0.16,ETo
2024-06-03,180,None,92,CA_39032,69,0.12,0.29,0.54,0.05,0.17,ETo
2024-06-03,180,None,93,CA_39770,69,0.1,0.27,0.58,0.02,0.39,ETo
2024-06-03,180,None,94,CA_40009,69,0.25,0.57,0.82,-0.25,-1.0,ETo
2024-06-03,180,None,95,CA_41244,69,0.25,0.56,0.82,-0.25,-1.0,ETo
2024-06-03,180,None,96,CA_41458,69,0.17,0.42,0.8,-0.16,-0.86,ETo
2024-06-03,180,None,97,CA_41682,69,0.14,0.35,0.54,0.02,0.27,ETo
2024-06-03,180,None,98,CA_42021,69,0.23,0.54,0.74,-0.23,-1.0,ETo
2024-06-03,180,None,99,CA_42143,69,0.19,0.47,0.62,-0.18,-1.0,ETo
2024-06-03,180,None,100,CA_298397,75,0.2,0.3,0.13,-0.2,0.41,ET
2024-06-03,180,None,101,CA_299395,75,0.15,0.36,0.71,-0.14,0.92,ET
2024-06-03,180,None,102,CA_299467,75,0.45,0.88,-0.11,0.45,-1.0,ET
2024-06-03,180,None,103,CA_300271,75,0.32,0.56,-0.87,0.22,-1.0,ET
