field_id,crop,mae,rmse,corr,bias,skill_score
CA_218007,176,2.91,4.41,0.93,2.32,0.77
CA_218312,211,1.18,1.84,0.96,-0.33,0.92
CA_218326,47,1.21,1.97,0.96,-0.28,0.92
CA_218428,47,1.18,1.83,0.92,0.53,0.82
CA_218496,141,2.24,3.66,0.94,-0.41,0.88
CA_218504,61,1.44,2.31,0.96,0.12,0.91
CA_218705,69,1.63,2.78,0.73,0.97,0.48
CA_219484,220,1.91,3.2,0.93,1.02,0.86
CA_221043,176,1.78,2.57,0.95,-0.39,0.87
CA_222239,176,1.85,2.83,0.95,0.67,0.89
CA_223390,176,2.97,4.83,0.68,2.93,0.3
CA_223445,47,1.67,2.47,0.93,-0.29,0.86
CA_223674,47,4.92,8.1,0.63,3.22,0.36
CA_224158,47,4.6,7.51,0.79,-0.69,0.45
CA_224522,47,3.47,5.89,0.86,1.12,0.71
CA_225250,47,2.3,3.33,0.9,-0.92,0.76
CA_225292,47,1.17,2.13,0.88,-0.05,0.77
CA_225626,67,1.6,2.7,0.97,0.39,0.93
CA_226101,241,4.12,8.14,0.88,0.75,0.73
CA_226270,36,4.1,7.48,0.91,-3.3,0.72
CA_226383,176,4.11,8.82,0.59,4.11,0.29
CA_227224,75,1.82,2.9,0.96,1.2,0.9
CA_227400,75,2.41,4.39,0.94,1.96,0.84
CA_227632,75,2.21,3.62,0.95,-0.46,0.9
CA_228703,176,2.28,3.56,0.96,-0.38,0.89
CA_228776,36,2.39,4.43,0.92,-1.62,0.74
CA_229866,47,5.32,9.45,0.81,2.39,0.61
CA_229991,72,2.04,3.35,0.87,-1.56,0.66
CA_230025,61,1.38,2.4,0.95,-0.61,0.9
CA_231117,72,1.81,2.93,0.87,-0.55,0.69
CA_231410,215,1.96,3.32,0.94,-0.82,0.84
CA_231654,215,2.17,3.65,0.93,-0.96,0.79
CA_232673,61,3.61,6.59,0.59,3.28,0.2
CA_233234,61,3.08,4.64,0.81,2.19,0.51
CA_235415,76,0.88,1.43,0.98,0.57,0.95
CA_235534,66,2.16,3.61,0.89,-0.7,0.75
CA_237235,61,1.52,2.35,0.98,0.42,0.96
CA_23925,176,1.86,2.98,0.96,1.38,0.89
CA_239486,220,1.4,2.38,0.98,-0.12,0.96
CA_240061,176,1.94,3.3,0.94,0.39,0.88
CA_240493,61,2.73,4.96,0.63,2.57,0.31
CA_241505,75,2.65,4.07,0.96,-0.4,0.91
CA_241534,76,2.17,3.69,0.96,-0.9,0.9
CA_242010,75,2.18,3.77,0.92,0.77,0.84
CA_243548,176,9.13,14.42,0.49,9.13,0.13
CA_244021,47,8.4,14.99,0.75,-8.27,0.25
CA_245311,72,1.46,2.7,0.95,0.22,0.9
CA_245360,72,1.29,2.02,0.96,-0.08,0.85
CA_245541,72,1.0,1.94,0.97,-0.03,0.94
CA_246113,61,1.93,3.1,0.79,0.8,0.45
CA_246529,47,1.64,2.59,0.92,0.24,0.84
CA_2468,47,4.54,7.29,0.65,4.48,0.31
CA_249018,241,4.18,7.81,0.77,0.43,0.58
CA_249272,47,1.04,2.05,0.73,0.56,0.5
CA_249396,47,5.02,8.66,0.55,-1.03,0.01
CA_250091,72,0.87,1.37,0.88,0.23,0.75
CA_250892,78,2.28,4.18,0.98,-0.86,0.94
CA_251273,61,0.68,1.14,0.99,0.02,0.98
CA_25134,47,1.4,2.43,0.97,-0.88,0.9
CA_251494,204,1.53,2.59,0.96,-0.74,0.92
CA_251657,204,2.01,3.21,0.97,0.63,0.94
CA_251751,75,1.44,2.3,0.81,1.06,0.6
CA_253114,75,1.12,1.88,0.75,-1.02,0.15
CA_253591,61,1.33,2.4,0.99,0.43,0.97
CA_254138,204,1.85,3.33,0.98,-0.98,0.94
CA_256200,78,1.73,3.18,0.98,-0.28,0.95
CA_25646,47,1.25,2.11,0.96,0.07,0.91
CA_256986,78,2.19,3.71,0.97,-0.66,0.92
CA_257116,75,1.92,3.52,0.98,-1.34,0.95
CA_25726,61,2.36,4.13,0.89,1.62,0.76
CA_257302,75,3.68,6.24,0.93,-3.23,0.83
CA_25763,47,1.59,2.63,0.94,-0.51,0.86
CA_258127,78,2.39,4.37,0.84,1.61,0.65
CA_258472,78,2.6,4.91,0.91,1.55,0.8
CA_258631,78,2.46,4.07,0.91,-0.26,0.74
CA_259153,72,1.98,3.51,0.6,1.38,0.32
CA_259701,72,1.83,3.03,0.97,-0.29,0.9
CA_259742,75,2.23,4.31,0.97,-1.34,0.92
CA_260826,61,6.43,12.27,0.47,2.4,0.21
CA_261291,47,1.91,3.65,0.97,-0.84,0.93
CA_262871,204,2.04,3.6,0.97,0.36,0.94
CA_262885,72,2.45,4.06,0.94,-0.58,0.79
