field_id,crop,mae,rmse,corr,bias,skill_score
CA_32722,204,2.44,4.06,0.95,2.07,0.84
CA_327307,61,2.83,4.4,0.83,2.75,0.4
CA_328830,72,1.8,3.0,0.96,-0.83,0.91
CA_328974,215,2.14,3.56,0.93,0.12,0.86
CA_329212,72,2.7,4.2,0.72,1.9,0.3
CA_330488,215,2.84,4.82,0.87,-0.5,0.64
CA_330672,72,3.12,4.41,0.7,1.57,0.15
CA_33134,204,1.54,2.52,0.98,-0.03,0.97
CA_332205,47,2.12,3.4,0.87,0.33,0.71
CA_333756,67,1.66,3.16,0.99,-1.06,0.95
CA_336306,67,1.57,3.03,0.96,-1.01,0.85
CA_338036,47,2.23,3.77,0.95,1.92,0.85
CA_33823,75,2.55,4.16,0.97,-0.2,0.93
CA_339336,75,1.22,2.35,0.97,0.54,0.93
CA_339570,67,2.76,5.0,0.98,-1.7,0.9
CA_339856,211,1.62,2.78,0.96,0.67,0.92
CA_340098,78,2.07,4.0,0.9,1.75,0.76
CA_340477,47,1.76,3.01,0.97,1.37,0.94
CA_340795,61,1.44,2.29,0.59,0.03,0.14
CA_341013,47,3.52,4.9,0.73,2.76,0.26
CA_342669,36,2.04,4.07,0.87,0.77,0.74
CA_342781,176,1.78,3.52,0.9,-1.07,0.53
CA_343221,47,7.03,13.4,0.75,6.48,0.22
CA_343274,47,2.26,4.93,0.5,-1.57,-1.21
CA_343648,36,4.93,9.15,0.65,1.35,0.41
CA_343666,47,1.3,2.56,0.78,0.72,0.58
CA_343782,61,7.97,15.15,0.21,7.73,0.02
CA_343914,47,1.23,1.91,0.95,0.54,0.9
CA_34492,241,5.73,11.61,0.79,-1.68,0.5
CA_344925,152,2.88,5.28,0.83,-2.01,0.51
CA_344981,176,7.11,11.96,0.86,7.11,0.56
CA_346051,176,1.71,2.83,0.97,0.78,0.93
CA_37042,36,3.08,6.01,0.9,0.16,0.79
CA_40117,176,2.14,3.81,0.94,-0.57,0.86
CA_40791,36,6.15,10.33,0.81,1.16,0.42
CA_43699,47,1.93,4.15,0.82,1.89,0.6
CA_44219,75,1.72,2.85,0.98,0.82,0.95
